osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes,tunnel
39351945,SP44,Corso Giuseppe Garibaldi,secondary,False,True,21.677,"LINESTRING (9.1361188 45.6435234, 9.1362252 45.6433432)",,,,
1034533393,SP44,Corso Giuseppe Garibaldi,secondary,False,False,25.192,"LINESTRING (9.1361188 45.6435234, 9.1360019 45.6437347)",,,,
45397150,,Piazza Roma,tertiary,False,False,38.442,"LINESTRING (9.1361188 45.6435234, 9.1361733 45.6434938, 9.1362246 45.6434809, 9.1363351 45.6434701, 9.1364605 45.6434645, 9.1365942 45.6434622)",,,,
1034533393,SP44,Corso Giuseppe Garibaldi,secondary,False,True,25.192,"LINESTRING (9.1360019 45.6437347, 9.1361188 45.6435234)",,,,
162238771,,Via Cacciatori delle Alpi,tertiary,False,True,301.27,"LINESTRING (9.1360019 45.6437347, 9.1359305 45.6437168, 9.1357851 45.6436757, 9.1357193 45.6436491, 9.1356601 45.6436086, 9.1356212 45.6435659, 9.1354274 45.6432487, 9.1353732 45.6431882, 9.1352733 45.6431434, 9.1351717 45.6431212, 9.135076 45.6431096, 9.1349555 45.6430964, 9.1347986 45.6430732, 9.1344128 45.6430054, 9.1341425 45.6429542, 9.1340185 45.6429358, 9.133772 45.6429056, 9.1334893 45.6428742, 9.1332258 45.6428473, 9.1329901 45.6428206, 9.1328238 45.6428027, 9.1327089 45.6427969, 9.1326272 45.6427962)",,,,
1034533393,SP44,Corso Giuseppe Garibaldi,secondary,False,False,116.572,"LINESTRING (9.1360019 45.6437347, 9.1359843 45.6437709, 9.1359508 45.6438375, 9.1357748 45.6441819, 9.1357281 45.644285, 9.1356912 45.6443893, 9.1356612 45.6445072, 9.1356516 45.6446119, 9.1356573 45.6447454)",,,,
347737340,,Corso Guglielmo Marconi,residential,False,False,37.925,"LINESTRING (9.1392971 45.6472106, 9.1390949 45.6469002)",,,,
"[192465224, 192465208, 45392666, 52128924, 52128925]",,Viale Vittorio Veneto,"['residential', 'unclassified']",False,True,187.308,"LINESTRING (9.1392971 45.6472106, 9.1387031 45.6474001, 9.1384985 45.6474654, 9.1380834 45.6475978, 9.1379962 45.6476256, 9.1371022 45.6479057)",yes,,,
162112978,,Piazza Buonarroti,residential,False,True,10.777,"LINESTRING (9.1375767 45.6442372, 9.1375548 45.6443329)",,50,,
296612391,,Piazza Buonarroti,residential,False,False,16.782,"LINESTRING (9.1375767 45.6442372, 9.1377835 45.6441939)",,50,,
"[45397227, 162113006, 296612391]",,"['Piazza Buonarroti', 'Piazza Cardinal Ferrari', 'Via Cavour']","['residential', 'unclassified']",False,True,97.28999999999999,"LINESTRING (9.1375767 45.6442372, 9.1375749 45.6441616, 9.1375722 45.6440314, 9.1375601 45.6437289, 9.1375548 45.6436512, 9.137547 45.6436183, 9.1375299 45.6435812, 9.1374948 45.6435427, 9.1374487 45.6434998, 9.1373736 45.6434497, 9.1373246 45.6434213)",,50,,
296612391,,Piazza Buonarroti,residential,False,True,16.782,"LINESTRING (9.1377835 45.6441939, 9.1375767 45.6442372)",,50,,
