osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,access,tunnel
25483896,2,Viale Guglielmo Marconi,unclassified,False,False,30.301000000000002,"LINESTRING (9.6013349 45.6476898, 9.601287 45.6476853, 9.6012412 45.6476819, 9.6011898 45.6476809, 9.6011405 45.647681, 9.6009458 45.6476817)",,,
194469984,,Piazza Libertà,tertiary,True,False,15.974,"LINESTRING (9.6013349 45.6476898, 9.6013315 45.6476704, 9.6013336 45.6476537, 9.6013414 45.6476319, 9.6013546 45.6476138, 9.6013892 45.647587, 9.6014244 45.6475727)",roundabout,,
25588739,,Via Sabbio,unclassified,False,True,134.547,"LINESTRING (9.608194 45.650063, 9.6076279 45.6508209, 9.6075256 45.6509562, 9.6074804 45.6510108, 9.6074335 45.6510631, 9.6073982 45.6510997, 9.6073712 45.6511268)",,,
25588689,,Piazza Ventiquattro Maggio,unclassified,False,False,34.806,"LINESTRING (9.6082455 45.6516694, 9.6082063 45.6516542, 9.6081514 45.6516317, 9.6081021 45.6516098, 9.6080514 45.6515861, 9.6080041 45.651563, 9.6079555 45.6515381, 9.6079034 45.6515093, 9.6078761 45.6514934)",,,
25680400,,Via Bartolomeo Colleoni,unclassified,False,True,56.585,"LINESTRING (9.6078761 45.6514934, 9.6073712 45.6511268)",,,
25588689,,Piazza Ventiquattro Maggio,unclassified,False,True,34.806,"LINESTRING (9.6078761 45.6514934, 9.6079034 45.6515093, 9.6079555 45.6515381, 9.6080041 45.651563, 9.6080514 45.6515861, 9.6081021 45.6516098, 9.6081514 45.6516317, 9.6082063 45.6516542, 9.6082455 45.6516694)",,,
25680400,,Via Bartolomeo Colleoni,unclassified,False,False,56.585,"LINESTRING (9.6073712 45.6511268, 9.6078761 45.6514934)",,,
25588739,,Via Sabbio,unclassified,False,False,134.547,"LINESTRING (9.6073712 45.6511268, 9.6073982 45.6510997, 9.6074335 45.6510631, 9.6074804 45.6510108, 9.6075256 45.6509562, 9.6076279 45.6508209, 9.608194 45.650063)",,,
25680400,,Via Bartolomeo Colleoni,unclassified,False,True,102.042,"LINESTRING (9.6073712 45.6511268, 9.6070957 45.6510295, 9.6068463 45.6509432, 9.6067472 45.6509084, 9.6066833 45.650884, 9.6066169 45.6508582, 9.6065558 45.6508323, 9.6062207 45.6506865)",,,
25620805,,Via Cinquantenario,residential,True,False,146.967,"LINESTRING (9.6039094 45.647901, 9.605733 45.6475521)",,,
194479511,,Via Alessandro Manzoni,residential,True,False,51.054,"LINESTRING (9.6039094 45.647901, 9.6040922 45.648342)",,,
382530437,,Via Cinquantenario,residential,False,True,33.844,"LINESTRING (9.6077257 45.6471525, 9.6073084 45.6472393)",,,
