osmid,oneway,name,highway,access,reversed,length,ref,geometry,tunnel,lanes,junction
76507158,True,Via Stella,residential,yes,False,85.265,,"LINESTRING (18.168713 40.1756004, 18.1696151 40.1759364)",,,
206871630,True,Corso Amando Diaz,secondary,,False,119.832,,"LINESTRING (18.168713 40.1756004, 18.1686562 40.1766772)",,,
27341110,False,Via Liguria,residential,,True,71.978,,"LINESTRING (18.1656103 40.1714838, 18.1657496 40.1708453)",,,
72891888,False,Via Liguria,tertiary,,True,20.146,,"LINESTRING (18.1656103 40.1714838, 18.1655728 40.1716627)",,,
588419181,False,Via Gallipoli,secondary,,False,60.465,SP47,"LINESTRING (18.1656103 40.1714838, 18.1662762 40.1716756)",,,
588419181,False,Via Gallipoli,secondary,,True,33.39,SP47,"LINESTRING (18.1656103 40.1714838, 18.1652358 40.1713928)",,,
72891888,False,Via Liguria,tertiary,,False,52.681,,"LINESTRING (18.1650494 40.1739828, 18.1651591 40.1735165)",,,
76507160,True,Via Umbria,residential,,False,67.385,,"LINESTRING (18.1650494 40.1739828, 18.1642669 40.173884)",,,
72891888,False,Via Liguria,tertiary,,True,70.744,,"LINESTRING (18.1650494 40.1739828, 18.1649266 40.1745169, 18.1649045 40.1746093)",,,
204549675,False,Corso Porta Luce,secondary,,False,86.117,,"LINESTRING (18.1692137 40.1718889, 18.169284 40.1711163)",,,
204549675,False,Corso Porta Luce,secondary,,True,60.817,,"LINESTRING (18.1692137 40.1718889, 18.1691702 40.1723303, 18.1691599 40.1724343)",,,
"[424291000, 424291001, 207930122]",False,Arco Nachi,residential,,False,60.42700000000001,,"LINESTRING (18.1692137 40.1718889, 18.1691031 40.1718814, 18.168921 40.171869, 18.1685091 40.1718177)",building_passage,,
204549675,False,Corso Porta Luce,secondary,,True,86.117,,"LINESTRING (18.169284 40.1711163, 18.1692137 40.1718889)",,,
459518126,False,Via Alcide De Gasperi,secondary,,False,16.653,,"LINESTRING (18.169284 40.1711163, 18.1693148 40.1709684)",,,
27341282,False,Corso Maria D'Enghien,secondary,,False,146.288,,"LINESTRING (18.169284 40.1711163, 18.1693959 40.1711286, 18.1694508 40.1711318, 18.1701568 40.1712135, 18.1707361 40.171298, 18.1709711 40.1713627)",,2,
27341282,False,Corso Maria D'Enghien,secondary,,False,68.151,,"LINESTRING (18.1709711 40.1713627, 18.1716956 40.1716257)",,2,
207122994,True,Via degli Eroi,residential,,False,78.939,,"LINESTRING (18.1709711 40.1713627, 18.1712737 40.1706915)",,,
27341282,False,Corso Maria D'Enghien,secondary,,True,146.288,,"LINESTRING (18.1709711 40.1713627, 18.1707361 40.171298, 18.1701568 40.1712135, 18.1694508 40.1711318, 18.1693959 40.1711286, 18.169284 40.1711163)",,2,
84593790,False,Via Adige,residential,,False,50.331,,"LINESTRING (18.1622399 40.170598, 18.1624588 40.1701774)",,,
588419181,False,Via Gallipoli,secondary,,False,74.325,SP47,"LINESTRING (18.1622399 40.170598, 18.163066 40.1708178)",,,
27341279,True,Piazza Dante Alighieri,secondary,,False,38.638999999999996,,"LINESTRING (18.1688551 40.1741063, 18.1688505 40.1741512, 18.1688232 40.1741932, 18.1687504 40.174312, 18.1686989 40.17443)",,,
207159185,False,Piazza San Pietro,residential,,True,54.423,,"LINESTRING (18.1688551 40.1741063, 18.1690146 40.1741159, 18.1693336 40.174199, 18.1694766 40.1741897)",,,
76507147,False,Via undici Febbraio,residential,,True,104.08500000000001,,"LINESTRING (18.1690642 40.1729059, 18.1689877 40.1729008, 18.1685318 40.1728772, 18.1678422 40.17284)",,,
204549676,False,Corso Porta Luce,secondary,,False,53.082,,"LINESTRING (18.1690642 40.1729059, 18.1690763 40.1728621, 18.1691485 40.1725117, 18.1691599 40.1724343)",,,
204549676,False,Corso Porta Luce,secondary,,True,45.645,,"LINESTRING (18.1690642 40.1729059, 18.1690246 40.1732336, 18.1690117 40.1733144)",,,
459518126,False,Via Alcide De Gasperi,secondary,,True,8.696,,"LINESTRING (18.1695884 40.170352, 18.169551 40.1704248)",,,
386686027,False,Via Orsini,residential,,True,19.295,SS476,"LINESTRING (18.1727339 40.1723829, 18.1725534 40.1724882)",,,
206857487,False,Corso Giuseppina Del Ponte,tertiary,,True,40.442,,"LINESTRING (18.1727339 40.1723829, 18.1728034 40.1724588, 18.1730112 40.1726785)",,2,
206857489,False,Piazza Toma,secondary,,True,16.948,,"LINESTRING (18.1727339 40.1723829, 18.1728034 40.1723156, 18.1728577 40.1722634)",,,
1236287284,False,Corso Maria D'Enghien,secondary,,True,62.759,,"LINESTRING (18.1727339 40.1723829, 18.1726308 40.1722579, 18.172301 40.1719261)",,2,
386686027,False,Via Orsini,residential,,False,19.295,SS476,"LINESTRING (18.1725534 40.1724882, 18.1727339 40.1723829)",,,
386686027,False,Via Orsini,residential,,True,24.49,SS476,"LINESTRING (18.1725534 40.1724882, 18.1723071 40.1726026)",,,
506575198,True,Via Dolce,residential,,False,184.798,,"LINESTRING (18.1725534 40.1724882, 18.1727408 40.172765, 18.1728601 40.1729958, 18.1730005 40.173253, 18.1730264 40.1734432, 18.1730293 40.1735733, 18.1729988 40.1737342, 18.1729357 40.1740703)",,,
697305540,False,Via Guidano,secondary,,True,30.309,,"LINESTRING (18.1647683 40.1777892, 18.1651035 40.1776959)",,,
697305540,False,Via Guidano,secondary,,False,122.53999999999999,,"LINESTRING (18.1647683 40.1777892, 18.1644932 40.1778833, 18.1642515 40.1779859, 18.1635222 40.1783405)",,,
206871635,True,Via Grassi,tertiary,,False,51.554,,"LINESTRING (18.1685951 40.1780516, 18.1691888 40.1781475)",,,
697305523,False,Corso Armando Diaz,secondary,,True,63.987,,"LINESTRING (18.1685951 40.1780516, 18.1685543 40.1786262)",,,
206871639,False,Via XX Settembre,secondary,,False,52.373,,"LINESTRING (18.1685951 40.1780516, 18.1685449 40.1780472, 18.1679826 40.1779983)",,,
206857487,False,Corso Giuseppina Del Ponte,tertiary,,False,73.923,,"LINESTRING (18.1732071 40.1733101, 18.17317 40.1729062, 18.173142 40.1728361, 18.1730112 40.1726785)",,2,
206857487,False,Corso Giuseppina Del Ponte,tertiary,,True,52.024,,"LINESTRING (18.1732071 40.1733101, 18.1732195 40.1734396, 18.1732303 40.1736049, 18.1732337 40.1737774)",,2,
108741483,False,Via Roma,secondary,,False,69.126,,"LINESTRING (18.1649045 40.1746093, 18.1640912 40.1745921)",,2,
72891888,False,Via Liguria,tertiary,,False,70.744,,"LINESTRING (18.1649045 40.1746093, 18.1649266 40.1745169, 18.1650494 40.1739828)",,,
72891888,False,Via Liguria,tertiary,,True,43.394,,"LINESTRING (18.1649045 40.1746093, 18.1648891 40.1746802, 18.164821 40.1749943)",,,
108741483,False,Via Roma,secondary,,True,77.481,,"LINESTRING (18.1649045 40.1746093, 18.1650125 40.1746084, 18.1653581 40.1746092, 18.1658164 40.1746143)",,2,
72891888,False,Via Liguria,tertiary,,False,45.376,,"LINESTRING (18.1644517 40.1766001, 18.1645514 40.1761992)",,,
76507167,False,Via Tanza,residential,,False,136.886,,"LINESTRING (18.1644517 40.1766001, 18.1659997 40.1769415)",,,
76507167,False,Via Tanza,residential,,True,68.066,,"LINESTRING (18.1644517 40.1766001, 18.1636841 40.1764248)",,,
72891888,False,Via Liguria,tertiary,,True,15.215,,"LINESTRING (18.1644517 40.1766001, 18.1644392 40.1766602, 18.1644218 40.176735)",,,
588419181,False,Via Gallipoli,secondary,,False,5.978,SP47,"LINESTRING (18.1690937 40.1724161, 18.1691599 40.1724343)",,,
562736701,False,Via Lecce,residential,,True,102.374,,"LINESTRING (18.1690937 40.1724161, 18.1690142 40.1724212, 18.1689052 40.1724383, 18.1681707 40.172461, 18.1678927 40.1724454)",,,
588419181,False,Via Gallipoli,secondary,,True,103.875,SP47,"LINESTRING (18.1690937 40.1724161, 18.1690183 40.1723951, 18.1686763 40.1723044, 18.1679466 40.1720932)",,,
452259136,False,Via Liguria,tertiary,,False,33.007,,"LINESTRING (18.1650113 40.1775285, 18.1647512 40.177308)",,,
501135418,True,,tertiary,,False,8.229,,"LINESTRING (18.1650113 40.1775285, 18.1650546 40.1775491, 18.1650959 40.1775643)",,,
588419181,False,Via Gallipoli,secondary,,True,5.978,SP47,"LINESTRING (18.1691599 40.1724343, 18.1690937 40.1724161)",,,
204549675,False,Corso Porta Luce,secondary,,False,60.817,,"LINESTRING (18.1691599 40.1724343, 18.1691702 40.1723303, 18.1692137 40.1718889)",,,
204549676,False,Corso Porta Luce,secondary,,True,53.082,,"LINESTRING (18.1691599 40.1724343, 18.1691485 40.1725117, 18.1690763 40.1728621, 18.1690642 40.1729059)",,,
204824328,False,Viale Kennedy,tertiary,,True,50.175000000000004,,"LINESTRING (18.1641001 40.1770892, 18.1636539 40.177081, 18.1635097 40.1770784)",,,
452259128,True,Viale Kennedy,tertiary,,False,22.611,,"LINESTRING (18.1641001 40.1770892, 18.1642755 40.1770663, 18.1643559 40.1770386)",,,
452259136,False,Via Liguria,tertiary,,True,33.007,,"LINESTRING (18.1647512 40.177308, 18.1650113 40.1775285)",,,
452259135,True,Via Liguria,tertiary,,False,33.794000000000004,,"LINESTRING (18.1647512 40.177308, 18.1646048 40.1772041, 18.1644977 40.1771456, 18.1644437 40.1771162)",,,
588419183,False,Via Noha,tertiary,,False,71.848,,"LINESTRING (18.1712641 40.1700454, 18.1712737 40.1706915)",,,
588419183,False,Via Noha,tertiary,,True,25.687,,"LINESTRING (18.1712641 40.1700454, 18.1712619 40.1698144)",,,
84593810,False,Via San Gabriele,unclassified,,False,63.545,,"LINESTRING (18.1712641 40.1700454, 18.1717297 40.1700681, 18.1720048 40.1701131)",,,
341823782,False,Via Lazio,residential,,True,75.463,,"LINESTRING (18.1712619 40.1698144, 18.1703742 40.1697932)",,,
588419183,False,Via Noha,tertiary,,False,25.687,,"LINESTRING (18.1712619 40.1698144, 18.1712641 40.1700454)",,,
588419183,False,Via Noha,tertiary,,True,71.848,,"LINESTRING (18.1712737 40.1706915, 18.1712641 40.1700454)",,,
84593890,False,Via Noha,residential,,True,110.544,,"LINESTRING (18.1712737 40.1706915, 18.1713626 40.1707836, 18.1716956 40.1716257)",,,
84593901,True,Via Monte Bianco,residential,,False,81.303,,"LINESTRING (18.1712737 40.1706915, 18.1710696 40.1706763, 18.1704959 40.1706121, 18.1703254 40.1705949)",,,
207087975,True,,residential,,False,16.168,,"LINESTRING (18.1682624 40.1755459, 18.1681751 40.1756751)",,,
27341109,True,Piazza Dante Alighieri,secondary,,False,56.38100000000001,SS476,"LINESTRING (18.1682624 40.1755459, 18.1681992 40.1755382, 18.1681458 40.1755235, 18.1680534 40.1754889, 18.1679712 40.1754457, 18.1679037 40.1753915, 18.1678491 40.1753371, 18.1678225 40.1752753, 18.1678074 40.1752251)",,,
72891888,False,Via Liguria,tertiary,,True,34.301,,"LINESTRING (18.164821 40.1749943, 18.1647556 40.1752987)",,,
72891888,False,Via Liguria,tertiary,,False,43.394,,"LINESTRING (18.164821 40.1749943, 18.1648891 40.1746802, 18.1649045 40.1746093)",,,
206857497,False,Corso Federico Mezio,tertiary,,False,16.48,,"LINESTRING (18.1715445 40.1768243, 18.1714118 40.1769324)",,,
456011202,False,,residential,,False,36.441,,"LINESTRING (18.1715445 40.1768243, 18.1718623 40.1770444)",,,
206857497,False,Corso Federico Mezio,tertiary,,True,65.507,,"LINESTRING (18.1715445 40.1768243, 18.1715781 40.1767953, 18.1718448 40.1765653, 18.1720612 40.1763871)",,,
