osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,ref,maxspeed,access,est_width
157028670,False,2,Via Carmelita De Ponti,unclassified,True,172.844,"LINESTRING (9.2181728 45.5607601, 9.2179992 45.5606693, 9.2179668 45.5606587, 9.2167694 45.5604269, 9.2161399 45.5603012, 9.2161166 45.5602974, 9.216071 45.56029)",,,,,
157241493,True,,Via Niccolò Copernico,unclassified,False,33.6,"LINESTRING (9.2181728 45.5607601, 9.2182966 45.5607563, 9.2183285 45.560775, 9.2185369 45.5608908)",,,,,
166254947,False,,Via Umberto Giordano,residential,False,31.938,"LINESTRING (9.2181728 45.5607601, 9.2181116 45.560905, 9.2181054 45.5609174, 9.2180513 45.5610344)",,,,,
875269400,False,,Via Umberto Giordano,residential,True,40.173,"LINESTRING (9.2181728 45.5607601, 9.2182424 45.5606219, 9.2182517 45.5606019, 9.2183424 45.5604189)",,,,,
32695651,True,1,Via Monte Santo,residential,False,139.284,"LINESTRING (9.2111214 45.5574031, 9.2111701 45.5573513, 9.2112533 45.5571896, 9.2113494 45.5567752, 9.2114071 45.5565266, 9.2114814 45.5561835)",,,,,
196185420,True,1,Via Venticinque Aprile,residential,False,101.828,"LINESTRING (9.2111214 45.5574031, 9.2112649 45.5574372, 9.2122704 45.5577311, 9.2123321 45.5577489)",,,,,
875172517,True,,Piazzale Don Luigi Giussani,unclassified,False,38.85,"LINESTRING (9.213181 45.557968, 9.2132073 45.5579488, 9.2132411 45.5579365, 9.2132787 45.5579325, 9.2133135 45.5579367, 9.213345 45.5579479, 9.2133701 45.5579653, 9.2133866 45.5579872, 9.213393 45.5580142, 9.2133862 45.5580411, 9.2133671 45.558065, 9.213327 45.5580868, 9.2133111 45.5580914, 9.2132824 45.558095, 9.2132533 45.5580933)",roundabout,,,,
"[196185421, 10494662]",True,1,Via Marisa Musu,unclassified,False,163.156,"LINESTRING (9.2132533 45.5580933, 9.2131518 45.5581784, 9.2130784 45.5582417, 9.2130171 45.5583343, 9.2129844 45.5584635, 9.2129564 45.5587344, 9.2129443 45.558852, 9.2129183 45.5589147, 9.2128932 45.5589631, 9.2128646 45.5590115, 9.2127988 45.5591181, 9.2126876 45.5592471, 9.2125778 45.5594491)",,,,,
166254965,True,,Piazzale Don Luigi Giussani,unclassified,False,17.665999999999997,"LINESTRING (9.2132533 45.5580933, 9.213218 45.5580838, 9.213189 45.5580668, 9.2131693 45.5580442, 9.2131611 45.5580184, 9.2131651 45.557992, 9.213181 45.557968)",roundabout,,,,
1069978277,True,2,Via Monte Ortigara,unclassified,False,3.9,"LINESTRING (9.2102266 45.5590473, 9.2101957 45.5590749)",roundabout,,,,
197047886,False,2,Via Monte Ortigara,unclassified,True,104.05600000000001,"LINESTRING (9.2102266 45.5590473, 9.2103441 45.559079, 9.2113728 45.5593249, 9.2114891 45.5593542)",,,,,
156888742,False,2,Via per Robecco,unclassified,False,37.818,"LINESTRING (9.219246 45.5576219, 9.21935 45.5576377, 9.2197142 45.5577119)",,,,,
157028681,False,,Via Umberto Giordano,residential,False,24.639000000000003,"LINESTRING (9.219246 45.5576219, 9.2192494 45.5577092, 9.2192547 45.5578434)",,,,,
173043026,False,,Viale Rinascita,residential,True,111.622,"LINESTRING (9.219246 45.5576219, 9.2192304 45.557513, 9.2191106 45.5566792, 9.2191025 45.5566231)",,,,,
10516585,True,,,unclassified,False,9.855,"LINESTRING (9.2158491 45.5602487, 9.2158623 45.5602232, 9.2159019 45.5601947, 9.2159291 45.5601842)",roundabout,,,,
157028669,False,2,Via Carmelita De Ponti,unclassified,False,164.419,"LINESTRING (9.2158491 45.5602487, 9.2157605 45.5602429, 9.2151146 45.5601448, 9.2145634 45.560047, 9.2138993 45.5599219, 9.2137973 45.5599027)",,,,,
157028670,False,2,Via Carmelita De Ponti,unclassified,False,172.844,"LINESTRING (9.216071 45.56029, 9.2161166 45.5602974, 9.2161399 45.5603012, 9.2167694 45.5604269, 9.2179668 45.5606587, 9.2179992 45.5606693, 9.2181728 45.5607601)",,,,,
196185422,True,,,unclassified,False,20.878999999999998,"LINESTRING (9.216071 45.56029, 9.2160567 45.5603114, 9.2160218 45.5603333, 9.2159773 45.5603438, 9.2159306 45.560341, 9.2158892 45.5603256, 9.2158599 45.5603)",roundabout,,,,
"[89319437, 158605735]",False,"['1', '2']",Via Carlo Meani,residential,False,213.922,"LINESTRING (9.2147026 45.5588178, 9.215421 45.5589985, 9.2155181 45.5590213, 9.2156535 45.5590755, 9.2157408 45.5591298, 9.2158447 45.5592216, 9.2158876 45.5592639, 9.2159878 45.559377, 9.2160117 45.5595302, 9.2160074 45.5595621, 9.2160141 45.5596558, 9.2158858 45.5600817, 9.2158891 45.5601299, 9.2159291 45.5601842)",,,,,
15244081,False,2,Via Monte Ortigara,unclassified,False,94.473,"LINESTRING (9.2137973 45.5599027, 9.2137092 45.5598834, 9.2126476 45.559631)",,,,,
"[289706192, 24876003, 89290963]",True,,Via Risorgimento,"['unclassified', 'residential']",False,129.85299999999998,"LINESTRING (9.2137973 45.5599027, 9.2137696 45.5599649, 9.2136317 45.5602757, 9.2133451 45.5609121, 9.2133205 45.5609661, 9.2132974 45.5610168)",,SP131,,,
"[157018145, 144391017, 144390767]",False,,"['Via Risorgimento', 'Via Giovanni Frova', 'Piazza Natale Confalonieri']",residential,False,283.60499999999996,"LINESTRING (9.2137973 45.5599027, 9.2138475 45.5597691, 9.2140736 45.5592741, 9.214113 45.5591879, 9.2143228 45.5587237, 9.2144907 45.5583757, 9.2145682 45.5582151, 9.2145765 45.5581986, 9.2146401 45.5580758, 9.2148252 45.5577134, 9.2149408 45.5574817)",,,50,,
157028669,False,2,Via Carmelita De Ponti,unclassified,True,164.41899999999998,"LINESTRING (9.2137973 45.5599027, 9.2138993 45.5599219, 9.2145634 45.560047, 9.2151146 45.5601448, 9.2157605 45.5602429, 9.2158491 45.5602487)",,,,,
156888742,False,2,Via per Robecco,unclassified,True,18.846,"LINESTRING (9.2199466 45.5577593, 9.2197142 45.5577119)",,,,,
319026532,True,,Via Carlo Limonta,residential,False,131.817,"LINESTRING (9.2199466 45.5577593, 9.2199392 45.5577001, 9.2198068 45.5566455, 9.2197984 45.5565784)",,,,,
89356074,True,1,Via Monte Grappa,residential,False,44.864,"LINESTRING (9.2158599 45.5603, 9.2158094 45.5603574, 9.2157745 45.5603988, 9.2156961 45.5606815)",,,,,
