osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,junction
"[384720573, 384720566]",2,Via Tavernanova,primary,False,True,289.201,50,"LINESTRING (13.5785302 41.6833477, 13.5774023 41.6827325, 13.5772232 41.6826019, 13.5769571 41.6823268, 13.5768011 41.6821266, 13.5766796 41.6819543, 13.5765332 41.681665, 13.5764248 41.6813805)",,
172168479,2,Via Roma,tertiary,False,True,121.728,,"LINESTRING (13.5682759 41.6803137, 13.5694041 41.6802045, 13.5697246 41.680152)",,
172168501,,Via Lungoliri Chiastra,residential,False,False,106.47899999999998,,"LINESTRING (13.5682759 41.6803137, 13.5682576 41.6801489, 13.5681718 41.6799935, 13.568 41.6798011, 13.5679538 41.6796999, 13.5678547 41.6794237)",,
344049353,,Via Giuseppe Verdi,residential,True,False,93.399,,"LINESTRING (13.5747422 41.6771953, 13.574062 41.6778642)",,
384720564,2,,primary,False,False,10.669,60,"LINESTRING (13.5747422 41.6771953, 13.574866 41.6771697)",,
384720572,2,Via Napoli,primary,False,True,124.57499999999999,60,"LINESTRING (13.5747422 41.6771953, 13.5736346 41.6770572, 13.5733478 41.6770215, 13.573263 41.6770096)",,
344048406,2,Via Tevere,unclassified,False,True,85.231,,"LINESTRING (13.5710225 41.674993, 13.5707496 41.6757319)",,
171881508,,Via Volturno,residential,True,False,50.194,,"LINESTRING (13.5707496 41.6757319, 13.5713434 41.6758159)",,
344048406,2,Via Tevere,unclassified,False,False,85.231,,"LINESTRING (13.5707496 41.6757319, 13.5710225 41.674993)",,
344048406,2,Via Tevere,unclassified,False,True,89.856,,"LINESTRING (13.5707496 41.6757319, 13.5705556 41.6765269)",,
171881508,,Via Volturno,residential,True,False,80.377,,"LINESTRING (13.5713434 41.6758159, 13.5722929 41.6759557)",,
171881510,,Via Vincenzo Marsella,residential,False,True,33.68,,"LINESTRING (13.5713434 41.6758159, 13.5712708 41.6761139)",,
344048151,,Via Capitino,residential,True,False,146.31499999999997,,"LINESTRING (13.5723725 41.6758267, 13.5719785 41.6756162, 13.5717256 41.6754738, 13.5716339 41.6754161, 13.571516 41.6753419, 13.5711959 41.67507, 13.5710225 41.674993)",,
171881512,,Via Bepi Baisi,residential,True,False,15.794,,"LINESTRING (13.5722929 41.6759557, 13.5723725 41.6758267)",,
171881510,,Via Vincenzo Marsella,residential,False,False,33.68,,"LINESTRING (13.5712708 41.6761139, 13.5713434 41.6758159)",,
171881510,,Via Vincenzo Marsella,residential,False,True,30.733,,"LINESTRING (13.5712708 41.6761139, 13.5712044 41.6763858)",,
171881506,,Via Leone,residential,True,False,81.049,,"LINESTRING (13.5722292 41.6762512, 13.5712708 41.6761139)",,
171881512,,Via Bepi Baisi,residential,True,False,33.281,,"LINESTRING (13.5722292 41.6762512, 13.5722929 41.6759557)",,
384720569,,Via Bruno Carloni,residential,True,False,260.105,,"LINESTRING (13.5755708 41.6763466, 13.5732281 41.675995, 13.5726734 41.6759216, 13.572504 41.6758786)",,
474184673,,Viale Piscicelli,residential,False,False,88.37100000000001,,"LINESTRING (13.5755708 41.6763466, 13.5761308 41.6757596, 13.5761939 41.6757026)",,
171881510,,Via Vincenzo Marsella,residential,False,False,30.733,,"LINESTRING (13.5712044 41.6763858, 13.5712708 41.6761139)",,
171881510,,Via Vincenzo Marsella,residential,False,True,36.721,,"LINESTRING (13.5712044 41.6763858, 13.5711252 41.6767107)",,
171881505,,Via F. Stellingwer,residential,True,False,80.858,,"LINESTRING (13.5721611 41.6765206, 13.5712044 41.6763858)",,
