osmid,ref,name,highway,oneway,reversed,length,geometry,tunnel,bridge
23961770,SP25,Via Usciana,tertiary,False,False,617.705,"LINESTRING (10.6907588 43.6996153, 10.6908548 43.699525, 10.6909268 43.6994747, 10.6909868 43.6994469, 10.6910709 43.6994278, 10.6911621 43.6994139, 10.6912605 43.6994139, 10.6914046 43.69944, 10.6917444 43.6995594, 10.6922421 43.6997073, 10.6923175 43.6997137, 10.6923837 43.6997111, 10.6924588 43.6996998, 10.6925323 43.6996741, 10.6927775 43.6995781, 10.6929562 43.6995064, 10.6931268 43.6994498, 10.6932845 43.6994102, 10.693454 43.699377, 10.6937133 43.699323, 10.6940933 43.6992421, 10.6947322 43.6990902, 10.6948151 43.6990608, 10.6948888 43.6990247, 10.6949343 43.6989918, 10.6949752 43.6989611, 10.6950041 43.6989233, 10.6950315 43.6988754, 10.6950469 43.6988156, 10.6950607 43.6987613, 10.6950799 43.6986312, 10.6951328 43.6982389, 10.6951597 43.6981534, 10.6951928 43.6980723, 10.6952888 43.6979334, 10.6955222 43.6976637, 10.6961579 43.6969777)",,
23961807,SP25,Via San Michele,tertiary,False,True,146.747,"LINESTRING (10.6907588 43.6996153, 10.6907201 43.6996624, 10.690706 43.6996916, 10.6906936 43.6997515, 10.6906936 43.6998024, 10.6906984 43.6998895, 10.690738 43.7002933, 10.6907864 43.700814, 10.6907828 43.7008493, 10.6907612 43.7009209)",,
23967583,,Via Lungomonte,tertiary,False,False,69.971,"LINESTRING (10.6961579 43.6969777, 10.6953906 43.6972747)",,
23961770,SP25,Via Usciana,tertiary,False,False,21.824,"LINESTRING (10.6961579 43.6969777, 10.6962459 43.6969129, 10.6963494 43.6968386)",,
23961770,SP25,Via Usciana,tertiary,False,True,617.7049999999999,"LINESTRING (10.6961579 43.6969777, 10.6955222 43.6976637, 10.6952888 43.6979334, 10.6951928 43.6980723, 10.6951597 43.6981534, 10.6951328 43.6982389, 10.6950799 43.6986312, 10.6950607 43.6987613, 10.6950469 43.6988156, 10.6950315 43.6988754, 10.6950041 43.6989233, 10.6949752 43.6989611, 10.6949343 43.6989918, 10.6948888 43.6990247, 10.6948151 43.6990608, 10.6947322 43.6990902, 10.6940933 43.6992421, 10.6937133 43.699323, 10.693454 43.699377, 10.6932845 43.6994102, 10.6931268 43.6994498, 10.6929562 43.6995064, 10.6927775 43.6995781, 10.6925323 43.6996741, 10.6924588 43.6996998, 10.6923837 43.6997111, 10.6923175 43.6997137, 10.6922421 43.6997073, 10.6917444 43.6995594, 10.6914046 43.69944, 10.6912605 43.6994139, 10.6911621 43.6994139, 10.6910709 43.6994278, 10.6909868 43.6994469, 10.6909268 43.6994747, 10.6908548 43.699525, 10.6907588 43.6996153)",,
44813521,,Via Giosuè Carducci,residential,True,False,20.129,"LINESTRING (10.6921663 43.6986326, 10.6921619 43.6984516)",,
204990713,,Piazza della Vittoria,residential,False,False,6.885,"LINESTRING (10.6921663 43.6986326, 10.6920853 43.6986125)",,
204990713,,Piazza della Vittoria,residential,False,True,36.013,"LINESTRING (10.6921663 43.6986326, 10.6922462 43.6986545, 10.6922951 43.6986644, 10.6923475 43.6986718, 10.6926026 43.6987014)",,
24779272,,Via delle Grazie,tertiary,False,True,14.705,"LINESTRING (10.6910874 43.6987838, 10.6909159 43.6988298)",,
204990712,,Piazza Vittoria,tertiary,False,True,13.651,"LINESTRING (10.6910874 43.6987838, 10.6912456 43.6987392)",,
