osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,access,junction
185764268,2,Piazza Saragat,residential,False,False,70.45900000000002,"LINESTRING (10.5326346 42.9232308, 10.5324682 42.9229721, 10.532407 42.9228695, 10.5323162 42.9227206, 10.5322978 42.9227034, 10.5322475 42.9226684)",,,
229063719,,Via Emilio Salgari,residential,False,True,56.744,"LINESTRING (10.5326346 42.9232308, 10.5328499 42.9235673, 10.5329303 42.9236929)",,,
68694534,,Via Francesco Ferrer,residential,True,False,120.793,"LINESTRING (10.5315745 42.9228555, 10.5302379 42.9233268)",,,
916518369,2,Via Francesco Ferrer,residential,False,True,59.125,"LINESTRING (10.5315745 42.9228555, 10.532117 42.9226762, 10.5322475 42.9226684)",,,
94843554,,Via Galileo Galilei,residential,True,False,91.436,"LINESTRING (10.5270893 42.9247314, 10.5270226 42.9248142, 10.5269932 42.9248469, 10.5269475 42.9248788, 10.5262769 42.9252427, 10.5262439 42.9252598)",,,
1208006869,3,Via Francesco Ferrer,residential,False,False,17.637,"LINESTRING (10.5322475 42.9226684, 10.5324266 42.9225792)",,,
185764268,2,Piazza Saragat,residential,False,True,70.459,"LINESTRING (10.5322475 42.9226684, 10.5322978 42.9227034, 10.5323162 42.9227206, 10.532407 42.9228695, 10.5324682 42.9229721, 10.5326346 42.9232308)",,,
916518369,2,Via Francesco Ferrer,residential,False,False,59.125,"LINESTRING (10.5322475 42.9226684, 10.532117 42.9226762, 10.5315745 42.9228555)",,,
68694534,,Via Francesco Ferrer,residential,True,False,47.608999999999995,"LINESTRING (10.5302379 42.9233268, 10.5298782 42.9234431, 10.5298298 42.9234612, 10.5297651 42.923491, 10.5297241 42.9235238)",,,
68694588,,Via Zara,residential,True,False,85.07900000000001,"LINESTRING (10.5302379 42.9233268, 10.5300526 42.9230853, 10.5297262 42.9226597)",,,
68694706,,Via Giordano Bruno,residential,True,False,118.095,"LINESTRING (10.5297262 42.9226597, 10.530282 42.9224154, 10.5309621 42.922104)",,,
914884924,,Via Giordano Bruno,residential,False,False,56.078,"LINESTRING (10.5309621 42.922104, 10.5315478 42.9218387)",,,
68694600,,Via Grosseto,residential,True,False,97.31,"LINESTRING (10.5309621 42.922104, 10.5313763 42.9226123, 10.5315745 42.9228555)",,,
68694729,,Via Pietro Gori,residential,True,False,44.866,"LINESTRING (10.5302492 42.9241554, 10.5307361 42.9239665)",,,
68694775,,Via Antonio Pacinotti,residential,True,False,47.947,"LINESTRING (10.5302492 42.9241554, 10.5304884 42.9244734, 10.5305328 42.9245333)",,,
68694775,,Via Antonio Pacinotti,residential,True,False,40.116,"LINESTRING (10.5297241 42.9235238, 10.5297476 42.923536, 10.5297621 42.9235477, 10.5297856 42.9235767, 10.5299906 42.923825)",,,
68694897,,Via Carlo Pisacane,residential,True,False,116.872,"LINESTRING (10.5289671 42.9250264, 10.5289954 42.9250452, 10.5299163 42.9258146)",,,
68694897,,Via Carlo Pisacane,residential,True,False,63.057,"LINESTRING (10.5303276 42.9261719, 10.5308405 42.9265968)",,,
1172457616,,Via Giusti,residential,True,False,35.558,"LINESTRING (10.5303276 42.9261719, 10.5299254 42.9262965)",,,
"[42455992, 68695122]",,"['Via Renato Fucini', 'Corso Italia']",residential,True,False,118.41,"LINESTRING (10.5294287 42.9264478, 10.5291292 42.9259402, 10.5291116 42.9259103, 10.5291031 42.9259017, 10.5290915 42.9258955, 10.5290757 42.9258921, 10.5290619 42.9258926, 10.5290423 42.9258964, 10.528601 42.9260388, 10.5285159 42.9260663)",50,,
833602119,3,Viale della Repubblica,tertiary,False,True,59.182,"LINESTRING (10.5257158 42.9268681, 10.5257391 42.9267547, 10.5257464 42.9267189, 10.5258154 42.9263409)",50,,
"[833610393, 833610395]","['2', '3']",Via Petrarca,tertiary,False,True,121.93,"LINESTRING (10.5257158 42.9268681, 10.5255822 42.9268538, 10.5250626 42.9267984, 10.5242339 42.92671)",,,
42455992,,Corso Italia,residential,True,False,12.125,"LINESTRING (10.5298619 42.9271766, 10.5298038 42.9270762)",50,,
94842572,,Via Torino,residential,True,False,54.653,"LINESTRING (10.5298619 42.9271766, 10.5292455 42.9273712)",,,
94842574,,Via Quattro Novembre,residential,True,False,86.993,"LINESTRING (10.5260541 42.9268425, 10.5264984 42.927554)",,,
173094607,3,Via Renato Fucini,residential,True,False,28.021,"LINESTRING (10.5260541 42.9268425, 10.5259759 42.9268606, 10.5258875 42.9268739, 10.525814 42.9268714, 10.5257158 42.9268681)",,,
42455992,,Corso Italia,residential,True,False,76.258,"LINESTRING (10.5298038 42.9270762, 10.5294287 42.9264478)",50,,
94842594,,Via Antonio da Piombino,residential,True,False,43.129,"LINESTRING (10.5298038 42.9270762, 10.5302869 42.9269171)",,,
