osmid,oneway,lanes,ref,name,highway,maxspeed,width,reversed,length,junction,geometry,bridge
963975302,False,2,SS343,Via Brescia,tertiary,50,6,False,25.202,,"LINESTRING (10.4168542 45.2249954, 10.4168994 45.2252198)",
963975302,False,2,SS343,Via Brescia,tertiary,50,6,True,20.442,,"LINESTRING (10.4168542 45.2249954, 10.4168216 45.224813)",
684949969,True,1,,,tertiary,,,False,10.648,roundabout,"LINESTRING (10.409 45.2206692, 10.4089763 45.2206696, 10.4089549 45.2206647, 10.4089368 45.2206554, 10.4089238 45.2206425, 10.4089172 45.2206274, 10.4089178 45.2206116)",
"[994872948, 994872949]",False,2,,Via Circonvallazione Ovest,tertiary,,6,False,81.84700000000001,,"LINESTRING (10.409 45.2206692, 10.4090634 45.2207641, 10.4091115 45.2208937, 10.4091517 45.2210022, 10.4092569 45.2213801)",
134083588,False,,,Largo Donatori di Sangue,unclassified,,,False,70.423,,"LINESTRING (10.412483 45.2185718, 10.4124076 45.2179407)",
260127815,False,,,Via Circonvallazione Sud,unclassified,,,False,199.902,,"LINESTRING (10.412483 45.2185718, 10.4099611 45.2188479)",
994859216,False,,,Via Circonvallazione Sud,unclassified,,,True,164.439,,"LINESTRING (10.412483 45.2185718, 10.4145381 45.2182696)",
134035722,False,,,Via Nazario Sauro,residential,,,True,54.147999999999996,,"LINESTRING (10.412483 45.2185718, 10.4124889 45.2186322, 10.4125307 45.2190576)",
74573953,False,2,,Via Circonvallazione Ovest,tertiary,,6,False,61.699,,"LINESTRING (10.4092569 45.2213801, 10.4093948 45.2219264)",
994872950,True,,,Vicolo Chiuso,residential,,,False,58.306,,"LINESTRING (10.4092569 45.2213801, 10.409941 45.2211733)",
"[994872948, 994872949]",False,2,,Via Circonvallazione Ovest,tertiary,,6,True,81.84700000000001,,"LINESTRING (10.4092569 45.2213801, 10.4091517 45.2210022, 10.4091115 45.2208937, 10.4090634 45.2207641, 10.409 45.2206692)",
74573953,False,2,,Via Circonvallazione Ovest,tertiary,,6,False,90.009,,"LINESTRING (10.4095173 45.2222979, 10.4098382 45.222886, 10.4099218 45.2230555)",
74573953,False,2,,Via Circonvallazione Ovest,tertiary,,6,True,34.991,,"LINESTRING (10.4095173 45.2222979, 10.4094235 45.2220282, 10.4094133 45.2219919)",
74573953,False,2,,Via Circonvallazione Ovest,tertiary,,6,True,81.891,,"LINESTRING (10.4158761 45.2236917, 10.4148362 45.2237685)",
74735444,True,,,Via Circonvallazione Ovest,tertiary,,3,False,32.299,,"LINESTRING (10.4158761 45.2236917, 10.4160431 45.2236516, 10.4161457 45.2236132, 10.4162439 45.2235649)",
74735435,True,1,,Via Circonvallazione Ovest,tertiary,,3,False,18.264,,"LINESTRING (10.4166041 45.2236666, 10.4163709 45.223666)",
963975299,False,2,SS343,Via Brescia,tertiary,50,6,False,24.069,,"LINESTRING (10.4166041 45.2236666, 10.4166521 45.2238804)",
963975303,False,2,SS343,Via Brescia,tertiary,50,6,True,12.712,,"LINESTRING (10.4166041 45.2236666, 10.4165859 45.223553)",
134083590,False,,,,unclassified,,,True,53.397,,"LINESTRING (10.415708 45.2198595, 10.4150407 45.2199578)",
243008438,False,,,Via Giovanni da Asola,unclassified,,,False,102.886,,"LINESTRING (10.415708 45.2198595, 10.4154489 45.2189524)",
243008438,False,,,Via Giovanni da Asola,unclassified,,,True,15.49,,"LINESTRING (10.415708 45.2198595, 10.4157397 45.219997)",
74573981,False,,,Piazza Mangeri,residential,,,False,82.46600000000001,,"LINESTRING (10.4100092 45.2218728, 10.4100608 45.2219688, 10.4109678 45.2219561)",
74573981,False,,,Piazza Mangeri,residential,,,True,40.425,,"LINESTRING (10.4100092 45.2218728, 10.409986 45.221814, 10.409961 45.2217506, 10.4099505 45.221514)",
51035725,True,,,Via Tito Speri,residential,,,False,48.489,,"LINESTRING (10.4093948 45.2219264, 10.4100092 45.2218728)",
74573953,False,2,,Via Circonvallazione Ovest,tertiary,,6,False,7.426,,"LINESTRING (10.4093948 45.2219264, 10.4094133 45.2219919)",
74573953,False,2,,Via Circonvallazione Ovest,tertiary,,6,True,61.699,,"LINESTRING (10.4093948 45.2219264, 10.4092569 45.2213801)",
74573989,True,,,Via Giuseppe Mazzini,residential,,4,False,38.281,,"LINESTRING (10.4098568 45.2206237, 10.410345 45.2206402)",
74573962,False,2,,Via Giuseppe Mazzini,unclassified,,6,True,62.768,,"LINESTRING (10.4098568 45.2206237, 10.4093092 45.2206175, 10.4090555 45.2206146)",
40060455,False,2,,Via Giosuè Carducci,tertiary,,6,True,19.619,,"LINESTRING (10.4068444 45.2205753, 10.4070112 45.2205808, 10.4070947 45.2205809)",
74574008,False,,,Vicolo Chiuso,residential,,,False,64.60300000000001,,"LINESTRING (10.410733 45.221049, 10.410599 45.221049, 10.410315 45.2210688, 10.410137 45.2210997, 10.409941 45.2211733)",
74573970,True,,,Via Antonio Schiantarelli,residential,,4,False,35.804,,"LINESTRING (10.4113454 45.2209477, 10.4114521 45.2206346)",
74574036,False,,,Via Antonio Schiantarelli,residential,,4,True,21.905,,"LINESTRING (10.4113454 45.2209477, 10.4112758 45.2211385)",
134035719,True,,,Via Nazario Sauro,residential,,,False,57.034,,"LINESTRING (10.4126872 45.220743, 10.4126413 45.2202311)",
"[74574027, 74573996]",True,,,"['Via Turbini', 'Piazza 20 settembre']",residential,,4,False,110.174,,"LINESTRING (10.4126872 45.220743, 10.413061 45.2206962, 10.4140722 45.2205698)",
74573980,False,2,,Largo della Libertà,residential,,6,False,46.201,,"LINESTRING (10.4153393 45.2209757, 10.4159203 45.2209039)",
74573999,True,,,Via Libertà,residential,,4,False,90.307,,"LINESTRING (10.4153393 45.2209757, 10.4141948 45.2210742)",
134064316,True,,,Via Andrea Costa,unclassified,,,False,53.492,,"LINESTRING (10.4153393 45.2209757, 10.4154796 45.2214465)",
134056266,True,,,Via Beffa Negrini,unclassified,,,False,56.903,,"LINESTRING (10.4141948 45.2210742, 10.4140722 45.2205698)",
"[74574017, 74574014, 74573999]",True,,,"['Piazza 20 settembre', 'Via Libertà']",residential,,4,False,130.25699999999998,,"LINESTRING (10.4141948 45.2210742, 10.4136698 45.2211451, 10.4131377 45.2211754, 10.41297 45.2212007, 10.4126437 45.2211836, 10.4126168 45.2212485)",
134035712,True,,,Via Paolo Tosio,unclassified,,,False,61.818,,"LINESTRING (10.4151766 45.2204317, 10.4153393 45.2209757)",
134035715,True,,,Via Giuseppe Garibaldi,unclassified,,,False,36.959,,"LINESTRING (10.4126168 45.2212485, 10.4125468 45.2215772)",
