osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,bridge,tunnel
77839815,2,Via Scipione Ronchetti,tertiary,50,False,True,63.44,"LINESTRING (8.7922199 45.663009, 8.7922477 45.6635792)",,,,
110906032,1,Via Scipione Ronchetti,tertiary,,True,False,26.343,"LINESTRING (8.7922199 45.663009, 8.7921734 45.6629041, 8.7921485 45.6628479, 8.7921196 45.6627827)",,,,
28447535,2,Via Roma,tertiary,50,True,False,12.341,"LINESTRING (8.7918048 45.6619536, 8.791933 45.6620191)",,,,
27823793,2,Via Roma,tertiary,50,False,False,18.862000000000002,"LINESTRING (8.7918048 45.6619536, 8.7917114 45.6619173, 8.791582 45.6618884)",,,,
27823791,3,Via Roma,tertiary,50,False,False,34.34,"LINESTRING (8.7888225 45.6613945, 8.7885402 45.6613465, 8.7883896 45.6613361)",,,,
239750371,1,Via Giuseppe Mazzini,unclassified,,True,False,25.314,"LINESTRING (8.7888225 45.6613945, 8.7887391 45.6613376, 8.7886545 45.6612039)",,,,
260604727,2,Via Roma,tertiary,50,False,True,221.391,"LINESTRING (8.7888225 45.6613945, 8.7891328 45.6614578, 8.7894966 45.6615238, 8.7902001 45.6616426, 8.791582 45.6618884)",,,,
197584410,1,Via Venti Settembre,tertiary,50,True,False,30.339,"LINESTRING (8.7950592 45.660576, 8.7953221 45.6603743)",,,,
33821299,2,Via Venti Settembre,tertiary,50,False,False,146.906,"LINESTRING (8.7950592 45.660576, 8.7942186 45.6611049, 8.7941407 45.661149, 8.7936854 45.6614095, 8.7936299 45.66144)",,,,
27792661,2,Via Torino,tertiary,,False,False,104.236,"LINESTRING (8.7985349 45.65618, 8.7976974 45.6555968, 8.7975761 45.655525)",,,,
315012623,2,Via Monsignor Pietro Sommariva,unclassified,,False,True,59.627,"LINESTRING (8.7985349 45.65618, 8.7984644 45.6562307, 8.798 45.6565644)",,,,
1244626269,2,Via Torino,tertiary,,False,True,69.051,"LINESTRING (8.7985349 45.65618, 8.7990618 45.6565485, 8.799093 45.6565703, 8.7991674 45.6566159)",,,,
27436813,2,Via Cadore,unclassified,,False,True,117.163,"LINESTRING (8.7975761 45.655525, 8.7975076 45.6555505, 8.7974415 45.655575, 8.796434 45.6559496, 8.7962385 45.6560102)",,,,
27792661,2,Via Torino,tertiary,,False,True,104.236,"LINESTRING (8.7975761 45.655525, 8.7976974 45.6555968, 8.7985349 45.65618)",,,,
27436813,2,Via Cadore,unclassified,,False,False,117.163,"LINESTRING (8.7962385 45.6560102, 8.796434 45.6559496, 8.7974415 45.655575, 8.7975076 45.6555505, 8.7975761 45.655525)",,,,
416207439,1,Via Giacomo Matteotti,residential,30,True,False,151.825,"LINESTRING (8.7962385 45.6560102, 8.7962322 45.6560407, 8.79624 45.6560672, 8.7964459 45.6564184, 8.7967623 45.6569809, 8.796947 45.6572776)",,,,
27651655,1,Via Marsala,residential,,True,False,47.894,"LINESTRING (8.7871132 45.6601367, 8.7868541 45.6597459)",,,,
28282638,2,Via Felice Cavallotti,residential,,False,False,137.34199999999998,"LINESTRING (8.7880273 45.6614833, 8.7880931 45.6615799, 8.7887456 45.662556, 8.7887764 45.662602)",,,,
207755579,2,Corso Sempione,tertiary,50,False,False,65.36699999999999,"LINESTRING (8.7880273 45.6614833, 8.7879071 45.6615359, 8.7873145 45.6617954)",,,,
241770604,3,Corso Sempione,tertiary,50,False,True,32.611000000000004,"LINESTRING (8.7880273 45.6614833, 8.7881593 45.661425, 8.7882911 45.6613685, 8.7883896 45.6613361)",,,,
