osmid,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry,tunnel,junction
694135036,Via Livornese,primary,50,False,True,11.661,,,"LINESTRING (11.1033947 43.7701492, 11.1032535 43.7701737)",,
"[557648264, 161917945, 161917946, 585445937]",Via Livornese,primary,50,False,False,193.85500000000002,yes,1,"LINESTRING (11.1033947 43.7701492, 11.1035538 43.7701216, 11.103846 43.7700688, 11.1039857 43.7700429, 11.104459 43.7699568, 11.1047499 43.7699038, 11.1048531 43.7698847, 11.1051381 43.7698319, 11.1056768 43.7697135, 11.1057276 43.7697021)",,
"[659491257, 874034214, 874034215]",Via Santa Lucia,unclassified,,True,False,59.065,yes,,"LINESTRING (11.1028215 43.7670773, 11.1028281 43.7670788, 11.102887 43.767092, 11.103055 43.7671298, 11.1032438 43.7671794, 11.1035329 43.7671621)",,
"[874034224, 874034225, 659491258, 557648258]",Via di Rimaggio,secondary,,False,False,343.09799999999996,yes,2,"LINESTRING (11.1028215 43.7670773, 11.1027528 43.7672751, 11.1027473 43.7672908, 11.1027371 43.7673138, 11.1027114 43.7673715, 11.1027049 43.7673861, 11.1026913 43.7674167, 11.1025388 43.7677597, 11.1024934 43.7678619, 11.102436 43.7680051, 11.102407 43.7681645, 11.1023963 43.7683233, 11.1024073 43.7685, 11.1024475 43.7686882, 11.1025169 43.7688563, 11.1025807 43.7689728, 11.1026422 43.769085, 11.102744 43.7692306, 11.102824 43.7693468, 11.1029973 43.7695911, 11.1030859 43.769716, 11.1031009 43.7697401, 11.1032489 43.769977, 11.1032553 43.7699903)",,
693517678,Via Livornese,primary,50,False,False,45.876,,,"LINESTRING (11.1062772 43.7696065, 11.1066275 43.7695364, 11.1068251 43.7694899)",,
"[705113885, 705113887]",Via Livornese,primary,50,False,True,28.598,,,"LINESTRING (11.1062772 43.7696065, 11.1060061 43.7696398, 11.1059286 43.7696572)",,
585512135,Via Livornese,primary,50,False,False,4.344,,,"LINESTRING (11.1132435 43.7701166, 11.1132976 43.7701166)",,
43857088,Via 24 Maggio,unclassified,,True,False,39.026,,,"LINESTRING (11.1132435 43.7701166, 11.1131054 43.7701318, 11.1130431 43.7701588, 11.1130046 43.7701956, 11.1129659 43.7702229, 11.112917 43.7702404, 11.1128211 43.7702636)",,
43906083,Via Giovanni Amendola,unclassified,,True,False,221.579,,,"LINESTRING (11.1132435 43.7701166, 11.1130111 43.7691826, 11.112986 43.7690815, 11.1126599 43.7681704)",,
585512135,Via Livornese,primary,50,False,True,24.489,,,"LINESTRING (11.1132435 43.7701166, 11.1130203 43.770098, 11.1129422 43.7700845)",,
557652357,Via Livornese,primary,50,False,False,16.894,,,"LINESTRING (11.1057276 43.7697021, 11.1059286 43.7696572)",,
43970819,Via Armando Diaz,unclassified,,True,False,99.35600000000001,,,"LINESTRING (11.1057276 43.7697021, 11.1056521 43.7695429, 11.1053556 43.7689177, 11.105307 43.7688637)",,
"[557648264, 585445937, 161917946, 161917945]",Via Livornese,primary,50,False,True,193.85500000000002,yes,1,"LINESTRING (11.1057276 43.7697021, 11.1056768 43.7697135, 11.1051381 43.7698319, 11.1048531 43.7698847, 11.1047499 43.7699038, 11.104459 43.7699568, 11.1039857 43.7700429, 11.103846 43.7700688, 11.1035538 43.7701216, 11.1033947 43.7701492)",,
693517685,Via Giacomo Matteotti,unclassified,,True,False,36.519999999999996,,,"LINESTRING (11.1057276 43.7697021, 11.1058382 43.7695834, 11.1059815 43.7694296)",,
43857089,Via Primo Maggio,unclassified,,True,False,83.163,,,"LINESTRING (11.1079701 43.769327, 11.1072158 43.7698395)",,
45373724,Via Primo Maggio,unclassified,,True,False,107.644,,,"LINESTRING (11.1079701 43.769327, 11.1086167 43.7687805, 11.1088783 43.7686179)",,
557652363,Via Livornese,primary,50,False,False,112.846,,,"LINESTRING (11.1079701 43.769327, 11.1080391 43.7693369, 11.1083988 43.7693887, 11.1087997 43.7694432, 11.1088467 43.7694519, 11.1089833 43.7694724, 11.1093463 43.7695319)",,
557652363,Via Livornese,primary,50,False,True,97.18799999999999,,,"LINESTRING (11.1079701 43.769327, 11.1077388 43.7692881, 11.1075483 43.7692832, 11.1074251 43.7692999, 11.1073097 43.7693266, 11.1069841 43.7694482, 11.1068251 43.7694899)",,
585512134,Via 24 Maggio,unclassified,,False,True,20.016,,,"LINESTRING (11.1090012 43.771037, 11.1092448 43.7709988)",,
585512139,Via 24 Maggio,residential,,False,False,7.469,,,"LINESTRING (11.1090012 43.771037, 11.1089086 43.7710434)",,
43898958,Via Filippo Brunelleschi,unclassified,,False,False,173.41899999999998,,,"LINESTRING (11.1090012 43.771037, 11.109009 43.7710692, 11.1090806 43.7713655, 11.109055 43.7714368, 11.1076005 43.7719112)",,
585512139,Via 24 Maggio,residential,,False,False,9.324,,,"LINESTRING (11.1089086 43.7710434, 11.1088077 43.7710019)",,
585512139,Via 24 Maggio,residential,,False,True,7.469,,,"LINESTRING (11.1089086 43.7710434, 11.1090012 43.771037)",,
