osmid,name,highway,oneway,reversed,length,lanes,maxspeed,access,geometry,junction
160934298,Vicolo Imperia,residential,False,True,41.446,,,,"LINESTRING (10.7746007 43.8810348, 10.7748802 43.8813484)",
184984036,Corso Giacomo Matteotti,secondary,False,False,22.111,2,50,yes,"LINESTRING (10.7746007 43.8810348, 10.7744994 43.8810807, 10.7743672 43.8811407)",
184984036,Corso Giacomo Matteotti,secondary,False,True,61.312,2,50,yes,"LINESTRING (10.7746007 43.8810348, 10.7749377 43.880936, 10.7751171 43.8808962, 10.7753215 43.8808518)",
40713518,Corso Giacomo Matteotti,residential,True,False,47.955,,,yes,"LINESTRING (10.7743672 43.8811407, 10.7742616 43.881198, 10.7738892 43.8814001)",
180151157,Via Enrico Toti,secondary,False,False,89.711,2,50,yes,"LINESTRING (10.7743672 43.8811407, 10.7743047 43.8811091, 10.7741671 43.8810324, 10.7741096 43.8810184, 10.7740522 43.8810218, 10.7733963 43.8811414, 10.7733242 43.881154)",
184984036,Corso Giacomo Matteotti,secondary,False,True,22.111,2,50,yes,"LINESTRING (10.7743672 43.8811407, 10.7744994 43.8810807, 10.7746007 43.8810348)",
47258905,Via Paolo Savi,residential,False,False,39.478,,,,"LINESTRING (10.7670613 43.8823243, 10.7668875 43.8819921)",
342751882,Via Daniele Manin,secondary,False,False,105.29,2,50,yes,"LINESTRING (10.7670613 43.8823243, 10.7667716 43.8823797, 10.7666222 43.8824082, 10.7664635 43.8824385, 10.7662902 43.8824716, 10.7661686 43.8824948, 10.7658594 43.8825539, 10.7657914 43.8825669)",
342751882,Via Daniele Manin,secondary,False,True,58.667,2,50,yes,"LINESTRING (10.7670613 43.8823243, 10.7671471 43.8823079, 10.7676212 43.8822174, 10.7677689 43.8821892)",
40713515,Viale Ferdinando Martini,unclassified,True,False,113.048,,,yes,"LINESTRING (10.7668567 43.8849359, 10.766429 43.8839671)",
143590843,Viale Antonio Balducci,unclassified,True,False,31.32,,,yes,"LINESTRING (10.7668567 43.8849359, 10.7669836 43.8852023)",
37574006,Corso Roma,residential,True,False,62.174,,,yes,"LINESTRING (10.7668567 43.8849359, 10.766947 43.8849082, 10.7670949 43.8848629, 10.7675381 43.8846711)",
24608428,Viale Egisto Simoncini,unclassified,False,True,74.347,2,50,yes,"LINESTRING (10.7655021 43.8874468, 10.7652243 43.8868686, 10.7651985 43.886815)",
40713498,Via della Torretta,residential,True,False,71.146,,,yes,"LINESTRING (10.7720461 43.8858648, 10.7720821 43.8865041)",
46135494,Via Carlo Rosselli,unclassified,True,False,40.953,,,yes,"LINESTRING (10.7720461 43.8858648, 10.7715616 43.8859819)",
40713498,Via della Torretta,residential,True,False,84.05,,,yes,"LINESTRING (10.7719477 43.8851233, 10.7719775 43.885163, 10.7720256 43.8852271, 10.7720448 43.8858248, 10.7720461 43.8858648)",
"[41731688, 41594080]",Via della Torretta,residential,False,False,159.655,,,yes,"LINESTRING (10.7719477 43.8851233, 10.7719481 43.885043, 10.7719095 43.8849789, 10.771638 43.8845274, 10.7714956 43.8842906, 10.7720032 43.8838996)",
184984043,Viale Giovanni Amendola,unclassified,True,False,59.627,,,yes,"LINESTRING (10.7705504 43.8855047, 10.7706365 43.8854839, 10.771256 43.8853346)",
184984050,Viale IV Novembre,residential,True,False,76.086,,,yes,"LINESTRING (10.7705504 43.8855047, 10.7705842 43.885576, 10.7708574 43.8861522)",
24608428,Viale Egisto Simoncini,unclassified,False,False,74.347,2,50,yes,"LINESTRING (10.7651985 43.886815, 10.7652243 43.8868686, 10.7655021 43.8874468)",
40713497,Viale Giovanni Amendola,unclassified,True,False,68.107,,,yes,"LINESTRING (10.7651985 43.886815, 10.765296 43.8867911, 10.7660032 43.886618)",
40713497,Viale Giovanni Amendola,unclassified,True,False,63.666,,,yes,"LINESTRING (10.7660032 43.886618, 10.7667554 43.8864338)",
