osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,access,maxspeed
"[31331281, 239239739]",2,Via Cristoforo Colombo,secondary,False,False,85.77300000000001,"LINESTRING (13.4865278 43.4839374, 13.4869021 43.4838817, 13.4871297 43.4838419, 13.4872745 43.4838145, 13.4873537 43.4837963, 13.4874171 43.4837782, 13.4874606 43.4837561, 13.4875224 43.4837057)",,,
156739505,1,Via Cristoforo Colombo,secondary,True,False,18.34,"LINESTRING (13.4865278 43.4839374, 13.4864039 43.4839815, 13.4863377 43.484025)",,,
156739502,1,Via Cristoforo Colombo,secondary,True,False,48.918,"LINESTRING (13.4855544 43.4841828, 13.4859109 43.484092, 13.4861266 43.4840373)",,,
592753076,2,Via Cristoforo Colombo,secondary,False,True,74.24600000000001,"LINESTRING (13.4855544 43.4841828, 13.4851266 43.4842733, 13.4849105 43.4843453, 13.4847078 43.4844342)",,,
25471740,2,Via Cristoforo Colombo,secondary,False,False,76.265,"LINESTRING (13.4812805 43.4828569, 13.4814916 43.4829753, 13.4817035 43.4830915, 13.4819136 43.4831899, 13.482058 43.4832444)",,,
"[155245208, 1101785322]",1,Via Cristoforo Colombo,secondary,True,False,26.041,"LINESTRING (13.4812805 43.4828569, 13.4812068 43.48282, 13.4811381 43.482787, 13.4810124 43.4827265)",,,
31102810,1,Via Ungheria,secondary,True,False,7.136,"LINESTRING (13.4810124 43.4827265, 13.4809841 43.4827326, 13.4809547 43.4827338, 13.4809257 43.48273)",roundabout,,
31102810,1,Via Ungheria,secondary,True,False,13.998999999999999,"LINESTRING (13.4810242 43.4825616, 13.4810519 43.4825768, 13.4810729 43.4825968, 13.4810856 43.4826203, 13.4810891 43.4826453, 13.4810831 43.4826701)",roundabout,,
155245220,1,Via Montefanese,secondary,True,False,37.528,"LINESTRING (13.4809243 43.4821461, 13.4808424 43.4820086, 13.4807866 43.481935, 13.4807013 43.4818518)",,,
155245243,2,,secondary,False,True,18.243000000000002,"LINESTRING (13.4809243 43.4821461, 13.4809419 43.482213, 13.4809548 43.4823085)",,,
31670608,1,Via Montefanese,secondary,True,False,22.863,"LINESTRING (13.4806749 43.48183, 13.4806602 43.4818066, 13.4806551 43.4817812, 13.4806597 43.4817557, 13.4806739 43.4817322, 13.4806965 43.4817124, 13.4807258 43.4816979, 13.4807594 43.4816898, 13.4807948 43.4816887)",roundabout,,
"[31926168, 31670609]",1,Via Montefanese,secondary,True,False,69.95400000000001,"LINESTRING (13.4806749 43.48183, 13.4805888 43.481768, 13.4805356 43.481739, 13.4804716 43.4817183, 13.480417 43.4817045, 13.4803593 43.4816952, 13.4803194 43.481691, 13.480272 43.4816869, 13.4801977 43.4816802, 13.4801139 43.4816802, 13.4799963 43.4816871, 13.4798751 43.4817158)",,,
155245221,1,Via Montefanese,secondary,True,False,45.902,"LINESTRING (13.4802289 43.4816462, 13.4807948 43.4816887)",,,
31670179,1,Via Montefanese,secondary,True,False,27.901,"LINESTRING (13.479827 43.481762, 13.4795348 43.4818962)",,,
31926166,,Via Ungheria,residential,False,False,131.876,"LINESTRING (13.479827 43.481762, 13.4806483 43.4827874)",,destination,
31670178,1,Via Montefanese,secondary,True,False,16.39,"LINESTRING (13.479827 43.481762, 13.4798009 43.4817711, 13.4797724 43.4817752, 13.4797434 43.4817741, 13.4797157 43.4817678, 13.479691 43.4817567, 13.4796709 43.4817415, 13.4796566 43.4817232)",roundabout,,
155245246,1,,secondary,True,False,28.761,"LINESTRING (13.4808959 43.4825636, 13.4809548 43.4823085)",,,
31102810,1,Via Ungheria,secondary,True,False,10.821,"LINESTRING (13.4808959 43.4825636, 13.4809265 43.4825537, 13.4809597 43.48255, 13.480993 43.4825527, 13.4810242 43.4825616)",roundabout,,
31102810,1,Via Ungheria,secondary,True,False,11.506,"LINESTRING (13.4808363 43.482652, 13.4808375 43.4826261, 13.4808485 43.4826015, 13.4808685 43.4825801, 13.4808959 43.4825636)",roundabout,,
155245229,1,Via Ungheria,secondary,True,False,23.273,"LINESTRING (13.4809257 43.48273, 13.4806483 43.4827874)",,,50
31102810,1,Via Ungheria,secondary,True,False,11.902,"LINESTRING (13.4809257 43.48273, 13.4808923 43.4827186, 13.4808649 43.4827007, 13.4808457 43.4826779, 13.4808363 43.482652)",roundabout,,
31102810,1,Via Ungheria,secondary,True,False,8.71,"LINESTRING (13.4810831 43.4826701, 13.4810673 43.4826936, 13.4810431 43.4827129, 13.4810124 43.4827265)",roundabout,,
155245209,1,Via Cristoforo Colombo,secondary,True,False,26.177,"LINESTRING (13.4810831 43.4826701, 13.4812244 43.4828014, 13.4812805 43.4828569)",,,
1101785323,2,Via Ungheria,secondary,False,True,6.976,"LINESTRING (13.4773919 43.4853081, 13.4774009 43.4852457)",,,50
