osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,ref,lanes,tunnel
39528660,secondary,roundabout,True,False,9.323,"LINESTRING (8.997663 45.2917205, 8.997688 45.2917423, 8.9977039 45.2917679, 8.9977097 45.2917955)",,,,,
686476687,secondary,,True,False,18.899,"LINESTRING (8.9975024 45.2917001, 8.9976628 45.291573)",Via Circonvallazione,,,,
39528660,secondary,roundabout,True,False,13.458,"LINESTRING (8.9975024 45.2917001, 8.997544 45.2916925, 8.997587 45.2916935, 8.9976278 45.2917031, 8.997663 45.2917205)",,,,,
39528660,secondary,roundabout,True,False,4.87,"LINESTRING (8.9974516 45.291725, 8.9974751 45.2917107, 8.9975024 45.2917001)",,,,,
1187423088,secondary,,False,True,56.608999999999995,"LINESTRING (8.9974516 45.291725, 8.9971336 45.2915624, 8.9968605 45.2914314)",Via Circonvallazione,50,,,
39528660,secondary,roundabout,True,False,11.350999999999999,"LINESTRING (8.997415 45.2918201, 8.9974121 45.2917862, 8.9974247 45.2917533, 8.9974516 45.291725)",,,,,
39528660,secondary,roundabout,True,False,22.531999999999996,"LINESTRING (8.9976435 45.291884, 8.9976116 45.2918954, 8.9975767 45.2919011, 8.9975334 45.2919, 8.9974925 45.2918902, 8.9974572 45.2918726, 8.9974307 45.2918485, 8.997415 45.2918201)",,,,,
39528660,secondary,roundabout,True,False,11.538,"LINESTRING (8.9977097 45.2917955, 8.9977022 45.2918297, 8.9976793 45.2918603, 8.9976435 45.291884)",,,,,
686476683,residential,,True,False,21.714,"LINESTRING (8.9977097 45.2917955, 8.997806 45.2918772, 8.997848 45.2919613)",Via Trilussa,,,,
43930128,residential,,True,False,110.989,"LINESTRING (8.9961889 45.2881912, 8.9955358 45.2890773)",Via Ada Negri,50,,,
160992536,tertiary,,False,True,48.358,"LINESTRING (8.9961889 45.2881912, 8.9967166 45.2884177)",Via Cavour,50,SP33,,
160992536,tertiary,,False,False,87.965,"LINESTRING (8.9961889 45.2881912, 8.9961034 45.2881564, 8.9956069 45.2879729, 8.9951757 45.2878508)",Via Cavour,50,SP33,,
43930133,tertiary,,True,False,100.215,"LINESTRING (8.9948855 45.2857828, 8.9949232 45.2858131, 8.9949772 45.2858407, 8.9950679 45.2858663, 8.9952 45.2859034, 8.9959968 45.2861275, 8.9960409 45.286155)",Via Annoni,50,,,
"[51347984, 180315367]",tertiary,,False,True,139.347,"LINESTRING (8.9948855 45.2857828, 8.9948548 45.2857921, 8.9948096 45.285795, 8.9947347 45.28579, 8.9946408 45.2857736, 8.9938116 45.2855931, 8.9937311 45.2855903, 8.9936623 45.2856003, 8.9936265 45.2856281, 8.9935984 45.2856554, 8.9935405 45.2857249, 8.9934284 45.2859175)","['Piazza Giuseppe Garibaldi', 'Via Tacconi']",50,,,
"[180315360, 1187423092]",tertiary,,False,False,146.22899999999998,"LINESTRING (8.9948855 45.2857828, 8.9949097 45.2857661, 8.9949248 45.285738, 8.9953877 45.2848082, 8.9954653 45.2846241, 8.995491 45.2845421)",Via Vittorio Veneto,50,,,
40707502,secondary,,False,False,42.594,"LINESTRING (8.993204 45.2904634, 8.9937247 45.2905754)",Via Circonvallazione,50,,,
40707502,secondary,,False,True,22.69,"LINESTRING (8.993204 45.2904634, 8.9930086 45.2904214, 8.9929266 45.2904038)",Via Circonvallazione,50,,,
160992536,tertiary,,False,False,48.358,"LINESTRING (8.9967166 45.2884177, 8.9961889 45.2881912)",Via Cavour,50,SP33,,
43930115,secondary,,False,True,342.638,"LINESTRING (8.9967166 45.2884177, 8.9975696 45.2867852, 8.9977001 45.2865354, 8.9977527 45.2864348, 8.9978034 45.2863376, 8.9978734 45.2862036, 8.9982277 45.2855255)",Via del Cavo,50,,,
1061076028,secondary,,False,True,135.14,"LINESTRING (8.9967166 45.2884177, 8.9969328 45.2885593, 8.9972126 45.2887566, 8.9979507 45.289268)",Via Cavour,50,SP33,,
484406974,tertiary,,False,True,12.412,"LINESTRING (8.9868533 45.2906851, 8.9867173 45.2907426)",Via Gigi Borgomaneri,,,,
484406975,tertiary,,False,False,54.319,"LINESTRING (8.9868533 45.2906851, 8.9874485 45.2904335)",Via Gigi Borgomaneri,50,,,
1187423093,tertiary_link,,True,False,8.174,"LINESTRING (8.9868533 45.2906851, 8.9868003 45.2906959, 8.9867784 45.2907006, 8.9867522 45.290703)",Via Alcide De Gasperi,,,,
