osmid,highway,oneway,reversed,length,geometry,lanes,ref,junction,name
75688758,residential,False,False,63.868,"LINESTRING (14.5433173 42.0198073, 14.5440153 42.0200543)",,,,
75688781,residential,False,True,56.228,"LINESTRING (14.5433173 42.0198073, 14.5436195 42.0193542)",,,,
75688781,residential,False,False,67.125,"LINESTRING (14.5433173 42.0198073, 14.542963 42.0196812, 14.5427952 42.019967)",,,,
75688779,tertiary,False,False,141.48899999999998,"LINESTRING (14.5471743 42.0185851, 14.5471554 42.0185088, 14.5471428 42.0184439, 14.5470687 42.0180605, 14.5469965 42.0179393, 14.5466298 42.0176818, 14.5464712 42.017515, 14.5464546 42.0174873)",2,SP167,,
75688779,tertiary,False,True,45.496,"LINESTRING (14.5471743 42.0185851, 14.5472088 42.0187244, 14.5472896 42.0189851)",2,SP167,,
302113511,residential,False,True,22.713,"LINESTRING (14.5448126 42.0225879, 14.5446726 42.0227637)",,,,
75688768,residential,False,False,173.511,"LINESTRING (14.5448126 42.0225879, 14.5446742 42.0223189, 14.5445266 42.0218461, 14.5445866 42.0214588, 14.544579 42.0210616)",,,,
302113511,residential,False,False,109.585,"LINESTRING (14.5448126 42.0225879, 14.5452066 42.022347, 14.5454641 42.02208, 14.5456242 42.0219244, 14.54571 42.0218726)",,,,
75688768,residential,False,True,94.614,"LINESTRING (14.5427952 42.019967, 14.5438443 42.0203084)",,,,
75688768,residential,False,False,144.12300000000002,"LINESTRING (14.5427952 42.019967, 14.5426885 42.0199322, 14.5415769 42.0195724, 14.5413209 42.0195142, 14.5411733 42.019521)",,,,
75688781,residential,False,True,67.125,"LINESTRING (14.5427952 42.019967, 14.542963 42.0196812, 14.5433173 42.0198073)",,,,
75688770,residential,False,False,194.789,"LINESTRING (14.546225 42.0180643, 14.5463174 42.0181892, 14.5462769 42.0184129, 14.5462216 42.0186418, 14.5463434 42.0189242, 14.5464578 42.0190832, 14.5464504 42.0193903, 14.5465057 42.0195383, 14.546515 42.019674, 14.5464847 42.0197482)",,,,
904131020,tertiary,True,False,3.733,"LINESTRING (14.546225 42.0180643, 14.5462208 42.0180703, 14.5462142 42.0180748, 14.5462059 42.0180775, 14.5461969 42.018078, 14.5461882 42.0180762)",,SP165,roundabout,
75688781,residential,False,False,56.228,"LINESTRING (14.5436195 42.0193542, 14.5433173 42.0198073)",,,,
75688757,tertiary,False,False,63.212,"LINESTRING (14.5436195 42.0193542, 14.5442003 42.0195778, 14.5443043 42.0196067)",,SP165,,
75688757,tertiary,False,True,274.43,"LINESTRING (14.5436195 42.0193542, 14.5436071 42.0193494, 14.5435081 42.0193113, 14.5429118 42.0190701, 14.5423479 42.0188782, 14.5420866 42.0188519, 14.5415745 42.0189232, 14.5413604 42.018955, 14.5409545 42.0190668, 14.5405412 42.0192192)",,SP165,,
75688757,tertiary,False,False,274.42999999999995,"LINESTRING (14.5405412 42.0192192, 14.5409545 42.0190668, 14.5413604 42.018955, 14.5415745 42.0189232, 14.5420866 42.0188519, 14.5423479 42.0188782, 14.5429118 42.0190701, 14.5435081 42.0193113, 14.5436071 42.0193494, 14.5436195 42.0193542)",,SP165,,
75688790,tertiary,False,True,15.245,"LINESTRING (14.5449143 42.0187968, 14.5450228 42.0186859)",,SP165,,
1052366358,residential,True,False,34.43,"LINESTRING (14.5449143 42.0187968, 14.5445607 42.0186329)",1,,,
