osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,access,tunnel
1259673013,2,Via Cavalieri di Malta,primary,50,False,True,105.911,,"LINESTRING (17.1255602 40.8515279, 17.1246356 40.8521745)",,,
27702816,2,Via Federico II,primary,,False,False,59.14,SS172,"LINESTRING (17.1255602 40.8515279, 17.1256381 40.8514617, 17.1260275 40.8511305)",,,
28415996,2,,unclassified,,False,False,39.074,,"LINESTRING (17.1255602 40.8515279, 17.1254849 40.8514651, 17.1252481 40.8512676)",,,
1217108169,2,SP237,secondary,50,False,False,39.852000000000004,SP237,"LINESTRING (17.1255602 40.8515279, 17.1256699 40.8516116, 17.1257611 40.8516813, 17.1258937 40.8517825)",,,
27702816,2,Via Federico II,primary,,False,False,37.672,SS172,"LINESTRING (17.1280633 40.8493504, 17.1282019 40.8492283, 17.128278 40.8491636, 17.1283763 40.8491107)",,,
27702816,2,Via Federico II,primary,,False,True,113.203,SS172,"LINESTRING (17.1280633 40.8493504, 17.1279229 40.8494829, 17.1275922 40.849803, 17.1274547 40.8499349, 17.1272255 40.8501471)",,,
28309416,,Via Eroi del Mare,unclassified,,False,False,53.358000000000004,,"LINESTRING (17.1280633 40.8493504, 17.1278087 40.8491444, 17.1276289 40.8490007)",,,
79851853,,,tertiary,50,False,True,29.082,,"LINESTRING (17.1270193 40.8471109, 17.1267732 40.8472946)",,,
79851853,,,tertiary,50,False,False,82.511,,"LINESTRING (17.1270193 40.8471109, 17.1274342 40.8468495, 17.1276076 40.8467783, 17.1276474 40.846762, 17.1277509 40.8467265, 17.1278281 40.8467)",,,
140151348,,,unclassified,,True,False,12.411000000000001,,"LINESTRING (17.1244249 40.85042, 17.124457 40.8504463, 17.1244725 40.8504773, 17.1244691 40.8505199)",roundabout,,
140151556,,Via Estramurale a Levante,residential,,False,False,21.523,,"LINESTRING (17.1244249 40.85042, 17.1245395 40.8503017, 17.1245762 40.8502639)",,,
265587324,,,residential,,False,False,52.768,,"LINESTRING (17.1201569 40.8501535, 17.1207646 40.8502714)",,,
265587324,,,residential,,False,True,28.059,,"LINESTRING (17.1201569 40.8501535, 17.1198351 40.850087)",,,
269497933,,Via Dante Alighieri,unclassified,,True,False,81.416,,"LINESTRING (17.1201569 40.8501535, 17.1199317 40.8508656)",,,
