osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,ref,bridge,junction
17675245,2,Via Marina Vecchia,secondary,40,False,True,3.08,"LINESTRING (10.1341764 44.0319659, 10.1341489 44.0319465)",,,,
17675245,2,Via Marina Vecchia,secondary,40,False,False,102.14599999999997,"LINESTRING (10.1341764 44.0319659, 10.1342138 44.0319925, 10.1344597 44.0321636, 10.1345109 44.0321999, 10.134735 44.0323552, 10.1348874 44.0324612, 10.1349848 44.0325289, 10.1350172 44.0325515, 10.1350392 44.0325667, 10.1350942 44.032605)",,,,
319169793,,Via Girolamo Guidoni,residential,,True,False,46.318,"LINESTRING (10.1430679 44.0365652, 10.1431569 44.0361536)",,,,
"[136110656, 71026369]",,"['Via Cairoli', 'Via Luigi Staffetti']",residential,,True,False,148.735,"LINESTRING (10.1430679 44.0365652, 10.1432532 44.0366301, 10.1434732 44.0367365, 10.1437556 44.0368872, 10.1440775 44.0366723, 10.1442589 44.0365037, 10.1443234 44.0362917)",,,,
45585108,,Via Bocchetta,residential,,False,False,103.273,"LINESTRING (10.1440012 44.0372294, 10.144019 44.0372736, 10.1440328 44.037291, 10.1440563 44.0373024, 10.1440934 44.0373125, 10.1442855 44.0373294, 10.1443391 44.037339, 10.1444 44.0373695, 10.1449688 44.0376851, 10.1450429 44.0377225)",,,,
24521820,,Via Mura Nord,tertiary,,False,False,23.032,"LINESTRING (10.1438216 44.0386495, 10.143702 44.038656, 10.143534 44.0386618)",,,,
24533978,,Via dei Colli,tertiary,,False,False,56.238,"LINESTRING (10.1438216 44.0386495, 10.1438487 44.038647, 10.1440292 44.0386497, 10.1445154 44.0387191)",,,,
"[321606634, 176010847]",,Via Palestro,tertiary,,True,False,32.763,"LINESTRING (10.1438216 44.0386495, 10.1437693 44.0388114, 10.1437001 44.0388835, 10.1436816 44.0389045, 10.1436697 44.038918)",building_passage,,,
71019333,,Via San Francesco,residential,,False,False,75.572,"LINESTRING (10.1445154 44.0387191, 10.1454499 44.0388221)",,,,
24533978,,Via dei Colli,tertiary,,False,False,59.382999999999996,"LINESTRING (10.1445154 44.0387191, 10.1445357 44.0387396, 10.1445999 44.0388046, 10.1449446 44.039155)",,,,
24533978,,Via dei Colli,tertiary,,False,True,56.23799999999999,"LINESTRING (10.1445154 44.0387191, 10.1440292 44.0386497, 10.1438487 44.038647, 10.1438216 44.0386495)",,,,
24533978,,Via dei Colli,tertiary,,False,True,59.382999999999996,"LINESTRING (10.1449446 44.039155, 10.1445999 44.0388046, 10.1445357 44.0387396, 10.1445154 44.0387191)",,,,
71019315,,Via dei Colli,residential,,False,False,113.00500000000001,"LINESTRING (10.1449446 44.039155, 10.1445647 44.0395812, 10.1443424 44.0398221, 10.1441561 44.0399979)",,,,
71155176,2,Strada Statale Aurelia,primary,50,False,False,27.747,"LINESTRING (10.1337989 44.0397345, 10.1337154 44.0397769, 10.1336417 44.039797, 10.1334787 44.0398198)",,SS1,,
"[71155176, 596191824, 71155172]",2,"['Via Giacomo Puccini', 'Strada Statale Aurelia', 'Ponte di Castagnola']",primary,50,False,True,309.46299999999997,"LINESTRING (10.1337989 44.0397345, 10.1338357 44.0397043, 10.1357391 44.0382258, 10.1362546 44.0378318, 10.1364342 44.0376958)",,SS1,yes,
