osmid,oneway,highway,reversed,length,lanes,ref,name,maxspeed,geometry,junction,access
34010956,True,primary_link,False,16.006,,,,,"LINESTRING (8.3152008 40.5602577, 8.31503 40.56032)",,
539191813,True,primary,False,17.754,2,SS127bis,Via Giuseppe Garibaldi,50,"LINESTRING (8.3152008 40.5602577, 8.3151886 40.5603215, 8.3152107 40.5604152)",,
539191812,True,primary,False,15.832,2,SS127bis,Via Giuseppe Garibaldi,50,"LINESTRING (8.316156 40.5620207, 8.3162291 40.5621518)",,
38765465,False,secondary,False,168.23700000000002,,,Via Alberto La Marmora,50,"LINESTRING (8.316156 40.5620207, 8.3162621 40.5618857, 8.316369 40.5617498, 8.3171795 40.5607228)",,
85478057,True,residential,False,137.627,,,Via Eleonora D'Arborea,50,"LINESTRING (8.3156189 40.5610781, 8.3171795 40.5607228)",,
539191813,True,primary,False,114.22,2,SS127bis,Via Giuseppe Garibaldi,50,"LINESTRING (8.3156189 40.5610781, 8.3156529 40.5611455, 8.3159958 40.561747, 8.3160303 40.5618075, 8.316156 40.5620207)",,
85478058,True,primary,False,83.012,2,SS127bis,Via Vittorio Emanuele II,50,"LINESTRING (8.3160892 40.5590055, 8.3169368 40.5593832)",,
114146941,True,primary,False,118.36,2,,Via Cagliari,50,"LINESTRING (8.3160892 40.5590055, 8.3159969 40.5591327, 8.3154632 40.5598388, 8.3153977 40.5599312)",,
109367865,True,primary,False,53.901,2,,Via Sassari,,"LINESTRING (8.315432 40.5586982, 8.3157654 40.5582849)",,
666445145,True,primary,False,65.192,2,SS127bis,Via Vittorio Emanuele II,50,"LINESTRING (8.315432 40.5586982, 8.3160892 40.5590055)",,
85478058,True,primary,False,93.255,2,SS127bis,Via Vittorio Emanuele II,50,"LINESTRING (8.3169368 40.5593832, 8.317889 40.5598075)",,
109367865,True,primary,False,92.88,2,,Via Sassari,,"LINESTRING (8.3160711 40.557889, 8.3166289 40.5571692)",,
109898507,True,residential,False,63.179,1,,Via Giuseppe Mazzini,50,"LINESTRING (8.3160711 40.557889, 8.316718 40.5581741)",,
109898507,True,residential,False,85.488,1,,Via Giuseppe Mazzini,50,"LINESTRING (8.316718 40.5581741, 8.3175821 40.5585742)",,
"[666445147, 43105884]",True,primary,False,51.394000000000005,2,SS292,Via Cagliari,,"LINESTRING (8.316718 40.5581741, 8.3166051 40.558316, 8.3164034 40.5585697)",,
109898507,True,residential,False,92.448,1,,Via Giuseppe Mazzini,50,"LINESTRING (8.3175821 40.5585742, 8.3185175 40.5590057)",,
38765476,True,residential,False,105.186,,,Via Lo Frasso,50,"LINESTRING (8.3175821 40.5585742, 8.3172875 40.5589435, 8.317267 40.5589692, 8.3169368 40.5593832)",,
109367866,True,secondary,False,93.035,,,Via Alberto La Marmora,50,"LINESTRING (8.3185175 40.5590057, 8.3190997 40.5582955)",,
