osmid,ref,name,highway,width,oneway,reversed,length,geometry,tunnel,lanes,maxspeed,access
37030136,SR444,Piazza Giacomo Matteotti,secondary,6.5,False,True,105.858,"LINESTRING (12.6186994 43.0699352, 12.6187308 43.0699665, 12.6187651 43.0699944, 12.6188271 43.0700372, 12.6191849 43.0702843, 12.6193007 43.0703675, 12.6193649 43.0704131, 12.6196247 43.0706046)",,,,
"[149526968, 254854444, 254854445]",,Via del Torrione,residential,,True,False,178.99999999999997,"LINESTRING (12.6186994 43.0699352, 12.6186631 43.0699395, 12.6186241 43.0699467, 12.6185985 43.0699539, 12.6185702 43.069964, 12.6185372 43.0699813, 12.6185102 43.0699966, 12.6184805 43.0700158, 12.6184544 43.0700363, 12.6184256 43.0700608, 12.6182953 43.0701792, 12.6181705 43.0703139, 12.6181002 43.0704231, 12.6180449 43.0704918, 12.6177944 43.070728, 12.6175707 43.0708259, 12.6175146 43.0708489, 12.6171751 43.0710437)",building_passage,,,
"[326393639, 37031862, 523355479]",SR444,"['Piazza Giacomo Matteotti', 'Viale Umberto I']",secondary,,False,False,250.568,"LINESTRING (12.6186994 43.0699352, 12.6186837 43.0699081, 12.6186721 43.069882, 12.6186655 43.069856, 12.618663 43.069831, 12.6186639 43.0698022, 12.6186662 43.0697735, 12.6186725 43.0697437, 12.6186802 43.069714, 12.6186902 43.0696911, 12.6187055 43.0696627, 12.6187248 43.0696343, 12.6187491 43.069608, 12.6187774 43.0695817, 12.6189112 43.0694703, 12.6189343 43.0694504, 12.6190721 43.0693393, 12.6191174 43.0693012, 12.6191601 43.069262, 12.6192115 43.0692026, 12.6192602 43.0691423, 12.6192936 43.0690994, 12.6193141 43.0690639, 12.6193434 43.069008, 12.6193609 43.068968, 12.6193741 43.068931, 12.6193873 43.0688873, 12.6194097 43.0687987, 12.6194335 43.0687102, 12.61946 43.0686206, 12.6194845 43.0685425, 12.6195118 43.0684633, 12.6196378 43.0681149, 12.619653 43.0680764, 12.6196696 43.0680369, 12.6196887 43.0680005, 12.6197091 43.067963, 12.6197377 43.0679186, 12.6197607 43.0678891)",,2,,
37030135,SR444,Via Vilamena,secondary,,False,False,129.819,"LINESTRING (12.6204534 43.0716287, 12.620426 43.0716163, 12.6203797 43.0715926, 12.6202323 43.0715082, 12.6201507 43.0714582, 12.6201116 43.0714331, 12.6200897 43.0714175, 12.6200699 43.0714023, 12.6200358 43.0713727, 12.6199936 43.0713307, 12.6199669 43.0713009, 12.6199486 43.0712803, 12.6199209 43.0712463, 12.6198945 43.071212, 12.6198814 43.0711907, 12.6198696 43.0711684, 12.6198587 43.0711454, 12.6198491 43.0711215, 12.6198363 43.0710818, 12.6198262 43.0710441, 12.6198174 43.0710067, 12.6198033 43.070924, 12.6197923 43.0708768, 12.6197773 43.0708296, 12.6197589 43.0707862, 12.6197364 43.0707428, 12.6197248 43.070722, 12.6197055 43.0706904, 12.6196835 43.0706598)",,,,
170421458,,Via Porta Perlici,residential,,True,False,99.21300000000001,"LINESTRING (12.6204534 43.0716287, 12.6204363 43.0716393, 12.6204164 43.0716445, 12.6203907 43.0716468, 12.6203647 43.0716432, 12.62034 43.0716347, 12.6201547 43.071547, 12.6197473 43.0714571, 12.6195114 43.0713916, 12.6194434 43.0713628, 12.6193228 43.0713683)",,,,
34353820,SP251,Via Santuario delle Carceri,tertiary,,False,False,74.598,"LINESTRING (12.6196835 43.0706598, 12.6197325 43.0706364, 12.6197802 43.0706129, 12.6198272 43.0705889, 12.6198729 43.0705648, 12.6199021 43.0705484, 12.6199308 43.0705318, 12.6199566 43.0705145, 12.6199818 43.0704971, 12.6200192 43.0704665, 12.6200525 43.0704349, 12.6200938 43.0703901, 12.6201297 43.0703453, 12.6202669 43.0701589)",,,,
37030135,SR444,Via Vilamena,secondary,,False,True,129.819,"LINESTRING (12.6196835 43.0706598, 12.6197055 43.0706904, 12.6197248 43.070722, 12.6197364 43.0707428, 12.6197589 43.0707862, 12.6197773 43.0708296, 12.6197923 43.0708768, 12.6198033 43.070924, 12.6198174 43.0710067, 12.6198262 43.0710441, 12.6198363 43.0710818, 12.6198491 43.0711215, 12.6198587 43.0711454, 12.6198696 43.0711684, 12.6198814 43.0711907, 12.6198945 43.071212, 12.6199209 43.0712463, 12.6199486 43.0712803, 12.6199669 43.0713009, 12.6199936 43.0713307, 12.6200358 43.0713727, 12.6200699 43.0714023, 12.6200897 43.0714175, 12.6201116 43.0714331, 12.6201507 43.0714582, 12.6202323 43.0715082, 12.6203797 43.0715926, 12.620426 43.0716163, 12.6204534 43.0716287)",,,,
523746014,SR444,Piazza Giacomo Matteotti,secondary,,False,False,7.786,"LINESTRING (12.6196835 43.0706598, 12.6196636 43.0706385, 12.6196411 43.0706182, 12.6196247 43.0706046)",,,,
619861406,,Via della Rocca,residential,,False,False,311.50399999999996,"LINESTRING (12.6166953 43.0724212, 12.6168743 43.0724085, 12.6169938 43.0723846, 12.6171105 43.0723376, 12.6173713 43.0721783, 12.6174271 43.072149, 12.6174462 43.0721453, 12.6174658 43.0721446, 12.6174838 43.0721484, 12.6174986 43.0721535, 12.6175129 43.0721613, 12.6175232 43.072169, 12.6175319 43.0721804, 12.6175375 43.0721917, 12.6175415 43.0722031, 12.6175439 43.0722165, 12.6175418 43.0722311, 12.6175372 43.0722435, 12.6175298 43.0722589, 12.6174959 43.0723116, 12.6174833 43.0723285, 12.6174681 43.072347, 12.6172981 43.0725383, 12.6172902 43.0725528, 12.6172856 43.0725673, 12.6172836 43.072581, 12.6172838 43.072597, 12.6172878 43.0726184, 12.6172952 43.0726373, 12.6173074 43.0726534, 12.6173235 43.0726667, 12.6173465 43.0726815, 12.6173794 43.0726956, 12.6174147 43.0727021, 12.6174419 43.0727014, 12.6174658 43.0726963, 12.6174956 43.0726864, 12.6175138 43.0726759, 12.617533 43.0726624, 12.617661 43.0725428, 12.6177751 43.0724365, 12.6179258 43.0723332, 12.6180112 43.0722788, 12.618106 43.0722066, 12.6182218 43.0721056, 12.6183031 43.0720492, 12.6186492 43.071858, 12.618724 43.0718009, 12.6187449 43.0717849, 12.6188573 43.0716991)",,,,
"[364676536, 1058165816]",,Via Porta Perlici,residential,,True,False,32.125,"LINESTRING (12.6188573 43.0716991, 12.6187885 43.0716962, 12.6187068 43.0716848, 12.6185999 43.0716733, 12.6185035 43.0716039)",,,,
619861406,,Via della Rocca,residential,,False,True,311.50399999999996,"LINESTRING (12.6188573 43.0716991, 12.6187449 43.0717849, 12.618724 43.0718009, 12.6186492 43.071858, 12.6183031 43.0720492, 12.6182218 43.0721056, 12.618106 43.0722066, 12.6180112 43.0722788, 12.6179258 43.0723332, 12.6177751 43.0724365, 12.617661 43.0725428, 12.617533 43.0726624, 12.6175138 43.0726759, 12.6174956 43.0726864, 12.6174658 43.0726963, 12.6174419 43.0727014, 12.6174147 43.0727021, 12.6173794 43.0726956, 12.6173465 43.0726815, 12.6173235 43.0726667, 12.6173074 43.0726534, 12.6172952 43.0726373, 12.6172878 43.0726184, 12.6172838 43.072597, 12.6172836 43.072581, 12.6172856 43.0725673, 12.6172902 43.0725528, 12.6172981 43.0725383, 12.6174681 43.072347, 12.6174833 43.0723285, 12.6174959 43.0723116, 12.6175298 43.0722589, 12.6175372 43.0722435, 12.6175418 43.0722311, 12.6175439 43.0722165, 12.6175415 43.0722031, 12.6175375 43.0721917, 12.6175319 43.0721804, 12.6175232 43.072169, 12.6175129 43.0721613, 12.6174986 43.0721535, 12.6174838 43.0721484, 12.6174658 43.0721446, 12.6174462 43.0721453, 12.6174271 43.072149, 12.6173713 43.0721783, 12.6171105 43.0723376, 12.6169938 43.0723846, 12.6168743 43.0724085, 12.6166953 43.0724212)",,,,
"[37027016, 54603179, 364676531]",,"['Via Santa Maria delle Rose', 'Piazza San Rufino', 'Via Capobove']",residential,,False,False,359.3940000000002,"LINESTRING (12.6132608 43.0722548, 12.613303 43.0722406, 12.6134846 43.0721876, 12.6137306 43.0720808, 12.6140247 43.0719572, 12.6143506 43.0718567, 12.6145251 43.0718253, 12.6145687 43.0718924, 12.6147549 43.0718484, 12.6149996 43.0718038, 12.615147 43.0717789, 12.6152672 43.0717789, 12.6153131 43.0717826, 12.615338 43.0717835, 12.6153617 43.0717833, 12.6153863 43.0717822, 12.6154135 43.07178, 12.6154365 43.0717774, 12.6154726 43.0717715, 12.6155046 43.0717656, 12.6155435 43.0717566, 12.6155783 43.0717475, 12.6156709 43.0717212, 12.6158272 43.0716778, 12.6158556 43.0716695, 12.6158714 43.0716643, 12.6158978 43.0716541, 12.615918 43.0716454, 12.6159525 43.0716303, 12.6159865 43.0716186, 12.6160165 43.0716098, 12.6160469 43.0716002, 12.6160725 43.0715903, 12.6160904 43.0715822, 12.6161051 43.0715752, 12.6163178 43.0714753, 12.6163372 43.0714641, 12.6163525 43.0714526, 12.6163652 43.0714386, 12.6163739 43.0714271, 12.6163858 43.0714124, 12.6164024 43.0713976, 12.6164257 43.0713799, 12.6166063 43.0712734, 12.6166449 43.0712516, 12.6166754 43.0712347, 12.6167226 43.0712125, 12.6167618 43.0711953, 12.6168661 43.0711515, 12.6168955 43.0711384, 12.6169235 43.0711243, 12.6169513 43.0711074, 12.6169777 43.0710895, 12.6170161 43.0710659, 12.6170781 43.0710354, 12.6171427 43.071007)",,,,
37030134,,Piazza San Rufino,residential,,False,False,4.856,"LINESTRING (12.6171427 43.071007, 12.6171751 43.0710437)",,,,
545501525,,Piazza San Rufino,residential,,False,True,10.258,"LINESTRING (12.6171427 43.071007, 12.6171015 43.0709198)",,,,
"[37027016, 364676531, 54603179]",,"['Via Capobove', 'Piazza San Rufino', 'Via Santa Maria delle Rose']",residential,,False,True,359.394,"LINESTRING (12.6171427 43.071007, 12.6170781 43.0710354, 12.6170161 43.0710659, 12.6169777 43.0710895, 12.6169513 43.0711074, 12.6169235 43.0711243, 12.6168955 43.0711384, 12.6168661 43.0711515, 12.6167618 43.0711953, 12.6167226 43.0712125, 12.6166754 43.0712347, 12.6166449 43.0712516, 12.6166063 43.0712734, 12.6164257 43.0713799, 12.6164024 43.0713976, 12.6163858 43.0714124, 12.6163739 43.0714271, 12.6163652 43.0714386, 12.6163525 43.0714526, 12.6163372 43.0714641, 12.6163178 43.0714753, 12.6161051 43.0715752, 12.6160904 43.0715822, 12.6160725 43.0715903, 12.6160469 43.0716002, 12.6160165 43.0716098, 12.6159865 43.0716186, 12.6159525 43.0716303, 12.615918 43.0716454, 12.6158978 43.0716541, 12.6158714 43.0716643, 12.6158556 43.0716695, 12.6158272 43.0716778, 12.6156709 43.0717212, 12.6155783 43.0717475, 12.6155435 43.0717566, 12.6155046 43.0717656, 12.6154726 43.0717715, 12.6154365 43.0717774, 12.6154135 43.07178, 12.6153863 43.0717822, 12.6153617 43.0717833, 12.615338 43.0717835, 12.6153131 43.0717826, 12.6152672 43.0717789, 12.615147 43.0717789, 12.6149996 43.0718038, 12.6147549 43.0718484, 12.6145687 43.0718924, 12.6145251 43.0718253, 12.6143506 43.0718567, 12.6140247 43.0719572, 12.6137306 43.0720808, 12.6134846 43.0721876, 12.613303 43.0722406, 12.6132608 43.0722548)",,,,
"[104416763, 37027011]",,"['Via Portica', 'Piazza del Comune']",residential,,True,False,116.54100000000003,"LINESTRING (12.6131142 43.0714152, 12.6132284 43.0714366, 12.6134121 43.0714384, 12.6136604 43.0714205, 12.6139097 43.0713762, 12.6140638 43.071335, 12.6141952 43.0712898, 12.6142798 43.0712621, 12.6143772 43.071232, 12.6144623 43.071293)",,,,
297347417,,Via Santa Chiara,residential,10,False,False,4.044,"LINESTRING (12.6167808 43.0696467, 12.6168066 43.0696156)",,,,
"[178208896, 37031854, 37031857, 1152451700, 1152451701]",,"['Piazza del Comune', 'Corso Giuseppe Mazzini', 'Via Santa Chiara']",residential,,True,False,205.076,"LINESTRING (12.6167808 43.0696467, 12.6165959 43.0699057, 12.6165828 43.0699216, 12.6165665 43.0699414, 12.6164572 43.0700621, 12.6163912 43.070115, 12.6163365 43.070154, 12.6161111 43.0703199, 12.6159032 43.0704732, 12.6156588 43.0706579, 12.6154871 43.0707629, 12.615455 43.0707825, 12.6151729 43.0709229, 12.6151996 43.0710092)",building_passage,,,
"[1152451716, 1152451717, 34357318]",,Via Santa Agnese,residential,,True,False,211.23,"LINESTRING (12.6167808 43.0696467, 12.616668 43.069695, 12.6165206 43.0697567, 12.6164003 43.0698071, 12.6161577 43.0699086, 12.6159247 43.070032, 12.6157845 43.0699876, 12.615648 43.0699138, 12.6155362 43.0698767, 12.6154813 43.0698667, 12.6152186 43.0698421, 12.6151426 43.0698352, 12.6150457 43.0698258, 12.6149175 43.0698548, 12.6144866 43.0699808, 12.6144331 43.069987)",building_passage,,,
43062525,,Piazza del Vescovado,residential,,False,True,25.217000000000002,"LINESTRING (12.6142128 43.0696722, 12.6142202 43.0696876, 12.6143279 43.0698828)",,,,
"[100711234, 100711251]",,"['Via Giovanni di Bonino', ""Via Sant'Apollinare""]",residential,,True,False,268.794,"LINESTRING (12.6142128 43.0696722, 12.6140706 43.0696722, 12.6137531 43.0697625, 12.613604 43.0697541, 12.6134439 43.0696561, 12.6133296 43.0696289, 12.6131939 43.0696503, 12.6129567 43.0697395, 12.6126946 43.0698345, 12.6124522 43.0699327, 12.6113257 43.070505)",,,,
297347414,,Via Antonio Cristofani,residential,,False,False,4.039,"LINESTRING (12.6143789 43.0699976, 12.6143313 43.0700081)",,,,
297347416,,Via Santa Agnese,residential,,False,True,4.558,"LINESTRING (12.6143789 43.0699976, 12.6144331 43.069987)",,,,
"[43054579, 100711327]",,"['Via Bernardo da Quintavalle', 'Piazza del Vescovado']",residential,,True,False,217.38,"LINESTRING (12.6143789 43.0699976, 12.614427 43.0701012, 12.6144379 43.0702056, 12.6144025 43.0702179, 12.6143875 43.0702231, 12.6143095 43.0702497, 12.6142694 43.0702619, 12.6142255 43.0702731, 12.6141871 43.0702818, 12.6141448 43.0702894, 12.6140012 43.0703114, 12.6138983 43.070326, 12.6138583 43.070334, 12.6138241 43.0703437, 12.6137835 43.0703604, 12.6137481 43.0703778, 12.6137242 43.0703915, 12.6136854 43.0704159, 12.6136459 43.0704437, 12.6135334 43.0705306, 12.6134062 43.0706705, 12.6132697 43.0708001, 12.6130594 43.0709547, 12.6129912 43.0710048, 12.6129624 43.071026, 12.6127202 43.0713105)",,,,
297347417,,Via Santa Chiara,residential,10,False,True,4.044,"LINESTRING (12.6168066 43.0696156, 12.6167808 43.0696467)",,,,
"[523355479, 37031862, 326393639]",SR444,"['Piazza Giacomo Matteotti', 'Viale Umberto I']",secondary,,False,True,250.56799999999998,"LINESTRING (12.6197607 43.0678891, 12.6197377 43.0679186, 12.6197091 43.067963, 12.6196887 43.0680005, 12.6196696 43.0680369, 12.619653 43.0680764, 12.6196378 43.0681149, 12.6195118 43.0684633, 12.6194845 43.0685425, 12.61946 43.0686206, 12.6194335 43.0687102, 12.6194097 43.0687987, 12.6193873 43.0688873, 12.6193741 43.068931, 12.6193609 43.068968, 12.6193434 43.069008, 12.6193141 43.0690639, 12.6192936 43.0690994, 12.6192602 43.0691423, 12.6192115 43.0692026, 12.6191601 43.069262, 12.6191174 43.0693012, 12.6190721 43.0693393, 12.6189343 43.0694504, 12.6189112 43.0694703, 12.6187774 43.0695817, 12.6187491 43.069608, 12.6187248 43.0696343, 12.6187055 43.0696627, 12.6186902 43.0696911, 12.6186802 43.069714, 12.6186725 43.0697437, 12.6186662 43.0697735, 12.6186639 43.0698022, 12.618663 43.069831, 12.6186655 43.069856, 12.6186721 43.069882, 12.6186837 43.0699081, 12.6186994 43.0699352)",,2,,
545501525,,Piazza San Rufino,residential,,False,False,10.258,"LINESTRING (12.6171015 43.0709198, 12.6171427 43.071007)",,,,
"[61720464, 1104976397, 1104976398]",,Via Dono Doni,residential,,True,False,135.59499999999997,"LINESTRING (12.6171015 43.0709198, 12.6170802 43.0708793, 12.6170704 43.0708555, 12.6170646 43.0708297, 12.6170631 43.0708064, 12.6170642 43.0707792, 12.6170687 43.0707477, 12.6170691 43.0707142, 12.6170669 43.0706934, 12.6170607 43.0706706, 12.617062 43.0706476, 12.6170721 43.0706296, 12.6171039 43.0705937, 12.6173027 43.0703753, 12.6173098 43.070368, 12.6173749 43.0702976, 12.6173873 43.0702819, 12.6173964 43.0702669, 12.6174016 43.0702515, 12.6174025 43.070225, 12.6173928 43.0701172, 12.6173945 43.0700996, 12.6173987 43.0700798, 12.6174052 43.0700621, 12.6174169 43.0700451, 12.6174313 43.0700281, 12.6174421 43.0700179, 12.6175569 43.0699243, 12.6175758 43.0699062, 12.617588 43.069888, 12.6175946 43.0698659, 12.6175946 43.0698438, 12.6175919 43.0698264)",building_passage,,,
