osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,ref,tunnel,junction,access
"[185949323, 178998220, 85981871]",2,Via A. Aldisio,residential,False,False,141.52799999999996,"LINESTRING (7.8704344 45.4656585, 7.8703704 45.465654, 7.8697068 45.4656054, 7.8696818 45.4656, 7.8694295 45.4655451, 7.8691762 45.4654141, 7.8691321 45.4653848, 7.8689718 45.4652775, 7.8688916 45.4652245, 7.8688526 45.4652136, 7.868809 45.4652114)",,,,,,
178573014,2,Corso Giuseppe Garibaldi,secondary,True,False,122.198,"LINESTRING (7.8704344 45.4656585, 7.8704667 45.4655782, 7.8704929 45.4655308, 7.8705583 45.4654223, 7.8708438 45.4649234, 7.8708757 45.4648797, 7.8709201 45.4648478, 7.8709709 45.464813, 7.8710318 45.4647965, 7.8711369 45.4647802, 7.8712 45.464775)",50,,,,,
30992632,2,Corso Camillo Cavour,secondary,True,False,49.632,"LINESTRING (7.8722352 45.4648172, 7.8725029 45.4650568, 7.8726673 45.4651396)",,,,,,
"[40689746, 178814907, 182193819, 158852582]",2,"['Ponte Adriano Olivetti', 'Corso Costantino Nigra']",secondary,False,False,183.73999999999998,"LINESTRING (7.8722352 45.4648172, 7.8722718 45.464774, 7.8723202 45.4647063, 7.8724076 45.4645735, 7.8724996 45.4644405, 7.8729664 45.4637862, 7.8730158 45.4637176, 7.8732936 45.4633412)",50,yes,,,,
178786871,1,Corso Costantino Nigra,secondary,True,False,23.039,"LINESTRING (7.8732936 45.4633412, 7.8733215 45.463265, 7.8733407 45.4632317, 7.8733423 45.4631391)",,,,,,
"[40689746, 182193819, 178814907, 158852582]",2,"['Ponte Adriano Olivetti', 'Corso Costantino Nigra']",secondary,False,True,183.74,"LINESTRING (7.8732936 45.4633412, 7.8730158 45.4637176, 7.8729664 45.4637862, 7.8724996 45.4644405, 7.8724076 45.4645735, 7.8723202 45.4647063, 7.8722718 45.464774, 7.8722352 45.4648172)",50,yes,,,,
"[62064377, 182193818]",1,Corso Camillo Cavour,unclassified,True,False,42.854,"LINESTRING (7.8736242 45.4655604, 7.8738802 45.465687, 7.8739871 45.4657344, 7.8740804 45.465775)",,,,,,
178573017,2,Corso Re Umberto I,secondary,True,False,135.952,"LINESTRING (7.8736242 45.4655604, 7.8742874 45.465541, 7.875366 45.4655096)",,,,,,
178241845,3,Via Circonvallazione,primary,False,False,19.503,"LINESTRING (7.8753835 45.4696788, 7.8755636 45.4698005)",50,,,,,
85981867,2,Via Circonvallazione,primary,False,False,252.982,"LINESTRING (7.8753835 45.4696788, 7.8751324 45.4695305, 7.8745631 45.4691819, 7.8742332 45.4689837, 7.8737847 45.4687096, 7.8736532 45.4686275, 7.8730115 45.468226, 7.872936 45.4681858)",,,,,,
