osmid,name,highway,oneway,reversed,length,geometry,junction,ref,maxspeed,access
218946583,Via Rio Salto I Tratto,unclassified,False,False,38.54,"LINESTRING (12.4152648 44.1044368, 12.4150824 44.1047577)",,,,
218946583,Via Rio Salto I Tratto,unclassified,False,True,45.314,"LINESTRING (12.4152648 44.1044368, 12.415468 44.1040563)",,,,
159832770,Via Venezia,residential,False,False,88.814,"LINESTRING (12.4152648 44.1044368, 12.4153572 44.10444, 12.4163746 44.1044903)",,,,
31666942,Via G. Tognacci,residential,True,False,55.844,"LINESTRING (12.4150824 44.1047577, 12.4143981 44.1048615)",,,,
218946583,Via Rio Salto I Tratto,unclassified,False,True,38.54,"LINESTRING (12.4150824 44.1047577, 12.4152648 44.1044368)",,,,
23189035,Via Roma,tertiary,False,False,41.675000000000004,"LINESTRING (12.4126254 44.1055695, 12.4126022 44.1055448, 12.4123333 44.1052589)",,,,
24064699,,tertiary,True,False,12.589,"LINESTRING (12.4126254 44.1055695, 12.4126552 44.1055621, 12.4126867 44.1055614, 12.4127171 44.1055674, 12.4127436 44.1055797, 12.4127638 44.1055971)",roundabout,,,
24064699,,tertiary,True,False,9.887,"LINESTRING (12.4127638 44.1055971, 12.4127757 44.1056176, 12.4127788 44.1056397, 12.4127727 44.1056615, 12.412758 44.1056811)",roundabout,,,
159829828,Via Don Giovanni Minzoni,residential,True,False,73.64,"LINESTRING (12.4127638 44.1055971, 12.4128231 44.105592, 12.4129056 44.105585, 12.4136796 44.1055187)",,,,
24064699,,tertiary,True,False,9.434,"LINESTRING (12.412758 44.1056811, 12.4127371 44.1056961, 12.4127112 44.1057063, 12.4126824 44.1057109, 12.4126529 44.1057096)",roundabout,,,
"[587750429, 92085902]","['Via Giacomo Matteotti', 'Piazza Agostino Giorgi']",tertiary,False,False,163.17600000000002,"LINESTRING (12.412758 44.1056811, 12.4127984 44.105726, 12.4129804 44.1059281, 12.4133192 44.1062498, 12.4134704 44.1063458, 12.413588 44.1063851, 12.4141332 44.1065774, 12.4142474 44.1066269)",,,,
24064699,,tertiary,True,False,10.088000000000001,"LINESTRING (12.4126529 44.1057096, 12.4126233 44.1057016, 12.4125983 44.1056877, 12.4125803 44.1056691, 12.4125708 44.1056475)",roundabout,,,
31666945,Via Sandro Botticelli,unclassified,False,False,55.187,"LINESTRING (12.4126529 44.1057096, 12.4126459 44.1057384, 12.4126171 44.1058568, 12.4126286 44.1060179, 12.4126521 44.1062027)",,,,
24064699,,tertiary,True,False,10.317,"LINESTRING (12.4125708 44.1056475, 12.4125708 44.1056243, 12.4125807 44.1056022, 12.4125995 44.1055834, 12.4126254 44.1055695)",roundabout,,,
24064700,Via Leonardo da Vinci,residential,False,False,249.103,"LINESTRING (12.4125708 44.1056475, 12.4125294 44.1056545, 12.4124546 44.1056673, 12.4124219 44.1056729, 12.4095342 44.1061616)",,,,
92085914,Via Benvenuto Cellini,residential,False,True,32.966,"LINESTRING (12.4093731 44.1056764, 12.4094688 44.1059648)",,,,
92204026,Via Bastia,unclassified,False,True,89.458,"LINESTRING (12.4093731 44.1056764, 12.4104613 44.1054849)",,,,
92204024,Via Enrico Fermi,residential,False,True,139.499,"LINESTRING (12.4093731 44.1056764, 12.4092462 44.1052981, 12.4092355 44.1052148, 12.4092386 44.1051183, 12.4093342 44.1044365)",,,,
159817052,Via del Mulino,unclassified,False,False,106.979,"LINESTRING (12.413389 44.1081963, 12.4134336 44.1082298, 12.4135779 44.1083382, 12.4136401 44.1083849, 12.413807 44.1084872, 12.4139427 44.1085768, 12.4141126 44.1086635, 12.4142909 44.1087337, 12.4144449 44.1087673)",,,,
248455971,,unclassified,True,False,16.117,"LINESTRING (12.413389 44.1081963, 12.4133825 44.1082249, 12.4133633 44.1082504, 12.4133334 44.1082699, 12.4132963 44.1082813, 12.413256 44.1082833)",roundabout,,,
31668024,,secondary,True,False,18.089,"LINESTRING (12.4156025 44.1103616, 12.4155681 44.1104107, 12.4155319 44.1104346, 12.415436 44.110457)",roundabout,SP10,,
160731491,Via Circonvallazione Ovest,secondary,True,False,74.119,"LINESTRING (12.4156025 44.1103616, 12.4156342 44.1104221, 12.4156996 44.1105236, 12.4158678 44.1107078, 12.4159461 44.1107831, 12.4160934 44.1109236)",,SP10,,
31668024,,secondary,True,False,17.602,"LINESTRING (12.4154735 44.1102079, 12.4155304 44.110226, 12.4155868 44.1102707, 12.4156074 44.1103219)",roundabout,SP10,,
160731501,Via Arno,unclassified,True,False,27.47,"LINESTRING (12.4154735 44.1102079, 12.4155601 44.110196, 12.4155854 44.1101889, 12.4156253 44.1101776, 12.4157022 44.1101381, 12.41577 44.1100942)",,,,
31668024,,secondary,True,False,7.007,"LINESTRING (12.415436 44.110457, 12.415363 44.1104469, 12.4153517 44.1104417)",roundabout,SP10,,
31668024,,secondary,True,False,2.57,"LINESTRING (12.4156074 44.1103219, 12.4156064 44.110345)",roundabout,SP10,,
31668023,,secondary,True,False,38.817,"LINESTRING (12.4152668 44.1102871, 12.4151815 44.1102091, 12.4149666 44.1100125)",,SP10,,
31668024,,secondary,True,False,16.15,"LINESTRING (12.4152668 44.1102871, 12.4153057 44.1102428, 12.4153618 44.1102149, 12.4154212 44.1102046)",roundabout,SP10,,
40931584,Via Po,residential,False,True,173.946,"LINESTRING (12.4158948 44.1097467, 12.4180012 44.1101464)",,,,
92085906,Via Arno,unclassified,False,False,39.904,"LINESTRING (12.4158948 44.1097467, 12.41577 44.1100942)",,,,
92085906,Via Arno,unclassified,False,True,47.969,"LINESTRING (12.4158948 44.1097467, 12.4160253 44.1093256)",,,,
40931584,Via Po,residential,False,False,173.946,"LINESTRING (12.4180012 44.1101464, 12.4158948 44.1097467)",,,,
361675315,Via Venti Settembre,unclassified,False,False,32.006,"LINESTRING (12.4180012 44.1101464, 12.4179327 44.11043)",,,,
361675315,Via Venti Settembre,unclassified,False,True,59.944,"LINESTRING (12.4180012 44.1101464, 12.4180086 44.1099516, 12.4179978 44.1098014, 12.4179013 44.1096204)",,,,
159986863,Via Roma,tertiary,False,False,16.392,"LINESTRING (12.411278 44.1042593, 12.4111487 44.1041448)",,,,
