osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,width
27150721,4,SP551,Viale IV Novembre,primary,False,True,3.422,"LINESTRING (11.3906875 43.9563047, 11.3907235 43.9562881)",,,,
815498462,4,SP551,Viale IV Novembre,primary,False,False,16.517,"LINESTRING (11.3906875 43.9563047, 11.3905044 43.9563732)",,,,
30279175,,,Via Oreste Bandini,residential,False,False,43.611000000000004,"LINESTRING (11.3871402 43.9540693, 11.3872324 43.9542936, 11.3872908 43.9544462)",,,,
130166101,,,Via San Francesco,residential,True,False,75.082,"LINESTRING (11.3871402 43.9540693, 11.3871043 43.9538822, 11.3871005 43.9538593, 11.3870701 43.9536874, 11.3870142 43.9534002)",,,,
42712255,,,Via Primo Maggio,residential,True,False,114.90299999999999,"LINESTRING (11.3904955 43.9539493, 11.3905262 43.9539671, 11.3905593 43.9539909, 11.3905948 43.9540218, 11.3906027 43.9540287, 11.3908204 43.9542783, 11.3910403 43.9545199, 11.3913413 43.9547802)",,,,
42816484,,,Via P. Giraldi,unclassified,False,True,127.142,"LINESTRING (11.3904955 43.9539493, 11.3904496 43.9539947, 11.3900968 43.9543437, 11.3895628 43.9548748)",,,,
42816523,,,Piazzale Martiri della Libertà,residential,False,False,33.133,"LINESTRING (11.3904955 43.9539493, 11.3902707 43.9538445, 11.3901392 43.9537987)",,,,
30279168,,,Via Castelluccio,residential,False,False,53.062,"LINESTRING (11.3879534 43.9518196, 11.3877775 43.951808, 11.3876201 43.9518498, 11.3873271 43.9519396)",,,,
42764776,,,Via Beato Angelico,unclassified,False,True,126.41199999999999,"LINESTRING (11.3879534 43.9518196, 11.3885964 43.9516436, 11.3894242 43.9514059)",,,,
639346062,,,Piazzale Curtatone e Montanara,unclassified,False,True,68.035,"LINESTRING (11.3879534 43.9518196, 11.3879884 43.9518724, 11.3880525 43.9519606, 11.388333 43.952367)",,,,
30279171,,,Piazza del Mercato,unclassified,False,False,72.795,"LINESTRING (11.3869168 43.9528789, 11.3876985 43.9525444)",,,,
30279171,,,Piazza del Mercato,unclassified,False,True,124.421,"LINESTRING (11.3869168 43.9528789, 11.3860824 43.9531392, 11.3854912 43.9533247)",,,,
30279171,,,Piazza del Mercato,unclassified,False,False,71.454,"LINESTRING (11.3846397 43.9535175, 11.3854912 43.9533247)",,,,
30279170,,,Via Caduti di Montelungo,unclassified,False,True,72.36,"LINESTRING (11.3846397 43.9535175, 11.3846169 43.9534034, 11.3845199 43.9528725)",,,,
806903998,,,Via degli Argini,unclassified,False,True,76.21000000000001,"LINESTRING (11.3846397 43.9535175, 11.3847527 43.954105, 11.3847703 43.9541964)",,,,
42764777,,,Via del Canto,unclassified,False,True,54.488,"LINESTRING (11.388333 43.952367, 11.3876985 43.9525444)",,,,
257150889,,,Via del Pozzino,residential,False,False,34.761,"LINESTRING (11.388333 43.952367, 11.3887291 43.9522389)",,,,
639346062,,,Piazzale Curtatone e Montanara,unclassified,False,False,68.035,"LINESTRING (11.388333 43.952367, 11.3880525 43.9519606, 11.3879884 43.9518724, 11.3879534 43.9518196)",,,,
639346062,,,Piazzale Curtatone e Montanara,unclassified,False,True,43.087,"LINESTRING (11.388333 43.952367, 11.3883754 43.9524251, 11.3885834 43.95271)",,,,
759817593,,,Largo G. Poggiali,primary,False,False,12.417,"LINESTRING (11.3867461 43.9501354, 11.3867591 43.950171, 11.3867719 43.9501992, 11.3867961 43.9502409)",,,,
24597486,,,Via Monsignore Cesare Vigiani,unclassified,False,False,60.877,"LINESTRING (11.3884913 43.9501049, 11.3888223 43.9505978)",,,,
42765641,2,,Viale Europa Unita,primary,False,True,123.086,"LINESTRING (11.3884913 43.9501049, 11.3877131 43.9502516, 11.3872835 43.9503325, 11.387132 43.9503527, 11.3869971 43.950356)",,,,
24597486,,,Via Monsignore Cesare Vigiani,unclassified,False,True,101.96000000000001,"LINESTRING (11.3894242 43.9514059, 11.3890486 43.9509016, 11.3888223 43.9505978)",,,,
42764776,,,Via Beato Angelico,unclassified,False,False,126.41199999999999,"LINESTRING (11.3894242 43.9514059, 11.3885964 43.9516436, 11.3879534 43.9518196)",,,,
257150884,,,Via Monsignore Cesare Vigiani,residential,True,False,88.783,"LINESTRING (11.3894242 43.9514059, 11.3895607 43.951604, 11.3896872 43.9517772, 11.3897252 43.9518308, 11.3897284 43.9518573, 11.3897106 43.9518839, 11.3895405 43.9519526, 11.3894728 43.9519758, 11.3895271 43.952035)",,,,
