osmid,ref,highway,oneway,reversed,length,bridge,geometry,name,maxspeed,access,lanes,junction
939386682,SR637,secondary,False,False,13.69,,"LINESTRING (13.3381109 41.5708781, 13.3379827 41.5708009)",,,,,
"[93599515, 93599526, 93605151]",SR637,secondary,False,True,100.892,yes,"LINESTRING (13.3381109 41.5708781, 13.3386164 41.5711902, 13.338874 41.5713358, 13.3390551 41.5714473)",,,,,
93599517,SR637,secondary,False,False,38.503,,"LINESTRING (13.3364199 41.5697866, 13.3365274 41.5694498)",,,,,
56215365,SS156dir,secondary,False,False,71.725,,"LINESTRING (13.3364199 41.5697866, 13.3362566 41.5698561, 13.3358649 41.5702148, 13.33583 41.5702468)",Via Anime Sante,,,,
"[93599520, 93599517, 93599527]",SR637,secondary,False,True,136.69899999999998,yes,"LINESTRING (13.3364199 41.5697866, 13.3366016 41.5699287, 13.3368472 41.5701208, 13.3376153 41.5705686, 13.3376543 41.5705935)",,,,,
93599517,SR637,secondary,False,False,48.004,,"LINESTRING (13.3365274 41.5694498, 13.3365023 41.5690185)",,,,,
93599517,SR637,secondary,False,True,38.503,,"LINESTRING (13.3365274 41.5694498, 13.3364199 41.5697866)",,,,,
56215363,,residential,False,True,134.149,,"LINESTRING (13.3365126 41.5667851, 13.3363402 41.5668116, 13.336059 41.5669249, 13.3357979 41.5670655, 13.3357068 41.5672214, 13.3357123 41.567354, 13.335753 41.5676447)",Viale della libertà,,,,
93599517,SR637,secondary,False,False,114.761,,"LINESTRING (13.3365126 41.5667851, 13.3367082 41.5665435, 13.3370323 41.5663187, 13.3371647 41.5661811, 13.3372623 41.5660176, 13.3372925 41.565951)",,,,,
93599517,SR637,secondary,False,True,94.47399999999999,,"LINESTRING (13.3365126 41.5667851, 13.3365185 41.5671747, 13.3365682 41.5676332)",,,,,
56215062,,residential,False,False,44.675,,"LINESTRING (13.3333017 41.5672494, 13.3337843 41.5674256)",,,,,
56215364,,residential,False,True,9.081,,"LINESTRING (13.3333017 41.5672494, 13.3332517 41.567322)",,,,,
56215062,,residential,False,True,107.156,,"LINESTRING (13.3333017 41.5672494, 13.3331745 41.567143, 13.3328708 41.5670479, 13.3326298 41.5670855, 13.3322857 41.567379)",,,,,
93599514,,residential,True,False,30.738,,"LINESTRING (13.3371201 41.5655209, 13.337405 41.5656969)",,,,,
93599522,,residential,True,False,31.823999999999998,,"LINESTRING (13.3371201 41.5655209, 13.3372748 41.5655624, 13.337391 41.5655578, 13.3374837 41.5655263)",,,,,
56215062,,residential,False,False,106.52,,"LINESTRING (13.3361283 41.5658172, 13.3362076 41.5655852, 13.3363086 41.5654233, 13.33643 41.5653362, 13.3365537 41.5653046, 13.3366611 41.5653046, 13.3367774 41.5653342, 13.3369418 41.5654089)",,,,,
56215062,,residential,False,True,273.099,,"LINESTRING (13.3361283 41.5658172, 13.3360057 41.5661355, 13.3357966 41.5663405, 13.3352414 41.5666642, 13.3346485 41.567006, 13.3342393 41.5672404, 13.3340649 41.5673536, 13.3337843 41.5674256)",,,,,
94476507,,residential,False,True,245.46200000000002,,"LINESTRING (13.3361283 41.5658172, 13.3359428 41.5657134, 13.335507 41.5653095, 13.3353553 41.5649851, 13.3352838 41.5648748, 13.3348459 41.5643509, 13.3352621 41.5642131, 13.3353813 41.5641985)",,,,,
56215363,,residential,False,False,8.574,,"LINESTRING (13.3302467 41.567645, 13.3302927 41.567576)",Viale della libertà,,,,
773744778,,residential,True,False,181.94599999999997,,"LINESTRING (13.3302467 41.567645, 13.3303317 41.5677197, 13.3306518 41.5680296, 13.3309965 41.5682941, 13.3311407 41.5683635, 13.3314929 41.5684339, 13.3318323 41.5686443, 13.3318667 41.5686828)",Via Madonna della Pace,,,,
1147867375,,tertiary,False,False,87.651,,"LINESTRING (13.3302467 41.567645, 13.3301497 41.5676785, 13.3299173 41.5676553, 13.3296399 41.5676274, 13.3292076 41.5676205)",Via Giacomo Matteotti,,,,
56215062,,residential,False,True,37.627,,"LINESTRING (13.3322857 41.567379, 13.331994 41.5676376)",,,,,
56215062,,residential,False,False,107.156,,"LINESTRING (13.3322857 41.567379, 13.3326298 41.5670855, 13.3328708 41.5670479, 13.3331745 41.567143, 13.3333017 41.5672494)",,,,,
