osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,width,bridge
111760529,Via Enrico Medi,unclassified,False,False,27.079,"LINESTRING (11.7848844 45.4268906, 11.784761 45.4267765, 11.7846668 45.4267011)",,,,,
114480498,Via Antonio Rossi,primary,False,False,79.093,"LINESTRING (11.7848844 45.4268906, 11.7853532 45.426811, 11.7855164 45.4267833, 11.7857042 45.4267627, 11.7858743 45.4267398)",2,50,,,
114480498,Via Antonio Rossi,primary,False,True,135.149,"LINESTRING (11.7848844 45.4268906, 11.7843536 45.4270717, 11.7838026 45.4273064, 11.7834413 45.427546)",2,50,,,
47985724,Via Antonio Rossi,primary,False,True,66.133,"LINESTRING (11.7926591 45.4262413, 11.7924632 45.4262583, 11.7921077 45.4262959, 11.7918188 45.4263175)",2,,,,
940624688,Via Antonio Rossi,primary,True,False,68.178,"LINESTRING (11.7926591 45.4262413, 11.792904 45.4261891, 11.7931702 45.4261551, 11.793392 45.4261058, 11.7934871 45.4260611)",1,,,,
940624690,Via Antonio Rossi,primary,True,False,11.904,"LINESTRING (11.7939206 45.4260809, 11.7939241 45.4261344, 11.793902 45.4261856)",2,,roundabout,,
474802016,Via Antonio Rossi,primary,False,True,38.206,"LINESTRING (11.7918188 45.4263175, 11.7913314 45.4263498)",2,,,,
47985724,Via Antonio Rossi,primary,False,False,66.133,"LINESTRING (11.7918188 45.4263175, 11.7921077 45.4262959, 11.7924632 45.4262583, 11.7926591 45.4262413)",2,,,,
940624687,Via Europa,tertiary,True,False,31.169000000000004,"LINESTRING (11.793902 45.4261856, 11.7939131 45.4262389, 11.7939292 45.4263018, 11.7939376 45.4263442, 11.7939609 45.4264628)",1,50,,,
940624690,Via Antonio Rossi,primary,True,False,16.887999999999998,"LINESTRING (11.793902 45.4261856, 11.7938319 45.4262434, 11.7937315 45.4262718)",2,,roundabout,,
61647084,Via Trento,residential,False,False,6.741,"LINESTRING (11.7882139 45.4309912, 11.7882924 45.4309659)",,,,,
61647084,Via Trento,residential,False,True,64.346,"LINESTRING (11.7882139 45.4309912, 11.7881707 45.4309992, 11.7879509 45.4310349, 11.7874079 45.4311131)",,,,,
322294984,Via Roma,tertiary,True,False,134.852,"LINESTRING (11.7882139 45.4309912, 11.788049 45.4306924, 11.7879133 45.4304464, 11.7875898 45.4298603)",1,50,,,
"[114480498, 1225421995]",Via Antonio Rossi,primary,False,False,151.816,"LINESTRING (11.7858743 45.4267398, 11.7861312 45.4267236, 11.7871032 45.4266552, 11.7872171 45.4266472, 11.7875824 45.426621, 11.7878105 45.4266075)","['2', '3']",50,,,
114480498,Via Antonio Rossi,primary,False,True,79.093,"LINESTRING (11.7858743 45.4267398, 11.7857042 45.4267627, 11.7855164 45.4267833, 11.7853532 45.426811, 11.7848844 45.4268906)",2,50,,,
322294983,Via Roma,tertiary,True,False,100.962,"LINESTRING (11.7858743 45.4267398, 11.7860236 45.426812, 11.7864066 45.427545)",1,50,,,
322294993,Via Rossi,residential,False,False,116.348,"LINESTRING (11.7858743 45.4267398, 11.7858134 45.4266677, 11.7856697 45.4264547, 11.7856339 45.4263788, 11.7855644 45.4262315, 11.7853441 45.4257647)",2,,,,
1148546519,Via Palù,residential,True,False,9.801,"LINESTRING (11.7843374 45.4314458, 11.7843499 45.431466, 11.7843527 45.431488, 11.7843455 45.4315094, 11.7843291 45.4315282)",,,roundabout,,
1148546522,Via Trento,residential,True,False,16.207,"LINESTRING (11.7843374 45.4314458, 11.7844515 45.4314725, 11.7845343 45.4314922)",,,,,
47985723,Via Antonio Rossi,unclassified,True,False,35.083,"LINESTRING (11.7914413 45.4261548, 11.7915509 45.4262244, 11.7916334 45.4262683, 11.7918188 45.4263175)",,,,,
"[945586817, 1102567564]",Via Antonio Rossi,residential,True,False,170.35,"LINESTRING (11.7914413 45.4261548, 11.7915253 45.4261597, 11.7915882 45.4261634, 11.7917519 45.4261483, 11.7923585 45.4260748, 11.792808 45.4260047, 11.7932402 45.4259073, 11.7935175 45.4258276, 11.7935516 45.425812)",,,,,
64880274,Via Como,residential,False,False,4.801,"LINESTRING (11.7887672 45.4319893, 11.7888287 45.4319882)",,,,,
322294988,Via Roma,tertiary,True,False,119.088,"LINESTRING (11.7887672 45.4319893, 11.7887671 45.4319892, 11.7886234 45.4317264, 11.7882139 45.4309912)",,50,,,
114480498,Via Antonio Rossi,primary,False,False,56.902,"LINESTRING (11.7821925 45.4283452, 11.7827377 45.4280054)",2,50,,,
111760510,Via Enrico Medi,residential,False,True,99.038,"LINESTRING (11.7846668 45.4267011, 11.7846452 45.426605, 11.7842974 45.4258501)",,,,,
111760529,Via Enrico Medi,unclassified,False,True,27.079,"LINESTRING (11.7846668 45.4267011, 11.784761 45.4267765, 11.7848844 45.4268906)",,,,,
111760510,Via Enrico Medi,residential,False,False,99.038,"LINESTRING (11.7842974 45.4258501, 11.7846452 45.426605, 11.7846668 45.4267011)",,,,,
