osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,tunnel,ref,access,junction
29450907,True,1,Corso Vittorio Emanuele III,tertiary,30,False,34.212,"LINESTRING (14.4530113 40.7538179, 14.4532961 40.7537769, 14.4534103 40.7537604)",,,,
29450907,True,1,Corso Vittorio Emanuele III,tertiary,30,False,35.146,"LINESTRING (14.4548134 40.7535475, 14.4551933 40.7534168)",,,,
396007277,False,,Via Fontana,residential,30,True,39.349,"LINESTRING (14.4548134 40.7535475, 14.4546192 40.7532415, 14.4546112 40.7532285)",,,,
29450907,True,1,Corso Vittorio Emanuele III,tertiary,30,False,29.031,"LINESTRING (14.4557367 40.753095, 14.4557521 40.7530133, 14.4557406 40.7529348, 14.4557008 40.7528399)",,,,
133305973,False,,Via Cuparella,unclassified,,True,111.21799999999999,"LINESTRING (14.4557367 40.753095, 14.456496 40.7527376, 14.456683 40.752659, 14.4567983 40.7526367, 14.45689 40.7526227)",,,,
76010089,False,,Via Vittime Innocenti di Camorra,tertiary,40,False,34.493,"LINESTRING (14.4548673 40.7518646, 14.4546543 40.7519101, 14.4544751 40.7519536)",,,,
133305977,False,,Largo Grazie,tertiary,,False,25.402,"LINESTRING (14.4548673 40.7518646, 14.4550299 40.7518254, 14.4551547 40.7517954)",,,,
396007283,True,,Via Filippini,unclassified,,False,137.306,"LINESTRING (14.4566342 40.7513725, 14.4573352 40.7524873)",,,,
396189307,False,,Via Roma,tertiary,,False,161.58099999999996,"LINESTRING (14.4566342 40.7513725, 14.45689 40.7512835, 14.4570139 40.7512431, 14.4570509 40.7512311, 14.4573566 40.7511214, 14.457992 40.750904, 14.4580608 40.750883, 14.4583123 40.7507937, 14.4583798 40.7507704)",,,,
"[133305977, 396189307]",False,,"['Via Roma', 'Largo Grazie']",tertiary,,True,133.34199999999998,"LINESTRING (14.4566342 40.7513725, 14.4563698 40.7514611, 14.45622 40.7515113, 14.4559969 40.7515819, 14.4557446 40.751652, 14.4556176 40.7516824, 14.4551547 40.7517954)",,,,
"[395990504, 395990503]",False,,"['Traversa Stano', 'Via Cuparella']",residential,,False,300.563,"LINESTRING (14.4583798 40.7507704, 14.4584163 40.7508352, 14.4590534 40.7519672, 14.458259 40.7521917, 14.4575547 40.7524171, 14.4575234 40.7524271, 14.4573352 40.7524873)",,,,
396189307,False,,Via Roma,tertiary,,False,81.721,"LINESTRING (14.4583798 40.7507704, 14.4585117 40.7507204, 14.4589284 40.7505644, 14.4591888 40.7504708, 14.4592517 40.7504482)",,,,
396189307,False,,Via Roma,tertiary,,True,161.58100000000002,"LINESTRING (14.4583798 40.7507704, 14.4583123 40.7507937, 14.4580608 40.750883, 14.457992 40.750904, 14.4573566 40.7511214, 14.4570509 40.7512311, 14.4570139 40.7512431, 14.45689 40.7512835, 14.4566342 40.7513725)",,,,
125724935,False,,Via Terragneta,unclassified,,False,100.079,"LINESTRING (14.4605538 40.7499737, 14.4605213 40.749928, 14.4604121 40.7497743, 14.4599342 40.7492063)",,,,
396189307,False,,Via Roma,tertiary,,True,121.715,"LINESTRING (14.4605538 40.7499737, 14.4601622 40.7501164, 14.4592517 40.7504482)",,,,
133305974,True,,Corso Giuseppe Garibaldi,unclassified,30,False,84.569,"LINESTRING (14.4516273 40.7564852, 14.4514838 40.7564333, 14.4514405 40.7563992, 14.4514112 40.7563648, 14.4513877 40.7563085, 14.4513386 40.7561627, 14.4512678 40.7558246)",,,,
78074618,True,,Via Gioacchino Murat,residential,30,False,63.679,"LINESTRING (14.4536658 40.7563008, 14.4529278 40.7564251)",,,,
