osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,junction,width
37111422,True,Via Fratelli Bellanzon,residential,False,42.598,"LINESTRING (11.879187 45.2297492, 11.8792401 45.2297932, 11.879582 45.230012)",,,,,
101031537,False,Via Giacomo Matteotti,residential,False,94.22,"LINESTRING (11.879187 45.2297492, 11.8790276 45.2298397, 11.8785083 45.2300942, 11.878319 45.2301677, 11.8781847 45.2302141)",,,,,
37111325,False,Via Trieste,residential,False,203.066,"LINESTRING (11.8781847 45.2302141, 11.8782424 45.2302364, 11.8782706 45.2302798, 11.8784389 45.2305273, 11.8786297 45.2307356, 11.8788452 45.2309108, 11.8790365 45.2310537, 11.8797978 45.2316225)",,,,,
101031537,False,Via Giacomo Matteotti,residential,False,114.22900000000001,"LINESTRING (11.8781847 45.2302141, 11.8779085 45.2302999, 11.8778652 45.2303133, 11.8768501 45.2306287)",,,,,
101031537,False,Via Giacomo Matteotti,residential,True,94.22,"LINESTRING (11.8781847 45.2302141, 11.878319 45.2301677, 11.8785083 45.2300942, 11.8790276 45.2298397, 11.879187 45.2297492)",,,,,
37110247,False,Via San Valentino,secondary,False,122.968,"LINESTRING (11.8747105 45.2313489, 11.8747415 45.2313813, 11.874814 45.2314683, 11.8748854 45.231553, 11.875009 45.2316939, 11.8750696 45.231752, 11.8751025 45.2317839, 11.8753403 45.231989, 11.8754938 45.2321065, 11.8756655 45.23222)",,,,,
38212474,False,Via Giacomo Matteotti,secondary,False,38.620000000000005,"LINESTRING (11.8747105 45.2313489, 11.8743862 45.2314164, 11.8742496 45.231468)",,,,,
101031537,False,Via Giacomo Matteotti,residential,True,98.32999999999998,"LINESTRING (11.8747105 45.2313489, 11.8749077 45.231275, 11.8757263 45.2309893, 11.8758347 45.2309553)",,,,,
37110247,False,Via San Valentino,secondary,False,31.599,"LINESTRING (11.8769723 45.2329089, 11.877138 45.2329451, 11.8773627 45.2329798)",,,,,
37110247,False,Via San Valentino,secondary,True,128.166,"LINESTRING (11.8769723 45.2329089, 11.8768544 45.2328586, 11.8766051 45.2327273, 11.8765731 45.232709, 11.8758695 45.2323082, 11.875809 45.2322699, 11.8756655 45.23222)",,,,,
37111243,False,Via Luigi Einaudi,residential,False,143.589,"LINESTRING (11.8769723 45.2329089, 11.8769506 45.2329545, 11.8769584 45.2329818, 11.8774641 45.2336946, 11.8775374 45.2337978, 11.877727 45.23407)",,,,,
37110247,False,Via San Valentino,secondary,True,8.731,"LINESTRING (11.8774718 45.232996, 11.8773627 45.2329798)",,,,,
