osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,tunnel,junction
23167833,2,SP55,Via Crocefisso,secondary,False,False,8.207,"LINESTRING (15.9675979 41.701563, 15.9675801 41.7016356)",,
23167833,2,SP55,Via Crocefisso,secondary,False,True,101.388,"LINESTRING (15.9675979 41.701563, 15.9676591 41.701452, 15.9677267 41.701389, 15.9678085 41.7013422, 15.9685959 41.7011046)",,
120025396,,,,residential,False,True,48.668,"LINESTRING (15.9675979 41.701563, 15.9675351 41.7013874, 15.9674738 41.7011356)",,
23167833,2,SP55,Via Crocefisso,secondary,False,True,8.207,"LINESTRING (15.9675801 41.7016356, 15.9675979 41.701563)",,
23167833,2,SP55,Via Crocefisso,secondary,False,False,212.627,"LINESTRING (15.9675801 41.7016356, 15.967508 41.7017728, 15.9673294 41.7020261, 15.9671716 41.702404, 15.9670892 41.7026091, 15.9669737 41.7029417, 15.966864 41.7031243, 15.9666826 41.7034196)",,
92214463,,,Via Francesco Paolo Fischetti,residential,False,True,55.038,"LINESTRING (15.9675801 41.7016356, 15.9676742 41.7019992, 15.9677131 41.7020459, 15.9678037 41.7020625)",,
"[23167833, 91005846]",2,SP55,"['Via Don Luigi Sturzo', 'Via Crocefisso']",secondary,False,False,575.2470000000002,"LINESTRING (15.9666826 41.7034196, 15.9666065 41.7034992, 15.9664787 41.7035534, 15.9663003 41.7035612, 15.9659687 41.7035335, 15.9658427 41.7035377, 15.9656677 41.7035847, 15.965489 41.7036238, 15.9653736 41.7036291, 15.9652794 41.7036031, 15.9652296 41.7035757, 15.9651768 41.7034881, 15.9650701 41.7032335, 15.9649288 41.7030527, 15.9646759 41.7029423, 15.9643933 41.7028582, 15.9641376 41.7028219, 15.9636396 41.7028203, 15.9635565 41.7028294, 15.9635083 41.7028454, 15.9634764 41.7028692, 15.9634607 41.7028855, 15.9634506 41.7029065, 15.9634492 41.7029386, 15.963468 41.7029706, 15.9634895 41.7029886, 15.9635194 41.7029952, 15.9636169 41.7029891, 15.9637159 41.7029789, 15.9639216 41.7029436, 15.9640078 41.702945, 15.9640776 41.7029598, 15.9641232 41.7029921, 15.9641684 41.7030316, 15.9642646 41.7031309, 15.9644596 41.7033487, 15.9646068 41.7035709, 15.9646274 41.7036339, 15.9646304 41.7036953, 15.9646368 41.7037491, 15.9646245 41.7038026, 15.964581 41.7039204, 15.9645475 41.7039934, 15.9645402 41.7040504, 15.9645486 41.7041039, 15.9645711 41.7041626, 15.9646265 41.7042168, 15.964673 41.7042597, 15.9647387 41.7042997, 15.9648854 41.7043546, 15.9649544 41.7043779)",,
23167833,2,SP55,Via Crocefisso,secondary,False,True,212.62699999999998,"LINESTRING (15.9666826 41.7034196, 15.966864 41.7031243, 15.9669737 41.7029417, 15.9670892 41.7026091, 15.9671716 41.702404, 15.9673294 41.7020261, 15.967508 41.7017728, 15.9675801 41.7016356)",,
29883431,,,Via Mahatma Gandhi,residential,False,True,122.21200000000002,"LINESTRING (15.9666826 41.7034196, 15.9667207 41.7034402, 15.9667371 41.7034744, 15.9667086 41.7035296, 15.9666461 41.7035848, 15.966504 41.703623, 15.9662494 41.7036502, 15.9659681 41.7036382, 15.9658516 41.7036475, 15.9657513 41.703681, 15.9656348 41.7037064, 15.9654733 41.7037157)",,
92214489,,,Via Madre Teresa di Calcutta,residential,False,False,299.976,"LINESTRING (15.9666826 41.7034196, 15.9664243 41.703443, 15.9661946 41.7034367, 15.9657477 41.7033871, 15.9656335 41.7033775, 15.9655313 41.7033207, 15.9654331 41.7031464, 15.9653337 41.702964, 15.9651021 41.7027477, 15.9648849 41.7026422, 15.9645497 41.7025677, 15.9642827 41.7025305, 15.9639972 41.7025056, 15.9636247 41.7025242)",,
