osmid,oneway,ref,highway,maxspeed,reversed,length,name,geometry,lanes
55070429,True,SP23,secondary,50,False,33.172,,"LINESTRING (9.4917674 45.1848632, 9.4915865 45.1851329)",
1043773599,False,SP23,secondary,50,False,9.639,Viale Trieste,"LINESTRING (9.4917674 45.1848632, 9.4918174 45.184784)",
55070280,True,,tertiary,,False,13.111,Via Emilio Azzi,"LINESTRING (9.4862589 45.1803802, 9.4862932 45.1804956)",
141896677,False,,residential,,False,59.309,Via Emilio Azzi,"LINESTRING (9.4862589 45.1803802, 9.4860024 45.1798784)",
55070312,False,,tertiary,,False,141.748,Via Principessa Maddalena Belgioioso,"LINESTRING (9.4862589 45.1803802, 9.4872548 45.1802208, 9.4879251 45.1801262, 9.4880267 45.1801118)",
55070270,False,,tertiary,50,True,31.382,Via Ottavio Steffenini,"LINESTRING (9.4866184 45.1830345, 9.4870126 45.182985)",
55070270,False,,tertiary,50,False,40.003,Via Ottavio Steffenini,"LINESTRING (9.4866184 45.1830345, 9.4862936 45.1830857, 9.4861308 45.1831357)",
141896671,True,,residential,,False,161.54899999999998,Via Caterina Bianchi,"LINESTRING (9.4866184 45.1830345, 9.4868982 45.183761, 9.4870955 45.1844471)",
55070288,False,,residential,,True,41.769,Via Ricetto,"LINESTRING (9.4880267 45.1801118, 9.4879577 45.1799512, 9.4877982 45.1797764)",
55070312,False,,tertiary,,True,141.748,Via Principessa Maddalena Belgioioso,"LINESTRING (9.4880267 45.1801118, 9.4879251 45.1801262, 9.4872548 45.1802208, 9.4862589 45.1803802)",
141138371,True,,tertiary,,False,37.885,Piazza Don Carlo Gnocchi,"LINESTRING (9.4880267 45.1801118, 9.488361 45.17997, 9.4884271 45.1799237)",
55070270,False,,tertiary,50,False,81.494,Via Ottavio Steffenini,"LINESTRING (9.4888692 45.1827472, 9.488725 45.1827674, 9.4885574 45.1827908, 9.4878471 45.1828817)",
55070270,False,,tertiary,50,True,56.667,Via Ottavio Steffenini,"LINESTRING (9.4888692 45.1827472, 9.4889675 45.1827373, 9.4890668 45.1827246, 9.4895804 45.1826558)",
141000110,True,,tertiary,,False,193.367,Corso Giuseppe Mazzini,"LINESTRING (9.4888692 45.1827472, 9.4888386 45.1826511, 9.4886137 45.1819439, 9.4885061 45.1816175, 9.4883138 45.1810529)",
55070288,False,,residential,,False,41.769,Via Ricetto,"LINESTRING (9.4877982 45.1797764, 9.4879577 45.1799512, 9.4880267 45.1801118)",
55070393,False,,residential,30,False,15.401,Via della Vittoria,"LINESTRING (9.4894509 45.1842762, 9.4893914 45.1841442)",
55070393,False,,residential,30,True,175.964,Via della Vittoria,"LINESTRING (9.4894509 45.1842762, 9.4897416 45.1850078, 9.4897676 45.1850732, 9.4899533 45.1853921, 9.490131 45.1855884, 9.4902713 45.1857355)",
55070395,False,,residential,,False,3.325,Via Cesare Battisti,"LINESTRING (9.4914323 45.1838231, 9.4914174 45.1837951)",
55070395,False,,residential,,True,64.981,Via Cesare Battisti,"LINESTRING (9.4914323 45.1838231, 9.4917203 45.1843711)",
55070413,True,,residential,,False,92.254,Via Don Angelo Gelmini,"LINESTRING (9.4914323 45.1838231, 9.4903227 45.1841)",
55070270,False,,tertiary,50,False,75.598,Via Ottavio Steffenini,"LINESTRING (9.4905293 45.1825338, 9.4895804 45.1826558)",
55070270,False,,tertiary,50,True,15.787,Via Ottavio Steffenini,"LINESTRING (9.4905293 45.1825338, 9.4907259 45.1825029)",
108121681,False,,residential,,False,128.93699999999998,Via Pasino Sforza,"LINESTRING (9.4905293 45.1825338, 9.4905037 45.182432, 9.4902572 45.1814537, 9.4902417 45.1813921)",
55070270,False,,tertiary,50,False,172.01300000000003,Via Ottavio Steffenini,"LINESTRING (9.4861308 45.1831357, 9.4856284 45.1832899, 9.4844077 45.183553, 9.4840449 45.1836052)",
55070270,False,,tertiary,50,True,40.003,Via Ottavio Steffenini,"LINESTRING (9.4861308 45.1831357, 9.4862936 45.1830857, 9.4866184 45.1830345)",
55070605,False,,residential,,False,182.104,Via Giuseppe Garibaldi,"LINESTRING (9.4861308 45.1831357, 9.4860254 45.1829269, 9.4854569 45.1815687)",
55070605,False,,residential,,False,94.196,Via Giuseppe Garibaldi,"LINESTRING (9.4854569 45.1815687, 9.4851336 45.1807528)",
141896678,True,,residential,,False,52.863,Via Filippo Corridoni,"LINESTRING (9.4854569 45.1815687, 9.4848069 45.1816956)",
55070605,False,,residential,,True,182.104,Via Giuseppe Garibaldi,"LINESTRING (9.4854569 45.1815687, 9.4860254 45.1829269, 9.4861308 45.1831357)",
108121641,False,,residential,,True,118.26499999999999,Via Filippo Corridoni,"LINESTRING (9.4848069 45.1816956, 9.4845554 45.181751, 9.4837921 45.181919, 9.4833666 45.1820127)",
85534099,False,,residential,,False,13.921,Via Colombano Valsasino,"LINESTRING (9.4899297 45.1801341, 9.4900779 45.1800651)",
108121681,False,,residential,,True,142.00400000000002,Via Pasino Sforza,"LINESTRING (9.4899297 45.1801341, 9.4899454 45.1801973, 9.4902207 45.1813075, 9.4902417 45.1813921)",
141000117,True,,residential,,False,77.066,,"LINESTRING (9.4899297 45.1801341, 9.489693 45.1801273, 9.4894436 45.1800965, 9.489126 45.1800694, 9.4889532 45.1800609)",
"[141896688, 141896691, 141896692]",True,,unclassified,,False,390.553,Via Rimembranze,"LINESTRING (9.4884859 45.1781726, 9.4886819 45.1782507, 9.4893435 45.1790655, 9.4894039 45.1791257, 9.4895035 45.1791658, 9.4896031 45.1791859, 9.4897205 45.1791859, 9.4898414 45.1791583, 9.4899339 45.1791307, 9.4900869 45.1790781, 9.4904461 45.1788975, 9.4905244 45.1788549, 9.4906418 45.1787621, 9.4907307 45.1786769, 9.4908089 45.1785917, 9.4908587 45.178534, 9.490937 45.1785214, 9.4909654 45.1785741, 9.4909797 45.1786092, 9.4909192 45.1788098, 9.4909299 45.1788499, 9.491001 45.1788725, 9.4910508 45.1788499, 9.491229 45.1785306, 9.4912742 45.1785129, 9.4913497 45.1785005, 9.4914604 45.1785005, 9.4915169 45.1785007)",
"[141896684, 424226894]",False,,tertiary,,True,168.704,"['Via Massimiliano Dal Cin', 'Via Collada']","LINESTRING (9.4884859 45.1781726, 9.4885242 45.1782822, 9.4886002 45.1784889, 9.4886454 45.1786286, 9.4886716 45.1787228, 9.4886886 45.1787975, 9.4887029 45.1788909, 9.4887091 45.1790354, 9.4887089 45.17917, 9.4887044 45.1793065, 9.4886944 45.1794003, 9.4886783 45.1794857, 9.4886626 45.1795518, 9.4886183 45.1796666)",
108121681,False,,residential,,False,142.00400000000002,Via Pasino Sforza,"LINESTRING (9.4902417 45.1813921, 9.4902207 45.1813075, 9.4899454 45.1801973, 9.4899297 45.1801341)",
108121681,False,,residential,,True,128.93699999999998,Via Pasino Sforza,"LINESTRING (9.4902417 45.1813921, 9.4902572 45.1814537, 9.4905037 45.182432, 9.4905293 45.1825338)",
141138379,True,,residential,,False,110.40100000000001,Via Colombano Baruffo,"LINESTRING (9.4902417 45.1813921, 9.4908928 45.1813258, 9.491634 45.1812418)",1
85534099,False,,residential,,False,53.198,Via Colombano Valsasino,"LINESTRING (9.4930853 45.1799928, 9.4935933 45.179915, 9.4937469 45.1798864)",
85534099,False,,residential,,True,123.45400000000001,Via Colombano Valsasino,"LINESTRING (9.4930853 45.1799928, 9.4928057 45.1799955, 9.4921953 45.1799789, 9.4916716 45.1799456, 9.491513 45.1799509)",
207983916,False,,residential,,True,37.869,,"LINESTRING (9.4930853 45.1799928, 9.4930057 45.1797474, 9.4929776 45.1796608)",
141896682,False,,residential,,True,44.361000000000004,Via Luigi e Pietro Gallotta,"LINESTRING (9.4884271 45.1799237, 9.4888449 45.1800089, 9.4889532 45.1800609)",
141896684,False,,tertiary,,False,32.48,Via Massimiliano Dal Cin,"LINESTRING (9.4884271 45.1799237, 9.4884889 45.1798673, 9.4885584 45.1797744, 9.4885944 45.1797139, 9.4886183 45.1796666)",
108121628,True,,residential,,False,101.20100000000001,Via Giuseppe Monti,"LINESTRING (9.4889532 45.1800609, 9.4889541 45.1801911, 9.4890076 45.1803517, 9.4891766 45.180955)",
141896682,False,,residential,,False,44.361000000000004,Via Luigi e Pietro Gallotta,"LINESTRING (9.4889532 45.1800609, 9.4888449 45.1800089, 9.4884271 45.1799237)",
141896695,False,,unclassified,50,True,33.576,Via San Giovanni di Dio,"LINESTRING (9.4948035 45.1819932, 9.495224 45.1819355)",
108121635,True,,unclassified,50,False,36.083,Via San Giovanni di Dio,"LINESTRING (9.4948035 45.1819932, 9.4944849 45.1820789, 9.4943677 45.1820949)",
141896695,False,,unclassified,50,False,33.576,Via San Giovanni di Dio,"LINESTRING (9.495224 45.1819355, 9.4948035 45.1819932)",
55070270,False,,tertiary,50,False,15.787,Via Ottavio Steffenini,"LINESTRING (9.4907259 45.1825029, 9.4905293 45.1825338)",
55070270,False,,tertiary,50,True,231.302,Via Ottavio Steffenini,"LINESTRING (9.4907259 45.1825029, 9.4920065 45.1822865, 9.4925755 45.182225, 9.4934547 45.18213, 9.4936219 45.1821119)",
141000115,True,,residential,,False,153.567,Via Cesare Battisti,"LINESTRING (9.4907259 45.1825029, 9.4907552 45.1825577, 9.4910557 45.1831192, 9.4914174 45.1837951)",
108121648,False,,residential,,False,145.597,Via Virginio Caccia,"LINESTRING (9.4841615 45.1838765, 9.4847042 45.1850687, 9.4847179 45.1851252)",
141138406,True,,residential,,False,110.675,Via Regone,"LINESTRING (9.4841615 45.1838765, 9.4841224 45.184001, 9.4840424 45.1840745, 9.4837466 45.1842633, 9.4833337 45.1844953, 9.4832074 45.1845783)",
141138449,False,,residential,,True,31.613999999999997,Via Regone,"LINESTRING (9.4841615 45.1838765, 9.484081 45.1836586, 9.4840449 45.1836052)",
55070270,False,,tertiary,50,True,75.598,Via Ottavio Steffenini,"LINESTRING (9.4895804 45.1826558, 9.4905293 45.1825338)",
