osmid,name,highway,width,oneway,reversed,length,geometry,lanes,bridge
44849200,Via Michelangelo Buonarroti,residential,,False,False,93.306,"LINESTRING (8.9749434 45.5519915, 8.9756572 45.5513175)",,
44849200,Via Michelangelo Buonarroti,residential,,False,True,88.498,"LINESTRING (8.9749434 45.5519915, 8.9743119 45.5525879, 8.9742862 45.5526382)",,
424495889,Via Raffaello Sanzio,unclassified,,True,False,92.999,"LINESTRING (8.9743063 45.5516394, 8.9750386 45.5509787)",,
44849029,Via Gabriele D'Annunzio,unclassified,,False,False,61.151,"LINESTRING (8.9756572 45.5513175, 8.9750386 45.5509787)",,
44849029,Via Gabriele D'Annunzio,unclassified,,False,True,135.72,"LINESTRING (8.9756572 45.5513175, 8.9770302 45.5520694)",,
44849200,Via Michelangelo Buonarroti,residential,,False,False,94.436,"LINESTRING (8.9756572 45.5513175, 8.9763809 45.550636)",,
44849200,Via Michelangelo Buonarroti,residential,,False,True,93.306,"LINESTRING (8.9756572 45.5513175, 8.9749434 45.5519915)",,
44849029,Via Gabriele D'Annunzio,unclassified,,False,True,61.151,"LINESTRING (8.9750386 45.5509787, 8.9756572 45.5513175)",,
44849032,Via Raffaello Sanzio,unclassified,,False,False,186.676,"LINESTRING (8.9750386 45.5509787, 8.9751079 45.5509162, 8.975245 45.5507925, 8.9752968 45.5507197, 8.9753234 45.5506283, 8.9753349 45.5505761, 8.9752426 45.5499936, 8.9752557 45.5499064, 8.9753031 45.5498164, 8.9757349 45.5494886)",,
44849048,Via Lazzaretto,unclassified,,False,False,118.29899999999999,"LINESTRING (8.9711387 45.5521045, 8.971197 45.552052, 8.9720552 45.551256)",,
44849067,Piazza Vittorio Emanuele Secondo,unclassified,,True,False,29.702,"LINESTRING (8.9711387 45.5521045, 8.9711294 45.5523175, 8.9711344 45.5523714)",,
44849244,Via Ticino,unclassified,,False,True,32.816,"LINESTRING (8.9711387 45.5521045, 8.9709043 45.5519355, 8.9708424 45.5518947)",,
44849067,Piazza Vittorio Emanuele Secondo,unclassified,,True,False,28.866,"LINESTRING (8.9711344 45.5523714, 8.9711542 45.5524619, 8.9711905 45.552628)",,
609964505,Piazza Vittorio Emanuele Secondo,unclassified,,True,False,75.58600000000001,"LINESTRING (8.9711344 45.5523714, 8.9713588 45.5523759, 8.9715198 45.5523938, 8.9715613 45.5524173, 8.971568 45.5524417, 8.9713682 45.5526032, 8.9713213 45.5526276, 8.9711905 45.552628)",,
44849229,Via dell'Annunciata,unclassified,,True,False,112.30399999999999,"LINESTRING (8.970547 45.5533778, 8.9704785 45.5533406, 8.970111 45.5531479, 8.9697466 45.5528501, 8.9695312 45.5526691)",,
"[44849232, 44849261]","['Piazza Alessandro Manzoni', ""Via dell'Annunciata""]",unclassified,,False,"[False, True]",31.502000000000002,"LINESTRING (8.970547 45.5533778, 8.9706862 45.5534997, 8.9708069 45.5535948)",,
"[44849067, 44849231]","['Piazza Vittorio Emanuele Secondo', 'Via Venticinque Aprile']",unclassified,,True,False,97.41,"LINESTRING (8.9711905 45.552628, 8.9709932 45.5528691, 8.9708587 45.5530562, 8.970547 45.5533778)",,
44849085,Vicolo Offredi,residential,,False,True,85.501,"LINESTRING (8.9730623 45.553757, 8.9730684 45.5540153, 8.9730279 45.5541488, 8.9730029 45.5542101, 8.9729499 45.5543348, 8.972835 45.5544961)",,
44849238,Via Enrico Rondanini,residential,,False,False,24.22,"LINESTRING (8.9725402 45.5544266, 8.972835 45.5544961)",,
44849223,Via Colorina,unclassified,,True,False,66.445,"LINESTRING (8.9725402 45.5544266, 8.9724717 45.5544653, 8.9721351 45.5547793, 8.9720864 45.5548477, 8.9720248 45.5548988)",,
44849238,Via Enrico Rondanini,residential,,False,True,24.22,"LINESTRING (8.972835 45.5544961, 8.9725402 45.5544266)",,
44849085,Vicolo Offredi,residential,,False,False,85.501,"LINESTRING (8.972835 45.5544961, 8.9729499 45.5543348, 8.9730029 45.5542101, 8.9730279 45.5541488, 8.9730684 45.5540153, 8.9730623 45.553757)",,
"[349541788, 44849238]","['Piazza Italia', 'Via Enrico Rondanini']",residential,10,False,False,17.679000000000002,"LINESTRING (8.972835 45.5544961, 8.9730248 45.5545409, 8.9730502 45.5545468)",,
44849044,Via Roma,unclassified,,False,True,126.424,"LINESTRING (8.9742862 45.5526382, 8.9755022 45.5533916)",,
44849044,Via Roma,unclassified,,False,False,64.917,"LINESTRING (8.9742862 45.5526382, 8.9740638 45.5524935, 8.9737912 45.552319, 8.9736755 45.5522408)",,
44849065,Via dei Giardini,residential,,False,True,91.81099999999999,"LINESTRING (8.9742862 45.5526382, 8.974259 45.5526914, 8.9737294 45.553106, 8.9735267 45.5532647)",,
44849200,Via Michelangelo Buonarroti,residential,,False,False,88.498,"LINESTRING (8.9742862 45.5526382, 8.9743119 45.5525879, 8.9749434 45.5519915)",,
44849044,Via Roma,unclassified,,False,False,126.424,"LINESTRING (8.9755022 45.5533916, 8.9742862 45.5526382)",,
44849044,Via Roma,unclassified,,False,True,132.098,"LINESTRING (8.9755022 45.5533916, 8.9767986 45.5541579)",,
44849204,Via Generale Armando Diaz,unclassified,,False,False,95.24499999999999,"LINESTRING (8.9755022 45.5533916, 8.9755461 45.5533562, 8.9762726 45.5527263)",,
"[44849073, 349541798]","['Via Brera', 'Piazza Italia']",residential,,False,True,209.53500000000003,"LINESTRING (8.9755022 45.5533916, 8.9754472 45.5534358, 8.9747959 45.5539807, 8.9745465 45.554287, 8.9744219 45.5543614, 8.9740083 45.5545497, 8.9738723 45.5546217, 8.9736248 45.5546808)",,
424495889,Via Raffaello Sanzio,unclassified,,True,False,82.973,"LINESTRING (8.9736755 45.5522408, 8.9743063 45.5516394)",,
"[77808936, 44849044, 77808935]",Via Roma,unclassified,,False,False,167.075,"LINESTRING (8.9736755 45.5522408, 8.9734346 45.5520848, 8.973193 45.5519411, 8.9720552 45.551256)",,yes
44849044,Via Roma,unclassified,,False,True,64.917,"LINESTRING (8.9736755 45.5522408, 8.9737912 45.552319, 8.9740638 45.5524935, 8.9742862 45.5526382)",,
44849065,Via dei Giardini,residential,,False,False,91.811,"LINESTRING (8.9735267 45.5532647, 8.9737294 45.553106, 8.974259 45.5526914, 8.9742862 45.5526382)",,
44849109,Vicolo Pace,residential,,False,True,59.229,"LINESTRING (8.9735232 45.5540964, 8.9732692 45.5545501, 8.9732491 45.5545932)",,
44849104,Via Galileo Galilei,residential,,False,False,53.841,"LINESTRING (8.9757247 45.554545, 8.9763277 45.554782)",,
44849093,Largo Paolo Caccia Dominioni,residential,,False,False,57.224,"LINESTRING (8.9753257 45.5549727, 8.975975 45.5552138)",,
"[77808937, 77808932, 31905383]",Via Delio Tessa,unclassified,,False,True,207.547,"LINESTRING (8.9683487 45.5553984, 8.9696389 45.555676, 8.9700364 45.555767, 8.9708881 45.5559656)",2,yes
449088892,Via Marzorati,tertiary,,False,False,128.494,"LINESTRING (8.9683487 45.5553984, 8.9686371 45.5551685, 8.96872 45.5551024, 8.9692472 45.5546822, 8.9693189 45.554625, 8.9694329 45.5545273)",2,
44849214,Via Prepositurale,residential,5,False,False,46.085,"LINESTRING (8.9728131 45.5549264, 8.9728722 45.5548222, 8.9729928 45.5546298, 8.9730502 45.5545468)",,
44849117,Vicolo Giuseppe Piazzi,residential,,False,False,47.694,"LINESTRING (8.9744268 45.5550596, 8.9741172 45.5554297)",,
"[44849072, 349541791]","['Via della Croce', 'Piazza Italia']",residential,,False,False,75.341,"LINESTRING (8.9744268 45.5550596, 8.9740322 45.5548756, 8.9738617 45.5547879, 8.9736248 45.5546808)",,
"[44849072, 529221246]","['Via della Croce', 'Piazza della Vittoria']","['residential', 'unclassified']",,False,True,87.333,"LINESTRING (8.9744268 45.5550596, 8.9746427 45.5551603, 8.9749168 45.555307, 8.9750735 45.5554117, 8.9753135 45.5555385)",,
44849117,Vicolo Giuseppe Piazzi,residential,,False,True,47.694,"LINESTRING (8.9741172 45.5554297, 8.9744268 45.5550596)",,
44849253,Piazza della Vittoria,unclassified,,False,False,37.887,"LINESTRING (8.9750576 45.5558283, 8.9753135 45.5555385)",,
32446330,Via Gaspare Cogliati,unclassified,,False,True,58.371,"LINESTRING (8.9750576 45.5558283, 8.9747787 45.556153, 8.9747196 45.5562254, 8.974671 45.556278)",,
44849036,Via Giulio Cesare Lampugnani,unclassified,,True,False,55.031,"LINESTRING (8.9756419 45.5556503, 8.975975 45.5552138)",,
529221253,Viale Eugenio Villoresi,unclassified,,False,True,65.533,"LINESTRING (8.9756419 45.5556503, 8.9763829 45.5559298)",,
529221253,Viale Eugenio Villoresi,unclassified,,False,False,28.441,"LINESTRING (8.9756419 45.5556503, 8.9753599 45.555557, 8.9753135 45.5555385)",,
44849253,Piazza della Vittoria,unclassified,,False,True,37.887,"LINESTRING (8.9753135 45.5555385, 8.9750576 45.5558283)",,
"[44849072, 529221246]","['Via della Croce', 'Piazza della Vittoria']","['unclassified', 'residential']",,False,False,87.333,"LINESTRING (8.9753135 45.5555385, 8.9750735 45.5554117, 8.9749168 45.555307, 8.9746427 45.5551603, 8.9744268 45.5550596)",,
529221253,Viale Eugenio Villoresi,unclassified,,False,True,28.441,"LINESTRING (8.9753135 45.5555385, 8.9753599 45.555557, 8.9756419 45.5556503)",,
32446330,Via Gaspare Cogliati,unclassified,,False,True,41.992,"LINESTRING (8.974671 45.556278, 8.9743918 45.5566011)",,
44849090,Via Legnano,unclassified,,True,False,162.374,"LINESTRING (8.974671 45.556278, 8.976286 45.5572019)",,
32446330,Via Gaspare Cogliati,unclassified,,False,False,58.370999999999995,"LINESTRING (8.974671 45.556278, 8.9747196 45.5562254, 8.9747787 45.556153, 8.9750576 45.5558283)",,
44849022,Via Donatello,unclassified,,False,False,59.536,"LINESTRING (8.9762893 45.5498573, 8.9757349 45.5494886)",,
44849005,Via Michelangelo Buonarroti,residential,,False,False,101.75200000000001,"LINESTRING (8.9762893 45.5498573, 8.9761008 45.550008, 8.9760615 45.5501021, 8.9761003 45.5504228, 8.976161 45.5505005, 8.9763031 45.5506015, 8.9763809 45.550636)",,
44849200,Via Michelangelo Buonarroti,residential,,False,True,94.436,"LINESTRING (8.9763809 45.550636, 8.9756572 45.5513175)",,
44849005,Via Michelangelo Buonarroti,residential,,False,True,101.75200000000001,"LINESTRING (8.9763809 45.550636, 8.9763031 45.5506015, 8.976161 45.5505005, 8.9761003 45.5504228, 8.9760615 45.5501021, 8.9761008 45.550008, 8.9762893 45.5498573)",,
44849204,Via Generale Armando Diaz,unclassified,,False,False,50.685,"LINESTRING (8.9766212 45.552424, 8.9770302 45.5520694)",,
44849204,Via Generale Armando Diaz,unclassified,,False,True,43.205,"LINESTRING (8.9766212 45.552424, 8.9762726 45.5527263)",,
44849029,Via Gabriele D'Annunzio,unclassified,,False,False,135.72,"LINESTRING (8.9770302 45.5520694, 8.9756572 45.5513175)",,
44849204,Via Generale Armando Diaz,unclassified,,False,True,50.685,"LINESTRING (8.9770302 45.5520694, 8.9766212 45.552424)",,
44849030,Via Bernardino Luini,unclassified,,True,False,131.863,"LINESTRING (8.9762726 45.5527263, 8.9749434 45.5519915)",,
