osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,maxspeed,junction
37487007,False,Lungoliri Simoncelli,secondary,True,29.754,"LINESTRING (13.6130026 41.7183126, 13.6133534 41.7182575)",,,,
37870621,True,,secondary,False,23.408,"LINESTRING (13.6130026 41.7183126, 13.6128335 41.7183239, 13.6127216 41.7183305)",,,,
28556784,False,Via Roma,secondary,False,23.453,"LINESTRING (13.6187516 41.7189143, 13.6189113 41.7187403)",,,,
28556784,False,Via Roma,secondary,True,113.819,"LINESTRING (13.6187516 41.7189143, 13.6186665 41.7190057, 13.6183798 41.7193136, 13.6180405 41.7197875)",,,,
38192904,False,Via Principe Umberto,residential,True,82.419,"LINESTRING (13.6187516 41.7189143, 13.618196 41.7185476, 13.6180089 41.7184223)",,,,
37452295,True,Corso Volsci,residential,False,3.343,"LINESTRING (13.6154413 41.7223144, 13.6154233 41.7222875)",1,,,
37886964,False,Piazza Indipendenza,unclassified,True,21.914,"LINESTRING (13.6154413 41.7223144, 13.6156441 41.7221882)",,,,
37886968,False,Piazza Indipendenza,unclassified,True,46.541,"LINESTRING (13.6154413 41.7223144, 13.6155227 41.722463, 13.6156536 41.7227018)",,,,
462196668,True,Corso Volsci,residential,False,31.968,"LINESTRING (13.6141081 41.720285, 13.6139336 41.7200287)",,,,
37487008,True,Lungoliri G. Mazzini,residential,False,47.424,"LINESTRING (13.6137553 41.7190372, 13.614148 41.719347)",,,,
184299429,True,Via Boncompagni,residential,False,42.634,"LINESTRING (13.6137553 41.7190372, 13.6134545 41.719348)",,,,
37487009,True,Via Deci,unclassified,False,40.601,"LINESTRING (13.6166746 41.7212117, 13.6163619 41.7214925)",,,,
37870427,True,Lungoliri Matteucci,residential,False,115.547,"LINESTRING (13.6166746 41.7212117, 13.6176855 41.7219262)",,,,
"[37870424, 37870425, 285978787]",False,"['Via Lungorliri Simoncelli', 'Ponte San Lorenzo']","['unclassified', 'residential']",False,56.98599999999999,"LINESTRING (13.6166746 41.7212117, 13.6167201 41.7211611, 13.6169815 41.7208842, 13.6170077 41.7208332, 13.617024 41.7207763)",,yes,,
180712613,True,Via Firmio,residential,False,53.611,"LINESTRING (13.6163619 41.7214925, 13.6157699 41.7216854)",,,,
37487009,True,Via Deci,unclassified,False,58.221000000000004,"LINESTRING (13.6163619 41.7214925, 13.6161913 41.721688, 13.6159698 41.7219266)",,,,
37487009,True,Via Deci,unclassified,False,31.969,"LINESTRING (13.6159698 41.7219266, 13.6157165 41.7221432)",,,,
184299431,False,Via Vittorio Emanuele III,residential,False,31.537,"LINESTRING (13.6159698 41.7219266, 13.6157699 41.7216854)",,,,
37886964,False,Piazza Indipendenza,unclassified,False,7.819,"LINESTRING (13.6157165 41.7221432, 13.6156441 41.7221882)",,,,
878756433,True,Piazza Indipendenza,unclassified,False,68.05799999999999,"LINESTRING (13.6157165 41.7221432, 13.6158418 41.7224088, 13.6159889 41.7227205)",,,,
37870420,True,,unclassified,False,54.846,"LINESTRING (13.6118808 41.7179079, 13.6124187 41.7176214)",,,,
474875058,False,Via Napoli,secondary,False,16.488,"LINESTRING (13.6118808 41.7179079, 13.6117302 41.7178112)",,,,
474875058,False,Via Napoli,secondary,True,36.564,"LINESTRING (13.6118808 41.7179079, 13.6122147 41.7181224)",,,,
37827667,False,Lungoliri G. Rosati,residential,True,20.3,"LINESTRING (13.6123877 41.7190402, 13.6122055 41.719162)",,,,
299531423,False,Vicolo Marini,residential,False,15.365,"LINESTRING (13.6123877 41.7190402, 13.6124702 41.7191639)",,,,
37827667,False,Lungoliri G. Rosati,residential,False,60.138,"LINESTRING (13.6123877 41.7190402, 13.6124521 41.7189933, 13.6128799 41.7188445, 13.6130273 41.7187932)",,,,
"[37705596, 37452294, 37870415]",False,Ponte di Napoli,residential,False,57.245000000000005,"LINESTRING (13.6130273 41.7187932, 13.6129975 41.7187539, 13.6127614 41.7184216, 13.6127002 41.71834)",,yes,,
37487008,True,Lungoliri G. Mazzini,residential,False,69.954,"LINESTRING (13.6130273 41.7187932, 13.6132034 41.7187922, 13.6132842 41.7187917, 13.6134801 41.7188475, 13.6136675 41.7189594, 13.6137553 41.7190372)",,,,
37827667,False,Lungoliri G. Rosati,residential,True,60.13799999999999,"LINESTRING (13.6130273 41.7187932, 13.6128799 41.7188445, 13.6124521 41.7189933, 13.6123877 41.7190402)",,,,
37827669,True,Via Cesare Balbo,residential,False,102.545,"LINESTRING (13.6099693 41.7198764, 13.609247 41.7191282)",,,,
"[905920614, 37827671]",False,"['Piazza Giacomo Venditti', 'Ponte Cavalieri di Vittorio Veneto']",residential,False,61.76500000000001,"LINESTRING (13.6099693 41.7198764, 13.6102887 41.7201907, 13.6103096 41.7202073, 13.6103656 41.7202622, 13.610397 41.7203273)",,yes,,
37487007,False,Lungoliri Simoncelli,secondary,False,60.368,"LINESTRING (13.6146522 41.7189526, 13.6141641 41.7185501)",,,,
37487007,False,Lungoliri Simoncelli,secondary,True,83.595,"LINESTRING (13.6146522 41.7189526, 13.6153174 41.7195171)",,,,
37870421,False,Via XX Settembre,residential,False,113.551,"LINESTRING (13.6146522 41.7189526, 13.6155978 41.7182146)",,,50,
"[37832970, 37870422, 37870423]",False,Ponte Riccardo Gulia,residential,True,60.629999999999995,"LINESTRING (13.6146522 41.7189526, 13.6145557 41.7190346, 13.6142124 41.7192969, 13.614148 41.719347)",,yes,,
38192906,False,Via XX Settembre,residential,False,88.895,"LINESTRING (13.6163676 41.7176128, 13.617097 41.7170274)",2,,50,
874831955,True,,residential,False,11.555,"LINESTRING (13.6163676 41.7176128, 13.6163785 41.7176208, 13.6163924 41.7176415, 13.6163968 41.7176644, 13.6163912 41.7176871, 13.6163761 41.7177073)",,,,roundabout
37870421,False,Via XX Settembre,residential,False,76.713,"LINESTRING (13.6155978 41.7182146, 13.6162366 41.717716)",,,50,
37870421,False,Via XX Settembre,residential,True,113.551,"LINESTRING (13.6155978 41.7182146, 13.6146522 41.7189526)",,,50,
37886971,True,Via Piemonte,residential,False,61.124,"LINESTRING (13.6155978 41.7182146, 13.6150545 41.7178435)",,,,
37827669,True,Via Cesare Balbo,residential,False,64.722,"LINESTRING (13.609247 41.7191282, 13.6087905 41.7186563)",,,,
37827673,True,Via Mameli,residential,False,83.495,"LINESTRING (13.609247 41.7191282, 13.6100993 41.7187293)",,,,
37865153,False,Via Ugo Foscolo,residential,False,161.45299999999997,"LINESTRING (13.6079482 41.7162006, 13.6084925 41.7165538, 13.6086769 41.7166719, 13.6090596 41.7169172, 13.6094182 41.7171515)",,,,
184299434,False,Via Michele Biancale,residential,False,69.015,"LINESTRING (13.6100095 41.7175245, 13.6105695 41.7170657)",,,,
184299434,False,Via Michele Biancale,residential,True,96.843,"LINESTRING (13.6100095 41.7175245, 13.609284 41.7182066)",,,,
474875055,False,Via Luigi Settembrini,residential,False,129.398,"LINESTRING (13.6100095 41.7175245, 13.6111808 41.7182925)",,,,
474875055,False,Via Luigi Settembrini,residential,True,64.25800000000001,"LINESTRING (13.6100095 41.7175245, 13.6096268 41.7172806, 13.6094182 41.7171515)",,,,
474875055,False,Via Luigi Settembrini,residential,False,85.609,"LINESTRING (13.6111808 41.7182925, 13.6119745 41.7187842)",,,,
474875055,False,Via Luigi Settembrini,residential,True,129.398,"LINESTRING (13.6111808 41.7182925, 13.6100095 41.7175245)",,,,
37827673,True,Via Mameli,residential,False,74.25,"LINESTRING (13.6111808 41.7182925, 13.6113385 41.7182688, 13.6114705 41.7182216, 13.6116162 41.7181087, 13.6118808 41.7179079)",,,,
