osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,bridge,tunnel
28684491,Via San Vito,tertiary,False,False,20.484,,"LINESTRING (17.2165185 40.9967775, 17.2162875 40.996837)",,,
175840184,Via De Cristoforis,residential,True,False,7.698,30,"LINESTRING (17.2165185 40.9967775, 17.2165798 40.996829)",,,
28684491,Via San Vito,tertiary,False,True,45.393,,"LINESTRING (17.2165185 40.9967775, 17.2165957 40.9967523, 17.2168415 40.9965404, 17.2168885 40.9964882)",,,
"[44732465, 164886311]","['Via Graziella Fumagalli', 'Via Antonio Gramsci']",residential,True,False,69.911,30,"LINESTRING (17.2175803 40.9936201, 17.2175152 40.993219, 17.2176038 40.9932098, 17.2177317 40.9931921, 17.2178019 40.9931662)",1,,
"[188564930, 1233982298]",Viale San Francesco d'Assisi,unclassified,False,True,171.758,30,"LINESTRING (17.2175803 40.9936201, 17.2173801 40.9935665, 17.2172631 40.9935507, 17.2171393 40.9935437, 17.2170258 40.9935432, 17.2169128 40.9935551, 17.2168267 40.9935724, 17.2167509 40.9935985, 17.2166772 40.9936326, 17.2165734 40.9936808, 17.2165244 40.993714, 17.2163045 40.9938629, 17.2161962 40.9939312, 17.2160142 40.9940673, 17.2159108 40.9941351, 17.2158426 40.9941761)",2,,
"[1233982299, 188564931, 1238397994, 40682166]",Viale San Francesco d'Assisi,unclassified,False,False,115.148,30,"LINESTRING (17.2149023 40.9949102, 17.2149229 40.9948525, 17.2150815 40.9946714, 17.2152271 40.9945728, 17.215581 40.9943392, 17.2156953 40.9942728, 17.2158426 40.9941761)",2,viaduct,
79872042,Via Caduti di tutte le guerre,residential,True,False,166.73600000000005,30,"LINESTRING (17.2149023 40.9949102, 17.2153438 40.9951644, 17.2154741 40.9952057, 17.2156246 40.9952315, 17.2158006 40.99523, 17.2160006 40.9951747, 17.2162149 40.9951324, 17.2162982 40.9951436, 17.2163485 40.9951678, 17.2164806 40.9954375)",,,
37579688,Via Manzoni,residential,True,False,29.511,30,"LINESTRING (17.2214724 40.9927371, 17.2216739 40.9929546)",,,
44755845,Via Porto Mariano,residential,True,False,30.376,30,"LINESTRING (17.2214724 40.9927371, 17.2211781 40.9928961)",,,
37579678,Via Narciso,residential,True,False,21.741,30,"LINESTRING (17.2214587 40.9940487, 17.2214381 40.9942436)",,,
234106321,Via Pompeo Sarnelli,tertiary,False,False,24.816,30,"LINESTRING (17.2214587 40.9940487, 17.2216631 40.9939366, 17.2216971 40.9939167)",2,,
234106321,Via Pompeo Sarnelli,tertiary,False,True,43.028999999999996,30,"LINESTRING (17.2214587 40.9940487, 17.2210981 40.9942479, 17.2210416 40.9942734)",2,,
73999061,Via Narciso,residential,False,False,18.423,30,"LINESTRING (17.2212428 40.9957919, 17.2212244 40.995957)",,,
548394848,Via Tritone,residential,True,False,33.305,30,"LINESTRING (17.2212428 40.9957919, 17.2216377 40.9958215)",,,
37579724,Via Giacomo Matteotti,residential,True,False,85.088,30,"LINESTRING (17.2199461 40.9948614, 17.2199766 40.9948881, 17.2200011 40.994898, 17.2204818 40.9949419, 17.2209349 40.9949744)",,,
62072163,Piazza Aldo Moro,tertiary,False,False,30.045,30,"LINESTRING (17.2199461 40.9948614, 17.2201436 40.9947567, 17.2202382 40.9947052)",2,,
62072163,Piazza Aldo Moro,tertiary,False,True,34.86,30,"LINESTRING (17.2199461 40.9948614, 17.219691 40.9950009, 17.2196068 40.9950421)",2,,
44732472,Via Giuseppe Raffaele del Drago,residential,True,False,29.136,30,"LINESTRING (17.221338 40.9916276, 17.2215368 40.9918424)",,,
548519539,Via Martiri di Dogali,tertiary,False,False,4.049,30,"LINESTRING (17.2175393 40.9926664, 17.2175608 40.992699)",2,,
44732464,Via Giuseppe Mallardi,residential,False,False,31.445,30,"LINESTRING (17.2175393 40.9926664, 17.2174539 40.9926902, 17.2172052 40.9927931)",,,
164887777,Via Martiri di Dogali,tertiary,False,True,25.348,30,"LINESTRING (17.2175393 40.9926664, 17.2174738 40.9925353, 17.217467 40.9924476)",2,,
38353110,Via Galizia,residential,True,False,38.561,,"LINESTRING (17.2179058 40.9926363, 17.2183398 40.9925225)",,,
40682160,Via Principe Amedeo,residential,True,False,31.754,30,"LINESTRING (17.2179058 40.9926363, 17.2177755 40.9923682)",1,,
163965248,Via Aia,residential,False,False,8.51,30,"LINESTRING (17.217554 40.9924083, 17.217467 40.9924476)",,,
62075836,Viale Trieste,residential,True,False,50.586,30,"LINESTRING (17.217554 40.9924083, 17.2174654 40.9920669, 17.2174511 40.9919604)",,,
28684491,Via San Vito,tertiary,False,False,11.962,,"LINESTRING (17.2162875 40.996837, 17.2161513 40.9968687)",,,
28684491,Via San Vito,tertiary,False,True,20.484,,"LINESTRING (17.2162875 40.996837, 17.2165185 40.9967775)",,,
43465095,Piazza Giuseppe Garibaldi,tertiary,False,False,60.872,,"LINESTRING (17.2196068 40.9950421, 17.2194934 40.9950941, 17.2193108 40.9951735, 17.2189781 40.995315)",2,,
62072163,Piazza Aldo Moro,tertiary,False,False,34.86,30,"LINESTRING (17.2196068 40.9950421, 17.219691 40.9950009, 17.2199461 40.9948614)",2,,
551990951,Piazza Aldo Moro,residential,True,False,58.237,30,"LINESTRING (17.2196068 40.9950421, 17.2195479 40.9950173, 17.2195111 40.9949747, 17.21943 40.9945943, 17.2194214 40.9945582)",1,,
40682160,Via Principe Amedeo,residential,True,False,33.041,30,"LINESTRING (17.2194214 40.9945582, 17.2193195 40.9944141, 17.2192145 40.9943063)",1,,
551990950,Piazza Aldo Moro,residential,True,False,56.825,30,"LINESTRING (17.2194214 40.9945582, 17.2194833 40.994522, 17.2196644 40.9944234, 17.2199628 40.9942514)",,,
44734269,Via Sant'Antonio,residential,True,False,19.070999999999998,30,"LINESTRING (17.2248206 40.9935726, 17.2247644 40.9936041, 17.2246361 40.9936727)",,,
65847829,Via Bartolomeo Vivarini,residential,False,False,67.32,30,"LINESTRING (17.2248206 40.9935726, 17.2248827 40.9936484, 17.2252035 40.9941044)",,,
65847829,Via Bartolomeo Vivarini,residential,False,False,24.387,30,"LINESTRING (17.225245 40.9942211, 17.2253109 40.9944347)",,,
65847829,Via Bartolomeo Vivarini,residential,False,True,13.436,30,"LINESTRING (17.225245 40.9942211, 17.2252035 40.9941044)",,,
44811313,Via Rocco Giuliani,residential,False,False,49.648,30,"LINESTRING (17.2254506 40.9948609, 17.2253111 40.9952948)",,,
40685275,Via Parco del Lauro,unclassified,True,False,70.31299999999999,30,"LINESTRING (17.2254506 40.9948609, 17.2253268 40.9948395, 17.2248446 40.9947808, 17.2246392 40.9948451)",1,,
65847829,Via Bartolomeo Vivarini,residential,False,True,48.82,30,"LINESTRING (17.2254506 40.9948609, 17.2254149 40.9947494, 17.2253109 40.9944347)",,,
93921648,Via Sant'Antonio,residential,False,False,24.208,30,"LINESTRING (17.2246361 40.9936727, 17.2243926 40.9937894)",,,
44808006,Via Pino Pascali,residential,True,False,26.224,30,"LINESTRING (17.2246361 40.9936727, 17.2244957 40.9935201, 17.2244455 40.9934874)",,,
44808006,Via Pino Pascali,residential,True,False,52.038,30,"LINESTRING (17.2244455 40.9934874, 17.2243793 40.993436, 17.2240747 40.9931132)",,,
140256554,Via Giulio Recupero,residential,True,False,39.185,30,"LINESTRING (17.2244455 40.9934874, 17.2245678 40.9934089, 17.2248167 40.9932741)",,,
44808006,Via Pino Pascali,residential,True,False,41.418,30,"LINESTRING (17.2240747 40.9931132, 17.2237781 40.9928155)",,,
44828723,Via Nicola D'Aprile,residential,True,False,52.582,30,"LINESTRING (17.2240747 40.9931132, 17.2235302 40.9933471)",,,
234106321,Via Pompeo Sarnelli,tertiary,False,False,27.964,30,"LINESTRING (17.2237781 40.9928155, 17.2240491 40.9926692)",2,,
234106321,Via Pompeo Sarnelli,tertiary,False,True,30.617,30,"LINESTRING (17.2237781 40.9928155, 17.2236358 40.9928923, 17.2234814 40.9929757)",2,,
44705349,Via Giuseppe Mazzini,residential,False,False,47.572,30,"LINESTRING (17.2243734 40.9924941, 17.2244085 40.9925335, 17.2246459 40.992869)",2,,
