osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction,width,bridge,tunnel
116538558,False,2,Via Angelo Cantoni,primary,30,True,52.605999999999995,"LINESTRING (8.5544634 45.761863, 8.5545905 45.7619169, 8.555043 45.7621086)",,,,
702520857,True,,,primary,30,False,10.743,"LINESTRING (8.5544648 45.7589115, 8.5544482 45.7589003, 8.5544381 45.7588859, 8.5544357 45.7588698, 8.5544412 45.7588542, 8.5544541 45.7588408, 8.5544727 45.7588313)",roundabout,,,
116538550,True,1,Corso della Repubblica,unclassified,,False,30.855999999999998,"LINESTRING (8.5602537 45.7576183, 8.5603063 45.7576702, 8.5603329 45.7577353, 8.5603465 45.7577684, 8.5603699 45.7578049, 8.5604361 45.7578599)",,,,
381753600,False,,Corso della Repubblica,residential,,False,75.39099999999999,"LINESTRING (8.5602537 45.7576183, 8.5600804 45.7571498, 8.5600109 45.7569618)",,,,
28165367,True,,Via Antonio Gramsci,residential,,False,102.83,"LINESTRING (8.5607781 45.7586494, 8.560638 45.7586888, 8.5596341 45.7589395, 8.5595322 45.7589648)",,,,
"[296122020, 33678741]",False,,Corso della Repubblica,residential,,"[False, True]",158.81599999999997,"LINESTRING (8.5607781 45.7586494, 8.5610076 45.7590068, 8.5612479 45.759381, 8.561793 45.759879)",,,,
116538543,False,,Corso della Repubblica,residential,,False,51.668,"LINESTRING (8.5607781 45.7586494, 8.5607422 45.7585855, 8.5605206 45.7582209)",,,,
30076676,False,,Via Pertossi,residential,,True,70.402,"LINESTRING (8.5581461 45.7621378, 8.5586545 45.7623161, 8.5586861 45.7623272, 8.5588937 45.7623915, 8.5589401 45.7624059, 8.5589629 45.7624134)",,6,,
712450402,True,,Via San Carlo,residential,,False,52.629,"LINESTRING (8.5581461 45.7621378, 8.5585856 45.7618081, 8.5586081 45.7617912)",,,,
31985396,True,,Via Monte Grappa,residential,,False,107.88,"LINESTRING (8.5575204 45.757348, 8.557577 45.7573172, 8.5576076 45.7573072, 8.557657 45.7572966, 8.5577112 45.7572901, 8.5577985 45.7572796, 8.5582784 45.7572658, 8.5584031 45.757242, 8.5585024 45.7571898, 8.5585835 45.7571261, 8.5587388 45.7570043)",,,,
477696313,True,2,Corso della Liberazione,primary,,False,117.105,"LINESTRING (8.5575204 45.757348, 8.5575439 45.7573908, 8.5576246 45.7575366, 8.5578345 45.7579196, 8.5580302 45.7582537, 8.5580496 45.7582838, 8.5580773 45.7583267)",,,,
"[320582544, 712483364]",False,2,Corso della Liberazione,primary,,False,83.522,"LINESTRING (8.558626 45.7591985, 8.5585871 45.7591437, 8.5584914 45.7589822, 8.5582108 45.7585249, 8.5581994 45.758509)",,,,
712465714,False,2,Corso della Liberazione,primary,30,True,95.989,"LINESTRING (8.558626 45.7591985, 8.5588665 45.7596127, 8.558887 45.759648, 8.5588989 45.7596691, 8.5590855 45.76)",,,,
28165367,True,,Via Antonio Gramsci,residential,,False,74.95400000000001,"LINESTRING (8.5595322 45.7589648, 8.5587427 45.759166, 8.558626 45.7591985)",,,,
200507615,False,,Via Cesare Battisti,residential,,False,62.34,"LINESTRING (8.5611343 45.7615032, 8.560829 45.7613847, 8.5606071 45.7612986, 8.560432 45.7612307)",,6,,
"[296122020, 33678741]",False,,Corso della Repubblica,residential,,"[False, True]",158.816,"LINESTRING (8.561793 45.759879, 8.5612479 45.759381, 8.5610076 45.7590068, 8.5607781 45.7586494)",,,,
