osmid,lanes,name,highway,oneway,reversed,length,geometry,tunnel,junction,bridge,ref
25876434,2,Via Quattro Novembre,secondary,False,False,21.882,"LINESTRING (10.0563419 44.864124, 10.0563646 44.864079, 10.0564022 44.8639324)",,,,
262526455,,Via Quattro Novembre,secondary,True,False,13.616,"LINESTRING (10.0566682 44.8629961, 10.0567187 44.862879)",,,,
25876434,2,Via Quattro Novembre,secondary,False,True,106.442,"LINESTRING (10.0566682 44.8629961, 10.0566259 44.8630868, 10.056565 44.8632327, 10.0564869 44.8635104, 10.0564416 44.8637786, 10.0564022 44.8639324)",,,,
142431471,,Via Quattro Novembre,secondary,False,False,127.756,"LINESTRING (10.0573586 44.8625334, 10.0575764 44.8624642, 10.0579344 44.8624034, 10.0583951 44.8623619, 10.0587131 44.8623436, 10.0589434 44.8623342)",,,,
262526457,,Via Quattro Novembre,secondary,True,False,24.449,"LINESTRING (10.0573586 44.8625334, 10.0572429 44.8625937, 10.0571487 44.8626604, 10.0571319 44.8626809)",,,,
445470553,,Vicolo Giambattista Tagliasacchi,residential,False,True,21.635,"LINESTRING (10.0605231 44.8665535, 10.0606018 44.8667399)",,,,
142546073,,Via Antonio Gramsci,residential,True,False,43.58,"LINESTRING (10.0606109 44.8627942, 10.0607811 44.8631671)",,,,
184275599,,Via Antonio Gramsci,residential,True,False,34.427,"LINESTRING (10.0606109 44.8627942, 10.0604376 44.8625502, 10.0604297 44.8625142)",,,,
142431469,,Via Quattro Novembre,secondary,True,False,31.677,"LINESTRING (10.059547 44.8622964, 10.0598813 44.8622733, 10.059947 44.8622686)",,,,
142431471,,Via Quattro Novembre,secondary,False,True,47.785,"LINESTRING (10.059547 44.8622964, 10.0592245 44.8623237, 10.0589434 44.8623342)",,,,
142431472,,Via Trento,residential,False,True,30.807000000000002,"LINESTRING (10.0564762 44.8620897, 10.0565421 44.8622049, 10.0566016 44.8623517)",,,,
62219899,,Via Ventiquattro Maggio,secondary,False,True,44.137,"LINESTRING (10.0638993 44.8620292, 10.0638159 44.8620335, 10.0633408 44.8620582)",,,,
"[94699101, 184275606, 94699055]",,"['Via Guglielmo Marconi', 'Via G. Mazzini']",tertiary,False,False,131.915,"LINESTRING (10.062737 44.8686558, 10.0627336 44.8685237, 10.0627323 44.8684717, 10.062336 44.8677973, 10.0622046 44.8675421)",yes,,,
551723466,2,,tertiary,False,False,48.196,"LINESTRING (10.062737 44.8686558, 10.0626614 44.8687011, 10.0625604 44.868745, 10.062238 44.8688465, 10.0622095 44.8688677)",,,,
184275607,,Via G. Mazzini,tertiary,False,True,6.806,"LINESTRING (10.062175 44.8674846, 10.0622046 44.8675421)",,,,
