osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,maxspeed
"[1261414883, 1261414751, 29459399]",2,Via Dante Alighieri,unclassified,False,False,198.843,"LINESTRING (8.8500407 45.6095459, 8.8500442 45.609486, 8.8500976 45.6089292, 8.850146 45.6084196, 8.8501892 45.6079654, 8.8501966 45.6078925, 8.8502051 45.6078081, 8.8502098 45.6077616)",,
"[421110336, 398429725]","['2', '3']",Via Giuseppe Mazzini,unclassified,False,False,109.761,"LINESTRING (8.8500407 45.6095459, 8.8501801 45.6095639, 8.8503508 45.609593, 8.8506357 45.6096425, 8.8514105 45.609782)",,
666513917,2,Via Dante Alighieri,unclassified,False,True,73.687,"LINESTRING (8.8500407 45.6095459, 8.8500311 45.609647, 8.8499923 45.6102077)",,
"[1230600978, 1230600860, 421109047, 1230600159]","['2', '3']",Via Giuseppe Mazzini,unclassified,False,True,190.625,"LINESTRING (8.8500407 45.6095459, 8.8499577 45.6095418, 8.8497391 45.6095283, 8.8495182 45.6095164, 8.8494335 45.609511, 8.8490227 45.6094836, 8.8484859 45.6094651, 8.8481634 45.6094778, 8.8475956 45.6094937)",,
29459367,2,Via Luigi Einaudi,unclassified,False,False,44.12,"LINESTRING (8.8475956 45.6094937, 8.8476004 45.6095703, 8.8476025 45.6096135, 8.8476198 45.6098805, 8.8476204 45.6098901)",,
43627372,2,Via Giuseppe Mazzini,unclassified,False,True,32.619,"LINESTRING (8.8475956 45.6094937, 8.8475157 45.609498, 8.8471782 45.6095218)",,
"[1230600159, 1230600978, 1230600860, 421109047]","['2', '3']",Via Giuseppe Mazzini,unclassified,False,False,190.625,"LINESTRING (8.8475956 45.6094937, 8.8481634 45.6094778, 8.8484859 45.6094651, 8.8490227 45.6094836, 8.8494335 45.609511, 8.8495182 45.6095164, 8.8497391 45.6095283, 8.8499577 45.6095418, 8.8500407 45.6095459)",,
"[334843620, 24909493]",1,"['Via Massari', 'Piazza Achille Venzaghi']",residential,True,False,83.23899999999999,"LINESTRING (8.8480089 45.6113645, 8.8479986 45.6115178, 8.8479495 45.6120785, 8.8479466 45.6121118)",,
39391710,2,Corso Europa,unclassified,False,False,46.693,"LINESTRING (8.8480089 45.6113645, 8.8474939 45.6113625, 8.8474087 45.6113597)",,
39391710,2,Corso Europa,unclassified,False,True,49.01,"LINESTRING (8.8480089 45.6113645, 8.8481304 45.6113675, 8.8486386 45.6113798)",,
"[39391824, 334843619]",1,"['Piazza Achille Venzaghi', 'Via delle Caserme']",residential,True,False,79.069,"LINESTRING (8.8472917 45.612066, 8.8473908 45.6114978, 8.8473994 45.6114318, 8.8474087 45.6113597)",,
