osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,tunnel,lanes
166676446,Viale Italia,residential,False,True,127.291,,"LINESTRING (11.953799 45.9152661, 11.9521632 45.9151425)",,,
294033924,Viale Italia,unclassified,False,False,27.948,30,"LINESTRING (11.953799 45.9152661, 11.9537867 45.9155173)",,,
294033924,Viale Italia,unclassified,False,True,27.784,30,"LINESTRING (11.953799 45.9152661, 11.9538155 45.9150165)",,,
127581577,Via Riva Secca,residential,False,True,295.5230000000001,,"LINESTRING (11.953044 45.9180574, 11.9530492 45.9180791, 11.9530486 45.918101, 11.9529936 45.9181635, 11.9526897 45.9183821, 11.9526803 45.9184076, 11.952657 45.9184714, 11.9526367 45.91856, 11.9526873 45.9187274, 11.9527173 45.9187597, 11.9527533 45.9187775, 11.9528824 45.9187817, 11.9530874 45.9187625, 11.9533085 45.9187236, 11.9540375 45.9187399, 11.9542685 45.9187629, 11.954384 45.9188132, 11.9544665 45.9188568, 11.9545789 45.918984, 11.9547299 45.919111, 11.9549477 45.9192502, 11.954993 45.9192732, 11.9550273 45.9192842)",,,
"[294033925, 25463383]",Viale Italia,residential,False,False,160.18600000000004,,"LINESTRING (11.953044 45.9180574, 11.9524842 45.9183251, 11.9523081 45.9184251, 11.9521175 45.9185334, 11.9520759 45.9186177, 11.9520688 45.9187022, 11.9521939 45.9188777, 11.9523487 45.9189948, 11.9524233 45.919032, 11.9524865 45.9190457)",,,
294033925,Viale Italia,residential,False,True,35.407,,"LINESTRING (11.953044 45.9180574, 11.9530968 45.9180208, 11.953176 45.9179545, 11.9533169 45.9178031)",,,
229865269,Via Riva Grassa,residential,False,True,81.749,,"LINESTRING (11.9555627 45.9211294, 11.9555638 45.9210946, 11.9555449 45.921057, 11.9554264 45.9209829, 11.9552208 45.9208742, 11.9547825 45.9206645)",,,
229865269,Via Riva Grassa,residential,False,False,508.66700000000003,,"LINESTRING (11.9547973 45.9197446, 11.9547745 45.9198019, 11.9547229 45.9198484, 11.9546311 45.9198762, 11.9544535 45.9199082, 11.9542892 45.9198896, 11.9536411 45.9196043, 11.9535593 45.9195799, 11.9532685 45.9196224, 11.9522278 45.9201673, 11.9521027 45.920251, 11.9520838 45.9202923, 11.9521135 45.920329, 11.9521568 45.9203525, 11.9522189 45.9203506, 11.9523029 45.9203091, 11.953011 45.9199807, 11.9532539 45.9199417, 11.9533768 45.9199399, 11.9534938 45.9199583, 11.9547825 45.9206645)",,,
229865269,Via Riva Grassa,residential,False,True,212.987,,"LINESTRING (11.9547973 45.9197446, 11.9547841 45.9196902, 11.9547344 45.9196264, 11.9540555 45.9192421, 11.9535296 45.9190081, 11.9533958 45.9189735, 11.9532699 45.9189609, 11.9531226 45.9189509, 11.9528565 45.9189772, 11.9525973 45.9190323, 11.9524865 45.9190457)",,,
126113587,Via San Rocco,residential,False,False,122.06,,"LINESTRING (11.9573363 45.9139759, 11.9572878 45.9138426, 11.9572663 45.9131707, 11.9572733 45.9128826)",,,
126113587,Via San Rocco,residential,False,True,154.04399999999998,,"LINESTRING (11.9573363 45.9139759, 11.9573736 45.9140784, 11.9573092 45.9145263, 11.9577813 45.9150936, 11.957876 45.9152546)",,,
126113585,Via Zancaner,residential,False,True,76.59400000000001,,"LINESTRING (11.9550273 45.9192842, 11.9550652 45.9192286, 11.9552528 45.9190275, 11.9554891 45.9188882, 11.9556538 45.9187598)",,,
127581577,Via Riva Secca,residential,False,False,295.523,,"LINESTRING (11.9550273 45.9192842, 11.954993 45.9192732, 11.9549477 45.9192502, 11.9547299 45.919111, 11.9545789 45.918984, 11.9544665 45.9188568, 11.954384 45.9188132, 11.9542685 45.9187629, 11.9540375 45.9187399, 11.9533085 45.9187236, 11.9530874 45.9187625, 11.9528824 45.9187817, 11.9527533 45.9187775, 11.9527173 45.9187597, 11.9526873 45.9187274, 11.9526367 45.91856, 11.952657 45.9184714, 11.9526803 45.9184076, 11.9526897 45.9183821, 11.9529936 45.9181635, 11.9530486 45.918101, 11.9530492 45.9180791, 11.953044 45.9180574)",,,
1250584121,Via Riva Secca,residential,False,False,146.477,,"LINESTRING (11.9550273 45.9192842, 11.9550321 45.9193181, 11.9551739 45.9194634, 11.9553566 45.9196466, 11.955569 45.9198624, 11.9557474 45.9199846, 11.9559872 45.9200696, 11.9563574 45.9201161)",,,
