osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,name,width,junction,access
4434260,True,1,SP42,primary,50,False,18.873,"LINESTRING (12.6741901 45.5739137, 12.6742407 45.5739557, 12.6742983 45.5739996, 12.6743526 45.5740396)",,,,,
482562221,False,2,SP42,primary,50,False,81.278,"LINESTRING (12.6741901 45.5739137, 12.673719 45.5732947, 12.6736937 45.573271)",yes,,,,
"[35880355, 624050940]",True,1,SP42,primary,,False,34.78,"LINESTRING (12.6736937 45.573271, 12.6735749 45.5731987, 12.6734843 45.5731835, 12.6734122 45.5731872, 12.6732978 45.5732206)",yes,,,,
482562221,False,2,SP42,primary,50,True,81.278,"LINESTRING (12.6736937 45.573271, 12.673719 45.5732947, 12.6741901 45.5739137)",yes,,,,
36796620,True,,,unclassified,,False,198.445,"LINESTRING (12.6746732 45.572785, 12.6745974 45.572835, 12.6743651 45.5729417, 12.6741707 45.5730432, 12.6739066 45.5731628, 12.6736228 45.5732664, 12.6733892 45.5733354, 12.6727705 45.5734672, 12.6725443 45.5734904, 12.6723831 45.5734973)",,Via Massaua,,,
107740245,True,,,unclassified,,False,92.80100000000002,"LINESTRING (12.6758009 45.5725147, 12.6757007 45.5725395, 12.6754432 45.5725947, 12.6752591 45.5726363, 12.6749908 45.5727043, 12.6746732 45.572785)",,Via Massaua,,,
447153729,False,,,unclassified,,True,234.96,"LINESTRING (12.6758009 45.5725147, 12.6759619 45.572513, 12.6761551 45.5725176, 12.6764553 45.5725375, 12.6767216 45.572556, 12.6771988 45.57259, 12.6775585 45.5726272, 12.6778511 45.5726692, 12.6780336 45.572702, 12.6786058 45.5728146, 12.678768 45.5728511)",,Via Massaua,4,,
161638851,True,1,SP42,primary,,False,38.82300000000001,"LINESTRING (12.6734543 45.5729225, 12.6734702 45.5730223, 12.6734653 45.5730945, 12.6734256 45.5731515, 12.6732978 45.5732206)",,,,,
244935875,True,1,SP42,primary,50,False,27.155,"LINESTRING (12.6734543 45.5729225, 12.6735079 45.5730026, 12.6736156 45.5731389)",,,,,
244935873,True,2,SP42,primary,,False,77.56,"LINESTRING (12.6732978 45.5732206, 12.6723831 45.5734973)",,,,,
137831843,False,,,residential,,True,9.44,"LINESTRING (12.671652 45.5751416, 12.6717144 45.5752144)",,Via Diaz,,,
320099096,False,2,SP52,secondary,,False,55.629,"LINESTRING (12.671652 45.5751416, 12.6721278 45.5749647, 12.6722825 45.574906)",,Via Piave,,,
36132397,False,,,residential,,True,29.242,"LINESTRING (12.6738877 45.5758261, 12.6737341 45.5755861)",,Via Roma,,,
36132378,False,,,residential,,False,51.223,"LINESTRING (12.6738877 45.5758261, 12.6738229 45.575849, 12.6733507 45.5759967, 12.6732885 45.5760165)",,Via Guglielmo Marconi,,,
36132397,False,,,residential,,False,76.293,"LINESTRING (12.6738877 45.5758261, 12.6739573 45.5759392, 12.6742681 45.5764148, 12.6742911 45.5764514)",,Via Roma,,,
36132378,False,,,residential,,True,26.229,"LINESTRING (12.6724634 45.5762684, 12.6725386 45.5762468, 12.6727746 45.5761779)",,Via Guglielmo Marconi,,,
48201045,False,,,residential,,False,86.798,"LINESTRING (12.6724634 45.5762684, 12.6723564 45.5763012, 12.6714398 45.5765782)",,Via Guglielmo Marconi,,,
137831843,False,,,residential,,False,94.59899999999999,"LINESTRING (12.6724634 45.5762684, 12.6724383 45.576227, 12.6722924 45.5759861, 12.6719364 45.5755024)",,Via Diaz,,,
36132397,False,,,residential,,False,5.148,"LINESTRING (12.6730493 45.574589, 12.6730789 45.5746304)",,Via Roma,,,
320099096,False,2,SP52,secondary,,True,69.318,"LINESTRING (12.6730493 45.574589, 12.6724522 45.5748384, 12.6722825 45.574906)",,Via Piave,,,
683872923,False,2,SP52,secondary,,False,83.71900000000001,"LINESTRING (12.6730493 45.574589, 12.6739497 45.5742171, 12.6739777 45.5742093)",,Via Piave,,,
36132397,False,,,residential,,True,30.687,"LINESTRING (12.6744632 45.5766997, 12.6742911 45.5764514)",,Via Roma,,,
36132397,False,,,residential,,False,96.622,"LINESTRING (12.6744632 45.5766997, 12.6744969 45.5767512, 12.6749805 45.5774896)",,Via Roma,,,
36132467,False,,,residential,,False,128.02,"LINESTRING (12.6744632 45.5766997, 12.6745146 45.5766815, 12.6758296 45.5762142, 12.6758604 45.5762032, 12.6759299 45.5761786)",,Via Enrico Fermi,,,
