osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,bridge,ref,tunnel,access
609549052,Viale Matteotti,secondary,roundabout,True,False,10.346,"LINESTRING (9.9076726 44.9308812, 9.9076397 44.9308593, 9.90762 44.9308322, 9.907614 44.9308019)",,,,,
1244173296,Viale Europa,secondary,,True,False,18.778,"LINESTRING (9.9076726 44.9308812, 9.907587 44.9309034, 9.9075149 44.9309294, 9.9074566 44.930952)",1,,,,
"[103594962, 1127931379]",Viale Europa,secondary,,False,True,127.069,"LINESTRING (9.9074566 44.930952, 9.9067554 44.9313449, 9.906202 44.9316709)",2,yes,,,
103594979,Viale Europa,secondary,,True,False,20.921,"LINESTRING (9.9074566 44.930952, 9.9074994 44.9309179, 9.9075599 44.9308711, 9.907614 44.9308019)",1,,,,
609549048,Viale Giacomo Matteotti,secondary,,False,False,142.82500000000002,"LINESTRING (9.9078298 44.9302782, 9.9076427 44.930058, 9.9068311 44.9292062)",2,,,,
1017994947,Viale Matteotti Giacomo,secondary,,True,False,44.444,"LINESTRING (9.9078298 44.9302782, 9.9078667 44.9303444, 9.9078814 44.9303817, 9.9078935 44.9304187, 9.9079023 44.9304692, 9.9078997 44.9305206, 9.9078934 44.9305702, 9.9078675 44.9306682)",1,,,,
609549048,Viale Giacomo Matteotti,secondary,,False,True,56.748,"LINESTRING (9.9064422 44.9287765, 9.9068311 44.9292062)",2,,,,
103973304,Via Guglielmo Oberdan,residential,,False,False,151.96,"LINESTRING (9.9064422 44.9287765, 9.9059836 44.9282307, 9.905509 44.9275809)",,,,,
609549048,Viale Giacomo Matteotti,secondary,,False,False,164.88,"LINESTRING (9.9064422 44.9287765, 9.9064087 44.9286496, 9.906416 44.9284555, 9.9065915 44.9282483, 9.9068537 44.9280978, 9.9071059 44.927954, 9.9072054 44.9279044, 9.907622 44.9276919)",2,,,,
"[103594962, 1127931379]",Viale Europa,secondary,,False,False,127.069,"LINESTRING (9.906202 44.9316709, 9.9067554 44.9313449, 9.9074566 44.930952)",2,yes,,,
1127931379,Viale Europa,secondary,,False,True,50.872,"LINESTRING (9.906202 44.9316709, 9.9061249 44.9317116, 9.9056993 44.9319583)",2,,,,
428604990,Viale Giacomo Matteotti,secondary,,True,False,82.337,"LINESTRING (9.9103666 44.9262695, 9.9111663 44.9257923)",1,,SS9,,
609549048,Viale Giacomo Matteotti,secondary,,False,True,38.730000000000004,"LINESTRING (9.9103666 44.9262695, 9.9103484 44.9262843, 9.9099676 44.9264723)",2,,,,
57390832,Via Emilia,secondary,roundabout,True,False,16.288,"LINESTRING (9.9114347 44.9257314, 9.9114333 44.9257516, 9.9114296 44.9257773, 9.9114183 44.9258058, 9.9113915 44.925833, 9.911347 44.9258536)",1,,SS9,,
1121052339,Via Emilia,secondary,roundabout,True,False,8.474,"LINESTRING (9.9111663 44.9257923, 9.9111617 44.9257671, 9.9111662 44.9257419, 9.9111795 44.9257183)",1,,SS9,,
57390825,Via Lorenzo Braibanti,residential,,False,False,74.643,"LINESTRING (9.9112552 44.9237202, 9.9104115 44.9240264)",,,,,
103973621,Via Fiorenzo Romani,residential,,False,True,117.715,"LINESTRING (9.9112552 44.9237202, 9.911302 44.9238151, 9.9113205 44.9238527, 9.9117123 44.9247281)",,,,,
57390832,Via Emilia,secondary,roundabout,True,False,7.293,"LINESTRING (9.911347 44.9258536, 9.9113122 44.9258601, 9.9112568 44.9258685)",1,,SS9,,
103973388,Via Venti Settembre,residential,,True,False,33.95,"LINESTRING (9.911347 44.9258536, 9.9113564 44.9258827, 9.9114086 44.9260341, 9.9114103 44.9260409, 9.9114234 44.926092, 9.9114033 44.9261511)",,,,,
57390822,Viale Prospero Verani,secondary,,True,False,32.043,"LINESTRING (9.911393 44.9256901, 9.9117406 44.9255402)",1,,SS9,,
57390832,Via Emilia,secondary,roundabout,True,False,5.693,"LINESTRING (9.911393 44.9256901, 9.9114176 44.9257088, 9.9114347 44.9257314)",1,,SS9,,
441634435,Viale Luigi Illica,tertiary,,True,False,26.307,"LINESTRING (9.9111021 44.9254811, 9.9113086 44.9256671)",,,,,
620139163,Viale Luigi Illica,tertiary,,False,True,52.678,"LINESTRING (9.9111021 44.9254811, 9.9110342 44.9253233, 9.9108705 44.9250371)",,,SP4,,
57390832,Via Emilia,secondary,roundabout,True,False,7.235999999999999,"LINESTRING (9.9113086 44.9256671, 9.9113389 44.9256703, 9.9113675 44.9256781, 9.911393 44.9256901)",1,,SS9,,
57390825,Via Lorenzo Braibanti,residential,,False,True,74.643,"LINESTRING (9.9104115 44.9240264, 9.9112552 44.9237202)",,,,,
620139163,Viale Luigi Illica,tertiary,,False,False,22.444,"LINESTRING (9.9104115 44.9240264, 9.9104877 44.9242209)",,,SP4,,
103973445,Via Gaetano Donizzetti,residential,,False,True,144.79899999999998,"LINESTRING (9.9104115 44.9240264, 9.9096269 44.9243099, 9.9088446 44.9247018)",,,,,
57390818,Viale Giacomo Matteotti,secondary,,True,False,5.986,"LINESTRING (9.9112568 44.9258685, 9.9111994 44.9259038)",1,,SS9,,
1121052339,Via Emilia,secondary,roundabout,True,False,11.309000000000001,"LINESTRING (9.9112568 44.9258685, 9.9112092 44.9258418, 9.9111826 44.9258193, 9.9111663 44.9257923)",1,,SS9,,
335980221,Viale Prospero Verani,secondary,,False,True,21.395,"LINESTRING (9.9121159 44.9253806, 9.9118828 44.9254795)",2,,SS9,,
335980229,,residential,,False,True,80.834,"LINESTRING (9.9121159 44.9253806, 9.9130693 44.9256504)",,,,,
335980221,Viale Prospero Verani,secondary,,False,False,114.476,"LINESTRING (9.9121159 44.9253806, 9.912725 44.9251006, 9.9132652 44.9248871, 9.9133641 44.9248544)",2,,SS9,,
60202553,Via John Fitzgerald Kennedy,unclassified,,False,False,99.376,"LINESTRING (9.9151011 44.9240552, 9.9161848 44.923597)",2,,,,
