osmid,name,highway,oneway,reversed,length,geometry,width,lanes,maxspeed,junction
40179665,Viale Puccini,residential,False,True,82.522,"LINESTRING (10.7836417 44.5364803, 10.7826564 44.5367201)",,,,
186900874,Viale della Pace,residential,True,False,68.96300000000001,"LINESTRING (10.7836417 44.5364803, 10.7836511 44.5365073, 10.783817 44.5370081, 10.7838445 44.5370834)",,,,
40276995,Viale della Pace,residential,True,False,79.896,"LINESTRING (10.7838445 44.5370834, 10.7838694 44.5371543, 10.7840899 44.5377803)",8,,,
193381340,Viale Marini,residential,False,True,79.057,"LINESTRING (10.7838445 44.5370834, 10.7837673 44.537108, 10.7835149 44.5371595, 10.782916 44.5373402)",,,,
"[193381341, 193381342]",Viale Mascagni,residential,True,False,120.179,"LINESTRING (10.7838445 44.5370834, 10.7838858 44.5370313, 10.7839679 44.5370091, 10.7844486 44.5369208, 10.784771 44.5368659, 10.784957 44.5368417, 10.7852763 44.5367896)",,1,50,
"[193671921, 193698597]",Viale Legnago,residential,False,False,58.663,"LINESTRING (10.7776322 44.5423519, 10.7776665 44.5424242, 10.7776993 44.5424933, 10.7777679 44.5426376, 10.7778696 44.5428516)",,,,
40169440,Viale Giacomo Matteotti,unclassified,False,True,64.969,"LINESTRING (10.789024 44.5438015, 10.788778 44.5433041, 10.7887301 44.5432586)",,,,
40274557,Viale Giacomo Matteotti,unclassified,False,False,38.547,"LINESTRING (10.789024 44.5438015, 10.7890531 44.5438588, 10.7891898 44.5441274)",,,,
"[193407792, 193671903]",Via Braida,residential,True,False,105.64800000000001,"LINESTRING (10.789024 44.5438015, 10.7883379 44.5437386, 10.7880223 44.5437096, 10.7877011 44.5436845)",,,,
40274556,Viale Antonio Gramsci,residential,False,False,59.75,"LINESTRING (10.7885602 44.5454491, 10.7885379 44.5454038, 10.7883104 44.5449421)",,,,
40169439,Viale Pascoli,residential,True,False,97.547,"LINESTRING (10.7880395 44.5444396, 10.7891898 44.5441274)",,,,
40274556,Viale Antonio Gramsci,residential,False,True,59.858,"LINESTRING (10.7880395 44.5444396, 10.7883104 44.5449421)",,,,
40274556,Viale Antonio Gramsci,residential,False,False,89.268,"LINESTRING (10.7880395 44.5444396, 10.787672 44.5437374, 10.7876459 44.5436874)",,,,
40274556,Viale Antonio Gramsci,residential,False,True,89.268,"LINESTRING (10.7876459 44.5436874, 10.787672 44.5437374, 10.7880395 44.5444396)",,,,
"[186839452, 186833863]","['Via Braida', 'Via Stazione']",residential,True,False,125.70899999999999,"LINESTRING (10.7876459 44.5436874, 10.7875689 44.5436803, 10.7872891 44.5436543, 10.7871865 44.5436744, 10.7869602 44.5437277, 10.7867808 44.543788, 10.7865021 44.5438881, 10.786414 44.5439279, 10.7863594 44.5439771, 10.7863345 44.5440359, 10.7863016 44.5440977)",,,,
40274557,Viale Giacomo Matteotti,unclassified,False,True,38.547,"LINESTRING (10.7891898 44.5441274, 10.7890531 44.5438588, 10.789024 44.5438015)",,,,
40172125,Viale Saluzzo,residential,False,True,174.639,"LINESTRING (10.7782928 44.5424528, 10.7794198 44.5437413, 10.7794567 44.5437864)",,,,
40172910,Via Monzambano,residential,True,False,67.21,"LINESTRING (10.7794567 44.5437864, 10.7802063 44.5435037)",,,,
40172125,Viale Saluzzo,residential,False,False,174.639,"LINESTRING (10.7794567 44.5437864, 10.7794198 44.5437413, 10.7782928 44.5424528)",,,,
193671912,Via Pia,residential,False,True,32.199,"LINESTRING (10.7811836 44.5435877, 10.781024 44.543854)",,,,
193698592,Via Pia,residential,False,False,7.986,"LINESTRING (10.7811836 44.5435877, 10.7812243 44.543522)",,,,
40173557,Via Peschiera,residential,True,False,69.399,"LINESTRING (10.7804789 44.5447069, 10.7796879 44.5444391)",,,,
186872888,Via Pia,residential,False,True,92.317,"LINESTRING (10.7804789 44.5447069, 10.7801626 44.5452035, 10.7800548 44.545367, 10.7800256 44.5454112, 10.7799926 44.5454613)",,,,
"[193671912, 193671909]",Via Pia,residential,False,False,104.214,"LINESTRING (10.7804789 44.5447069, 10.7806621 44.5444202, 10.781024 44.543854)",,,,
186839450,Via Radici in Monte,residential,False,True,31.081,"LINESTRING (10.7825634 44.5448152, 10.7829088 44.5446828)",,,50,
"[186839450, 193407798]",Via Radici in Monte,residential,False,False,136.37599999999998,"LINESTRING (10.7825634 44.5448152, 10.7825137 44.5448342, 10.7816472 44.5451645, 10.781046 44.5453937)",,,50,
193381339,Viale Marini,residential,True,False,91.624,"LINESTRING (10.7824145 44.5374822, 10.7813627 44.5378241)",,,,
193381340,Viale Marini,residential,False,False,42.777,"LINESTRING (10.7824145 44.5374822, 10.7825801 44.5374316, 10.782916 44.5373402)",,,,
40180159,Via Giuseppe Mazzini,residential,False,False,77.699,"LINESTRING (10.7850659 44.5406847, 10.7856856 44.5405456, 10.7859237 44.5404803, 10.7859951 44.5404627)",,,,
"[193407788, 40243301]",Via Aravecchia,unclassified,False,False,94.75,"LINESTRING (10.7850659 44.5406847, 10.7850474 44.5406509, 10.7849366 44.5403405, 10.7848997 44.540244, 10.7847813 44.5398576)",,,,
"[184765370, 193381330, 40276994]","['Viale 20 Settembre', 'Via Cesare Battisti']",residential,True,False,153.65200000000002,"LINESTRING (10.7850659 44.5406847, 10.7844025 44.5408068, 10.7843282 44.5408231, 10.7842448 44.5408522, 10.7842073 44.5407719, 10.7841755 44.5407132, 10.7841394 44.5406487, 10.7838742 44.5401738, 10.7838532 44.5401327)",8,,,
186900843,Via Pretorio,residential,True,False,147.03,"LINESTRING (10.7847813 44.5398576, 10.7855452 44.5396944, 10.7865448 44.5394481)",,,,
186900849,Via Pretorio,residential,True,False,79.89000000000001,"LINESTRING (10.7847813 44.5398576, 10.7846402 44.5399207, 10.7844418 44.5399776, 10.7839329 44.5401114, 10.7839219 44.540115, 10.7839109 44.5401178, 10.7838532 44.5401327)",,,,
"[193407788, 40243301]",Via Aravecchia,unclassified,False,True,94.75000000000001,"LINESTRING (10.7847813 44.5398576, 10.7848997 44.540244, 10.7849366 44.5403405, 10.7850474 44.5406509, 10.7850659 44.5406847)",,,,
40177907,Via Giuseppe Mazzini,tertiary,False,False,42.712,"LINESTRING (10.7876308 44.5398807, 10.7876849 44.5398497, 10.7878385 44.5397795, 10.7880213 44.5396951, 10.7880797 44.5396686)",,2,50,
"[186839440, 193407794, 40180093]",Via Fossetta,residential,True,False,264.01700000000005,"LINESTRING (10.7876308 44.5398807, 10.7875903 44.5399268, 10.7875956 44.5399823, 10.7876106 44.5400085, 10.7880051 44.5407491, 10.7880646 44.540879, 10.7881145 44.5409704, 10.7881989 44.5411246, 10.7883568 44.5413576, 10.7885257 44.5414766, 10.7887911 44.5416681, 10.7891925 44.5418634)",,1,50,
40180094,Viale Gregorio Agnini,residential,True,False,87.582,"LINESTRING (10.7891925 44.5418634, 10.7888207 44.5419607, 10.7882027 44.5421225, 10.7881554 44.5421354)",,,,
40276991,Viale Gregorio Agnini,residential,True,False,97.404,"LINESTRING (10.7881554 44.5421354, 10.7870039 44.5424416)",,,,
"[193984496, 193381343]",Viale Giacomo Matteotti,residential,True,False,161.357,"LINESTRING (10.7881554 44.5421354, 10.7879225 44.5416629, 10.7876125 44.541073, 10.7875732 44.5409838, 10.7874971 44.5408273, 10.7874699 44.5407692)",,,50,
40180096,Via Repubblica,residential,True,False,196.851,"LINESTRING (10.7877192 44.5392082, 10.7876405 44.5390323, 10.787635 44.5388806, 10.7876727 44.5384793, 10.7876299 44.537997, 10.787602 44.5377353, 10.7876865 44.5374557)",,,50,
186900842,Via Pretorio,residential,True,False,96.82600000000001,"LINESTRING (10.7877192 44.5392082, 10.7876414 44.5392241, 10.7865448 44.5394481)",,,,
40180096,Via Repubblica,residential,True,False,58.628,"LINESTRING (10.7880797 44.5396686, 10.7877192 44.5392082)",,,50,
40177907,Via Giuseppe Mazzini,tertiary,False,True,42.712,"LINESTRING (10.7880797 44.5396686, 10.7880213 44.5396951, 10.7878385 44.5397795, 10.7876849 44.5398497, 10.7876308 44.5398807)",,2,50,
