osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,width,junction,tunnel
81231702,Viale Serafino dell'Uomo,tertiary,50,False,False,79.493,"LINESTRING (8.9145248 45.3953088, 8.9144349 45.3960209)",,,,,
212499824,Via Donatori di Sangue,tertiary,50,False,True,13.195,"LINESTRING (8.9145248 45.3953088, 8.9145697 45.3951944)",,,,,
"[81231719, 46603631]","['Piazza Barbara Cazzamini Mussi', 'Via Nazario Sauro']",unclassified,,False,False,46.257999999999996,"LINESTRING (8.9145248 45.3953088, 8.9144621 45.3952997, 8.9142299 45.395266, 8.9139717 45.3951713)",,,,,
33179213,Via fratelli Cairoli,residential,,True,False,24.879,"LINESTRING (8.9187252 45.3958102, 8.9187776 45.3955895)",,,,,
30116334,Viale Carlo Cattaneo,tertiary,,False,False,129.043,"LINESTRING (8.9187252 45.3958102, 8.9179699 45.3957248, 8.9172822 45.3956204, 8.9171775 45.3955956, 8.9171078 45.3955791)",,,,,
30116334,Viale Carlo Cattaneo,tertiary,,False,True,67.726,"LINESTRING (8.9187252 45.3958102, 8.9189413 45.3958304, 8.9191985 45.3958595, 8.9194133 45.3958726, 8.9195859 45.3958831)",,,,,
48253871,Via Gaetano Donizetti,residential,,False,True,67.569,"LINESTRING (8.9219068 45.4005098, 8.9211488 45.4004435, 8.921048 45.4004347)",,,,,
48253871,Via Gaetano Donizetti,residential,,False,False,107.18,"LINESTRING (8.9196847 45.4003222, 8.9203008 45.400373, 8.9205486 45.4003897, 8.921048 45.4004347)",,,,,
212499854,Viale Felice Cavallotti,tertiary,,False,False,46.370999999999995,"LINESTRING (8.9196847 45.4003222, 8.9196816 45.4005249, 8.9196719 45.4007391)",,,,,
212499854,Viale Felice Cavallotti,tertiary,,False,True,185.30700000000002,"LINESTRING (8.9196847 45.4003222, 8.9197158 45.3999408, 8.9197697 45.399706, 8.9199188 45.3992444, 8.9199715 45.3990412, 8.9199989 45.3989448, 8.9200259 45.3987228, 8.9200316 45.3986773)",,,,,
33178751,Via Albania,residential,,False,False,106.338,"LINESTRING (8.9210422 45.403069, 8.9196806 45.4030939)",,,,,
83510474,Via Pontida,residential,,False,True,72.022,"LINESTRING (8.9210422 45.403069, 8.9210381 45.4024213)",,,,,
33178751,Via Albania,residential,,False,False,103.958,"LINESTRING (8.9196806 45.4030939, 8.9183501 45.4031313)",,,,,
33178751,Via Albania,residential,,False,True,106.338,"LINESTRING (8.9196806 45.4030939, 8.9210422 45.403069)",,,,,
33179331,Via Luigi Cadorna,unclassified,,False,False,72.626,"LINESTRING (8.9196806 45.4030939, 8.9196698 45.4024408)",,,,,
33178751,Via Albania,residential,,False,True,103.958,"LINESTRING (8.9183501 45.4031313, 8.9196806 45.4030939)",,,,,
33179317,Via Enrico Toti,unclassified,,False,True,79.723,"LINESTRING (8.9183501 45.4031313, 8.9176676 45.402598)",,,,,
33178791,Via Ventiquattro Maggio,residential,,True,False,171.414,"LINESTRING (8.9174758 45.4024603, 8.9176592 45.4024739, 8.9196698 45.4024408)",,,,,
33179304,Via Curioni,unclassified,,True,False,176.718,"LINESTRING (8.9174758 45.4024603, 8.91735 45.4024899, 8.9172563 45.4024894, 8.9171229 45.4024888, 8.9168475 45.4024615, 8.9163896 45.4023943, 8.9159785 45.4023174, 8.915615 45.4022173, 8.9153095 45.4021095)",,,,,
33179317,Via Enrico Toti,unclassified,,False,False,21.448999999999998,"LINESTRING (8.9174758 45.4024603, 8.9175487 45.4025054, 8.9176676 45.402598)",,,,,
33179303,Corso San Pietro,unclassified,,True,False,81.46900000000001,"LINESTRING (8.9153095 45.4021095, 8.915032 45.4022588, 8.9146825 45.4024594, 8.9146281 45.4025105, 8.9146058 45.4025618, 8.9146126 45.4026144)",,,,,
38831392,Via Magenta,residential,,True,False,132.683,"LINESTRING (8.9146126 45.4026144, 8.9129401 45.4024026)",,,,,
