osmid,oneway,lanes,name,highway,reversed,length,maxspeed,access,geometry,junction,width,tunnel
198530824,True,2,Piazza Dante,tertiary,False,19.638,,,"LINESTRING (11.1196255 46.0707934, 11.1196665 46.0706191)",,,
23762833,True,1,Via Galileo Galilei,residential,False,69.111,50,destination,"LINESTRING (11.1257547 46.0678665, 11.1253579 46.0682312, 11.1252392 46.0683737)",,,
"[122602438, 24443814]",True,1,"['Via Galileo Galilei', 'Via Roggia Grande']",residential,False,186.457,50,destination,"LINESTRING (11.1257547 46.0678665, 11.1255912 46.0679001, 11.1252002 46.0680639, 11.1250287 46.0681112, 11.1249009 46.0681074, 11.1248247 46.068084, 11.1248035 46.0680508, 11.1247463 46.0677545, 11.1247412 46.0677283, 11.1246853 46.0676346, 11.1246271 46.0675877, 11.1246062 46.0675754, 11.1243006 46.0673954, 11.1241899 46.0673597, 11.1241477 46.0673613, 11.1241032 46.0673609)",,,
22986312,True,1,Via Galileo Galilei,residential,False,25.072,50,destination,"LINESTRING (11.1266008 46.0674662, 11.1264331 46.0675156, 11.1263186 46.0675748)",,,
974959832,True,2,Largo Porta Nuova,secondary,False,30.751000000000005,50,,"LINESTRING (11.1266008 46.0674662, 11.1265476 46.0674573, 11.1265012 46.0674371, 11.1264664 46.0674078, 11.126447 46.0673723, 11.1264337 46.0673266, 11.1264299 46.0672857, 11.1264493 46.0672512)",roundabout,,
1194335834,False,2,Via Torre Vanga,tertiary,False,3.322,50,,"LINESTRING (11.119741 46.0700859, 11.1197838 46.0700892)",,,
"[689152193, 24917678]",True,1,Via Andrea Pozzo,residential,False,63.43000000000001,,destination,"LINESTRING (11.119741 46.0700859, 11.1197557 46.0700021, 11.1198297 46.0697429, 11.1198626 46.0695223)",,,
24479576,False,3,Piazza Venezia,secondary,False,29.615000000000002,50,,"LINESTRING (11.1267076 46.0674413, 11.1267561 46.0675275, 11.1268438 46.0676903)",,,
974959832,True,2,Largo Porta Nuova,secondary,False,8.904,50,,"LINESTRING (11.1267076 46.0674413, 11.1266585 46.0674619, 11.1266008 46.0674662)",roundabout,,
24917615,True,,Via Roma,residential,False,102.822,,destination,"LINESTRING (11.1211746 46.0696847, 11.1203314 46.069583, 11.1201355 46.0695607, 11.1200418 46.0695473, 11.1199705 46.0695374, 11.1198626 46.0695223)",,,
74502611,True,1,Via Giannantonio Manci,residential,False,40.510999999999996,,destination,"LINESTRING (11.1211746 46.0696847, 11.1215085 46.0697163, 11.1216327 46.0697287, 11.1216947 46.069735)",,,
"[308178202, 23795382]",False,2,"['Via dei Ventuno', 'Via cardinale Bernardo Clesio']",secondary,True,108.65100000000001,50,,"LINESTRING (11.1267956 46.0705348, 11.1270612 46.0702467, 11.1272344 46.0700646, 11.1273093 46.069982, 11.1273286 46.0699211, 11.127316 46.0698058, 11.1272847 46.0696661)",,,
23751867,True,1,Via Calepina,residential,False,80.463,,destination,"LINESTRING (11.1222948 46.066779, 11.1230497 46.066883, 11.1233181 46.0669188)",,,
974959832,True,2,Largo Porta Nuova,secondary,False,5.879,50,,"LINESTRING (11.1264493 46.0672512, 11.1264726 46.0672336, 11.1265061 46.0672163)",roundabout,,
23751933,True,1,Via Mantova,residential,False,37.328,50,destination,"LINESTRING (11.1241032 46.0673609, 11.1241841 46.0671042, 11.1242105 46.0670336)",,,
"[23763851, 23762228, 223027651]",True,1,"['Piazza delle Erbe', 'Via Carlo Dordi']",residential,False,149.70999999999998,,destination,"LINESTRING (11.1241032 46.0673609, 11.1240327 46.0673555, 11.1236253 46.0673181, 11.1233255 46.0673043, 11.1232564 46.0673011, 11.1231917 46.0672986, 11.1228166 46.0672834, 11.1221685 46.0672696)",,,
23762032,True,1,Via Calepina,residential,False,72.74900000000001,50,destination,"LINESTRING (11.1242105 46.0670336, 11.1244589 46.0670609, 11.1249314 46.0671305, 11.1251198 46.067154, 11.1251368 46.0671546)",,,
"[23951201, 23951199]",True,1,"['Via Mantova', 'Largo Giosuè Carducci']",residential,False,135.24200000000002,,destination,"LINESTRING (11.1242292 46.0683766, 11.1239478 46.0683541, 11.1239053 46.068325, 11.1238873 46.0682835, 11.1239142 46.0681306, 11.1239475 46.0679957, 11.1240295 46.0676992, 11.1241032 46.0673609)",,,
"[24095640, 239979891]",True,1,Via San Pietro,residential,False,188.613,,destination,"LINESTRING (11.1242292 46.0683766, 11.1242244 46.068644, 11.1242719 46.0689035, 11.1243857 46.0691904, 11.1244173 46.0693006, 11.1244398 46.0693789, 11.1244544 46.0694623, 11.1244652 46.0695617, 11.1243942 46.070053)",,5.2,
"[260532241, 23763110]",True,3,"['Largo Luigi Pigarelli', 'Via Francesco Barbacovi']",secondary,False,299.631,50,,"LINESTRING (11.1260053 46.0663393, 11.1259253 46.0661938, 11.1258313 46.0660226, 11.1257955 46.0659575, 11.1256845 46.0657555, 11.1255803 46.065566, 11.1256947 46.0655362, 11.1280954 46.0649023)",,,
24755681,False,4,Via San Francesco d'Assisi,secondary,True,104.893,50,,"LINESTRING (11.1260053 46.0663393, 11.1263252 46.0668961, 11.1264511 46.0671189, 11.1265061 46.0672163)",,,
24755378,True,2,Largo Porta Nuova,secondary,False,32.73,50,,"LINESTRING (11.1265061 46.0672163, 11.1265556 46.0672087, 11.1266024 46.0672105, 11.1266409 46.0672207, 11.126671 46.0672372, 11.1267082 46.0672723, 11.1267259 46.0672979, 11.1267388 46.0673213, 11.1267443 46.0673583, 11.1267398 46.0673954)",roundabout,,
24755681,False,4,Via San Francesco d'Assisi,secondary,False,104.893,50,,"LINESTRING (11.1265061 46.0672163, 11.1264511 46.0671189, 11.1263252 46.0668961, 11.1260053 46.0663393)",,,
