osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,junction,lanes,width,access,bridge,tunnel
183739567,True,Via Ferdinando d'Aragona,residential,False,38.61,"LINESTRING (16.2839389 41.3180121, 16.2843102 41.317988, 16.2843995 41.3179822)",,,,,,,,
44535989,True,Via Trani,secondary,False,16.697000000000003,"LINESTRING (16.2921354 41.3179407, 16.2921838 41.31795, 16.2922276 41.3179681, 16.2922639 41.3179939, 16.2922905 41.3180257)",SS16,30,roundabout,,,,,
44535989,True,Via Trani,secondary,False,29.421999999999997,"LINESTRING (16.2922905 41.3180257, 16.2923057 41.3180617, 16.2923082 41.3180995, 16.2922981 41.3181365, 16.2922758 41.3181704, 16.2922428 41.318199, 16.2922013 41.3182204, 16.292154 41.3182332)",SS16,30,roundabout,,,,,
31097527,True,Via Cavour,secondary,False,86.47300000000001,"LINESTRING (16.2887861 41.3189362, 16.2885397 41.3189948, 16.2882186 41.3190769, 16.2878984 41.3191452, 16.2877973 41.3191663)",,30,,1,7,,,
"[1167550592, 407428915]",True,Piazza 13 febbraio 1503,secondary,False,20.450000000000003,"LINESTRING (16.2887861 41.3189362, 16.2887458 41.3189282, 16.2887011 41.3189101, 16.2886641 41.318884, 16.2886372 41.3188516, 16.2886224 41.3188151)",SS16,30,roundabout,,,,,
1167550592,True,Piazza 13 febbraio 1503,secondary,False,8.082,"LINESTRING (16.2886224 41.3188151, 16.2886203 41.3187788, 16.2886301 41.3187432)",SS16,30,roundabout,,,,,
407428915,True,Piazza 13 febbraio 1503,secondary,False,6.757,"LINESTRING (16.2889127 41.3186628, 16.2889456 41.3186805, 16.2889729 41.3187029)",SS16,30,roundabout,,,,,
407428915,True,Piazza 13 febbraio 1503,secondary,False,9.876999999999999,"LINESTRING (16.2889666 41.3188845, 16.2889385 41.3189053, 16.2889055 41.3189214, 16.2888688 41.3189323)",SS16,30,roundabout,,,,,
391157865,True,Viale Ferdinando Cafiero,secondary,False,70.961,"LINESTRING (16.2900462 41.3205712, 16.2898422 41.3199517)",,,,,,,,
45344564,False,Viale Ferdinando Cafiero,secondary,True,476.24199999999996,"LINESTRING (16.2900462 41.3205712, 16.2900252 41.3208627, 16.2899695 41.3210779, 16.2899258 41.3211748, 16.2898653 41.3213091, 16.289745 41.3215378, 16.2896543 41.3216698, 16.2894498 41.3218853, 16.2891335 41.322131, 16.2889199 41.3222622, 16.2885623 41.3224158, 16.2877007 41.3226839, 16.2874463 41.322763, 16.2870779 41.3228705, 16.2861511 41.3231626, 16.2860882 41.3231829)",,,,2,,,,
73266738,False,Lungomare Pietro Paolo Mennea,secondary,False,228.062,"LINESTRING (16.28374 41.3237585, 16.2831134 41.3235847, 16.2823719 41.3233936, 16.2818148 41.32325, 16.2816996 41.3232308, 16.2811387 41.3231461)",,30,,2,10.2,,,
1021074601,True,Viale Ferdinando Cafiero,secondary,False,35.789,"LINESTRING (16.28374 41.3237585, 16.2838804 41.3237537, 16.2840364 41.3237427, 16.28413 41.3237388, 16.2841657 41.3237299)",,,,,,,,
31239571,True,Viale Ferdinando Cafiero,secondary,False,58.447,"LINESTRING (16.2843158 41.3236911, 16.284847 41.3235381, 16.2848683 41.3235319, 16.2849692 41.3235027)",,,,,,,,
