osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,access,tunnel
27245395,True,Via Giacomo Matteotti,residential,False,52.16,"LINESTRING (17.0873235 41.058911, 17.0868447 41.0586115)",,,,
30194572,True,Corso Regina Margherita,residential,False,15.971,"LINESTRING (17.0873235 41.058911, 17.0871898 41.0590133)",,,,
27245375,True,Via Carlo Alberto,residential,False,80.174,"LINESTRING (17.0880741 41.0584643, 17.0873235 41.058911)",,,,
154202017,True,Piazza degli Eroi,residential,False,84.93,"LINESTRING (17.0882678 41.0584879, 17.0882246 41.059251)",,,,
154202012,True,Via Silvio Spaventa,residential,False,17.323,"LINESTRING (17.0882678 41.0584879, 17.0882082 41.0584988, 17.0881507 41.0584965, 17.0880741 41.0584643)",,,,
198744246,False,Via Madonna di Loreto,residential,True,8.913,"LINESTRING (17.0960663 41.0585563, 17.0959765 41.0585134)",,,,
129662530,False,Viale Unità D'Italia,tertiary,False,91.939,"LINESTRING (17.0960663 41.0585563, 17.0961541 41.0583987, 17.0962836 41.0582696, 17.0964422 41.0581578, 17.0967675 41.0579366)",2,,,
177274188,False,Via Lungara Porto,tertiary,True,61.708000000000006,"LINESTRING (17.0960663 41.0585563, 17.0960528 41.0586295, 17.0960384 41.058728, 17.0960112 41.0589265, 17.0959253 41.059097)",2,,,
28839795,False,Lungomare Dalmazia,tertiary,False,35.848,"LINESTRING (17.0874461 41.0639313, 17.0878474 41.06382)",2,,,
30191716,False,Via Piero Delfino Pesce,tertiary,True,115.337,"LINESTRING (17.0874461 41.0639313, 17.0867711 41.0641376, 17.0861443 41.0642596)",2,,,
"[30195067, 738892342]",True,Via Michelangelo Buonarroti,residential,False,69.625,"LINESTRING (17.0874461 41.0639313, 17.0874087 41.0638753, 17.0870722 41.0633722)",,,,
177274188,False,Via Lungara Porto,tertiary,False,61.708,"LINESTRING (17.0959253 41.059097, 17.0960112 41.0589265, 17.0960384 41.058728, 17.0960528 41.0586295, 17.0960663 41.0585563)",2,,,
