osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,junction
413178614,unclassified,False,False,14.001,"LINESTRING (9.1375889 45.5332382, 9.1376985 45.5333125, 9.1377193 45.5333203, 9.1377225 45.5333215)",,,,
456356136,residential,True,False,112.645,"LINESTRING (9.1375889 45.5332382, 9.1374603 45.5332972, 9.1370522 45.5334842, 9.1363817 45.533796)",2,Via Bollate,30,
60912068,unclassified,False,False,135.692,"LINESTRING (9.1430589 45.5344893, 9.1427179 45.5344566, 9.1423924 45.5344198, 9.142126 45.5343832, 9.1419595 45.5343589, 9.1416477 45.5343026, 9.1415462 45.534278, 9.1414727 45.5342563, 9.1414239 45.5342393, 9.1413961 45.5342251, 9.1413758 45.534211)",2,Via Balossa,30,
60912068,unclassified,False,True,46.403000000000006,"LINESTRING (9.1430589 45.5344893, 9.1430776 45.5344916, 9.1434935 45.5345424, 9.1436462 45.5345593)",2,Via Balossa,30,
612784497,unclassified,False,True,17.117,"LINESTRING (9.1416043 45.5333384, 9.1417414 45.5332181)",,Via Cascina del Sole,,
23729882,residential,True,False,128.65400000000002,"LINESTRING (9.1416043 45.5333384, 9.1415245 45.5333072, 9.1414763 45.5332955, 9.1414018 45.5332903, 9.141323 45.5332898, 9.1412039 45.5332932, 9.1410099 45.533302, 9.140554 45.5333315, 9.1404121 45.53333, 9.1402813 45.5333196, 9.1401777 45.5332978, 9.1401172 45.5332771, 9.1399985 45.5332319)",,Via Roma,30,
"[113083042, 60912068]",unclassified,False,True,99.327,"LINESTRING (9.1416043 45.5333384, 9.1415404 45.5335424, 9.1414661 45.5337863, 9.14136 45.5341302, 9.1413587 45.5341614, 9.1413621 45.5341919, 9.1413758 45.534211)",2,"['Via Balossa', 'Via Cascina del Sole']",30,
113083052,residential,True,False,141.47,"LINESTRING (9.1386136 45.5327456, 9.1387076 45.5326931, 9.1391678 45.5324482, 9.1393456 45.5323576, 9.139374 45.5323401, 9.1394019 45.5323194, 9.1394226 45.532298, 9.1394387 45.5322752, 9.139458 45.5322471, 9.1396534 45.5318366, 9.1396716 45.5317974, 9.1396746 45.5317797)",,Via Giuseppe Garibaldi,30,
456356137,residential,True,False,49.099000000000004,"LINESTRING (9.1386136 45.5327456, 9.1385051 45.5328031, 9.1380985 45.533)",,Via Giuseppe Garibaldi,,
60912068,unclassified,False,True,58.239,"LINESTRING (9.1436462 45.5345593, 9.1443907 45.5346078)",2,Via Balossa,30,
60912068,unclassified,False,False,46.403000000000006,"LINESTRING (9.1436462 45.5345593, 9.1434935 45.5345424, 9.1430776 45.5344916, 9.1430589 45.5344893)",2,Via Balossa,30,
464062390,residential,False,True,299.86899999999997,"LINESTRING (9.1436462 45.5345593, 9.1436386 45.5345996, 9.1436354 45.5346193, 9.1436159 45.5347558, 9.143876 45.5347799, 9.1440477 45.5347989, 9.1441101 45.5348092, 9.1441822 45.5348297, 9.144232 45.5348526, 9.1442749 45.5348838, 9.1442915 45.5349038, 9.144297 45.5349247, 9.1442873 45.5352176, 9.1442832 45.5352518, 9.1442737 45.535272, 9.1442597 45.5352876, 9.1442352 45.5353018, 9.1441994 45.5353121, 9.1440362 45.5353322, 9.1438776 45.5353464, 9.143708 45.5353542, 9.1434708 45.5353552, 9.1427023 45.5353389, 9.1426793 45.5353411, 9.1426532 45.5353479, 9.1426357 45.5353592, 9.1426227 45.535384, 9.1425535 45.5357075, 9.1425388 45.5357558, 9.1425155 45.5357936)",,Via Fratelli Cairoli,,
612784497,unclassified,False,False,17.117,"LINESTRING (9.1417414 45.5332181, 9.1416043 45.5333384)",,Via Cascina del Sole,,
23729893,residential,True,False,44.45,"LINESTRING (9.1417414 45.5332181, 9.1419433 45.5332322, 9.1423065 45.5332727)",1,Via Vignone,,
456356137,residential,True,False,47.721000000000004,"LINESTRING (9.1380985 45.533, 9.1377213 45.5331774, 9.1376855 45.5331938, 9.1376402 45.5332146, 9.1375889 45.5332382)",,Via Giuseppe Garibaldi,,
"[821253368, 28881698]",residential,True,False,135.83599999999998,"LINESTRING (9.1380985 45.533, 9.1380755 45.5329618, 9.1380252 45.5327514, 9.1378981 45.5322198, 9.1378891 45.5322088, 9.1378717 45.5321999, 9.1378333 45.5321938, 9.1377473 45.5321888, 9.1376527 45.5321877, 9.1373699 45.5322232, 9.1373604 45.5322245, 9.1373076 45.5322317)",,Via Clemente Bonfanti,,
60011647,residential,True,False,76.024,"LINESTRING (9.1396746 45.5317797, 9.1403401 45.5316801, 9.1404489 45.531658, 9.14053 45.5316388, 9.140621 45.5316161)",,Via della Repubblica,30,
"[595928665, 595928666, 28047005]",tertiary,False,False,189.65900000000002,"LINESTRING (9.1465103 45.5329032, 9.1465021 45.5329352, 9.146485 45.5330017, 9.1464635 45.5330856, 9.1463997 45.5333392, 9.1463771 45.5334369, 9.1463395 45.5335927, 9.1462221 45.5340464, 9.1461014 45.534502, 9.1460865 45.5345562, 9.1460794 45.5345819)",2,Via Giacomo Brodolini,,
640354415,tertiary,True,False,19.255,"LINESTRING (9.1465103 45.5329032, 9.1464724 45.5328918, 9.1464397 45.5328743, 9.146414 45.5328517, 9.1463969 45.5328255, 9.1463894 45.5327971, 9.146392 45.5327683)",1,,50,roundabout
