osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,access,maxspeed,junction,tunnel
79670719,Via Bortolo Lupati,residential,False,False,79.776,"LINESTRING (12.062539 45.0576045, 12.0616053 45.0573222)",,,,,,
79704218,Via Pignara,residential,False,False,32.035,"LINESTRING (12.0536782 45.0576018, 12.0537162 45.0575523, 12.0537846 45.0574785, 12.0539223 45.0573729)",,,,,,
398415955,Via Alessandro Manzoni,residential,True,False,22.516,"LINESTRING (12.0570924 45.0562838, 12.0568094 45.0562516)",,,,,,
79704397,Via Buzzolla,residential,False,False,94.201,"LINESTRING (12.0570924 45.0562838, 12.0570309 45.0564642, 12.0569886 45.0566242, 12.0569652 45.0569121, 12.0569399 45.0570295, 12.0569158 45.0570891, 12.056897 45.0571157)",,,,,,
"[138955160, 127947794]","['Via Nova', 'Via Buzzolla']","['residential', 'unclassified']",True,False,98.88099999999999,"LINESTRING (12.0580421 45.0561517, 12.0575953 45.0561013, 12.0571956 45.0560183, 12.0570924 45.0562838)",,,,,,
127947794,Via Nova,residential,True,False,55.652,"LINESTRING (12.0587453 45.0562128, 12.0580421 45.0561517)",,,,,,
127947801,Via Arzeron,residential,False,True,3.855,"LINESTRING (12.0587453 45.0562128, 12.0587905 45.0562263)",,,,,,
398415956,Via Arzeron,unclassified,False,False,55.36,"LINESTRING (12.0587453 45.0562128, 12.0587515 45.0561642, 12.0587904 45.0558547, 12.0588029 45.0557559, 12.0588078 45.0557169)",,,,,,
127947792,Riviera Campanina,residential,False,True,139.972,"LINESTRING (12.0588078 45.0557169, 12.0593229 45.0557946, 12.0598474 45.0558896, 12.0605495 45.0559804)",,,,,,
127947803,Riviera Matteotti,unclassified,False,False,59.408,"LINESTRING (12.0588078 45.0557169, 12.0585829 45.0556812, 12.0581765 45.0556409, 12.0580622 45.0556296)",,,,,,
398415956,Via Arzeron,unclassified,False,True,55.36,"LINESTRING (12.0588078 45.0557169, 12.0588029 45.0557559, 12.0587904 45.0558547, 12.0587515 45.0561642, 12.0587453 45.0562128)",,,,,,
79703685,Riviera Cengiaretto,tertiary,False,True,74.242,"LINESTRING (12.0542223 45.0545448, 12.0539443 45.0544911, 12.0533151 45.0543577)",,,,,,
"[127943929, 314172660, 314172661]",Via Giacomo Badini,tertiary,False,False,52.494,"LINESTRING (12.0542223 45.0545448, 12.0542381 45.0545055, 12.0543671 45.0541852, 12.054406 45.0540909)",2,yes,,,,
127943955,Via San Pietro,residential,True,False,81.596,"LINESTRING (12.0542223 45.0545448, 12.0540779 45.0548776, 12.0539179 45.0552464)",,,destination,,,
398413296,Riviera Roma,unclassified,False,True,28.894,"LINESTRING (12.0542223 45.0545448, 12.0543385 45.0546002, 12.0544662 45.0546659, 12.0545195 45.0546976)",,,,,,
127947812,Via Brollo,residential,True,False,60.190999999999995,"LINESTRING (12.0566761 45.0517167, 12.0562201 45.051496, 12.0560415 45.0514134)",,,,,,
148377902,Via de Ronconi,residential,False,True,93.013,"LINESTRING (12.0566761 45.0517167, 12.056555 45.0518956, 12.0564944 45.0522043, 12.0564315 45.0524395, 12.0564035 45.0525244)",,,destination,30,,
127947808,Via Felice Cavallotti,unclassified,False,False,99.169,"LINESTRING (12.0573576 45.0514733, 12.0585762 45.0517062)",,,,,,
"[127947812, 127947813]","['Via Brollo', 'Corso Vittorio Emanuele II']",residential,True,False,96.584,"LINESTRING (12.0573576 45.0514733, 12.0571721 45.0519186, 12.0566761 45.0517167)",,,,,,
127947808,Via Felice Cavallotti,unclassified,False,True,99.169,"LINESTRING (12.0585762 45.0517062, 12.0573576 45.0514733)",,,,,,
127947786,Via Francesco Bocchi,unclassified,False,False,21.183,"LINESTRING (12.0585762 45.0517062, 12.0586178 45.0516422, 12.0586809 45.0515307)",,,,,,
