osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,bridge,junction,est_width
61982478,True,1,SR66,Via Cancellieri,primary,50,False,61.221,"LINESTRING (11.0558377 43.8162458, 11.0553072 43.8165343, 11.0552911 43.8165458, 11.0552303 43.8165788)",,,,
1152402156,True,2,SR66,Via Cancellieri,residential,50,False,12.808,"LINESTRING (11.0582952 43.8154855, 11.0581512 43.8155352)",,,,
23757932,True,,SR66,Via Vittorio Emanuele,primary,,False,23.993,"LINESTRING (11.0582952 43.8154855, 11.0583436 43.8154685, 11.0585641 43.8153911)",,,,
54445251,False,,,Via Alfonso Lamarmora,residential,,False,124.378,"LINESTRING (11.055117 43.8117265, 11.0566502 43.8118911)",,,,
175300626,False,,,Via Risorgimento,secondary,,True,95.541,"LINESTRING (11.055117 43.8117265, 11.0549202 43.8125739)",,,,
27035724,False,2,,Viale Giacomo Matteotti,primary,50,False,91.464,"LINESTRING (11.0507941 43.8180973, 11.0504244 43.8173192)",6,,,
8079859,True,,,Viale Giacomo Matteotti,unclassified,50,False,96.27000000000001,"LINESTRING (11.0507941 43.8180973, 11.0508621 43.818193, 11.0508908 43.8182472, 11.0510096 43.8184716, 11.0510753 43.818552, 11.0511437 43.8186197, 11.0512295 43.8186797, 11.0512728 43.8187028, 11.0513514 43.8187449, 11.0514558 43.8187888)",,,,
8079865,True,,,Viale Giacomo Matteotti,primary,50,False,32.45,"LINESTRING (11.0499261 43.8165631, 11.0500072 43.8167227, 11.0500478 43.8167859, 11.0500832 43.8168314)",,,,
175300612,False,2,,Viale Giacomo Matteotti,primary,50,False,116.402,"LINESTRING (11.0499261 43.8165631, 11.0496199 43.8157649, 11.0495391 43.8155542)",6,,,
8368461,True,2,,Via Granaio,primary,50,False,20.358999999999998,"LINESTRING (11.0494343 43.8150507, 11.0494834 43.8150199, 11.0495371 43.8150015, 11.0496662 43.8149973)",,,,
54445256,True,,,Via Granaio,residential,,False,64.25,"LINESTRING (11.0507032 43.8148965, 11.0508697 43.8149367, 11.0514555 43.8150943)",,,,
