osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel,ref
27213458,True,Piazza della Repubblica,residential,False,67.602,"LINESTRING (16.4202776 41.2755334, 16.4206658 41.2759168, 16.4207648 41.2760187)",,,
25993016,False,Corso Vittorio Emanuele,tertiary,False,63.549,"LINESTRING (16.4184123 41.2759248, 16.4178316 41.2762938)",,,
27213459,True,Via Pietro Badoglio,residential,False,29.743,"LINESTRING (16.4184123 41.2759248, 16.4186012 41.2761515)",,,
25993016,False,Corso Vittorio Emanuele,tertiary,True,61.834,"LINESTRING (16.4184123 41.2759248, 16.418774 41.2757, 16.4189789 41.2755672)",,,
27213457,False,Via Giovanni Bovio,residential,True,61.009,"LINESTRING (16.4186012 41.2761515, 16.4184627 41.2762488, 16.4180679 41.2765262)",2,,
27213460,True,Via Giovanni Bovio,residential,False,65.001,"LINESTRING (16.4186012 41.2761515, 16.4191478 41.2757923, 16.4191915 41.2757715)",,,
28601766,True,Via delle Crociate,residential,False,27.462,"LINESTRING (16.4219483 41.2756333, 16.4217463 41.2754385)",,,
28724821,True,Via delle Crociate,residential,False,70.411,"LINESTRING (16.4219483 41.2756333, 16.4213076 41.2757709, 16.4212544 41.2757777, 16.4211339 41.2757932)",,,
25993016,False,Corso Vittorio Emanuele,tertiary,False,69.945,"LINESTRING (16.4207036 41.2744709, 16.4200485 41.2748624)",,,
29186351,True,Via Giuseppe De Robertiis,residential,False,95.22,"LINESTRING (16.4207036 41.2744709, 16.4206769 41.2736148)",,,
25993016,False,Corso Vittorio Emanuele,tertiary,True,84.16,"LINESTRING (16.4207036 41.2744709, 16.4209835 41.2742951, 16.4214719 41.2739816)",,,
25993016,False,Corso Vittorio Emanuele,tertiary,False,31.597,"LINESTRING (16.4197796 41.2750491, 16.4194866 41.2752287)",,,
25993016,False,Corso Vittorio Emanuele,tertiary,True,30.593,"LINESTRING (16.4197796 41.2750491, 16.4200485 41.2748624)",,,
27213458,True,Piazza della Repubblica,residential,False,68.059,"LINESTRING (16.4197796 41.2750491, 16.4202776 41.2755334)",,,
28603080,False,Via Aldo Moro,residential,False,21.878,"LINESTRING (16.4199034 41.2765339, 16.4201071 41.2764103)",,,
"[28603082, 28601767]",True,"['Via Ognissanti', 'Piazza Libertà']","['unclassified', 'residential']",False,111.298,"LINESTRING (16.4199034 41.2765339, 16.4198179 41.2766588, 16.4196106 41.2769779, 16.4195716 41.277043, 16.4193261 41.2774358)",,,
28601768,True,Piazza della Repubblica,residential,False,73.38900000000001,"LINESTRING (16.4217463 41.2754385, 16.4213452 41.2750652, 16.4211946 41.274925)",,,
28603080,False,Via Aldo Moro,residential,True,64.612,"LINESTRING (16.4217463 41.2754385, 16.4216328 41.2755043, 16.4212282 41.2757386, 16.4211339 41.2757932)",,,
28603080,False,Via Aldo Moro,residential,False,37.181,"LINESTRING (16.4207648 41.2760187, 16.4211106 41.2758083)",,,
28603080,False,Via Aldo Moro,residential,True,59.8,"LINESTRING (16.4207648 41.2760187, 16.420588 41.2761172, 16.4202033 41.2763519)",,,
38807751,True,Via Ognissanti,residential,False,38.55299999999999,"LINESTRING (16.4187538 41.2784533, 16.4187853 41.2785051, 16.4187585 41.2786483, 16.4187714 41.2787572, 16.4187492 41.2787889)",,,
38807751,True,Via Ognissanti,residential,False,53.976,"LINESTRING (16.4187492 41.2787889, 16.4186734 41.2789048, 16.4185538 41.2790505, 16.4184162 41.279204)",,,
1058262518,False,Via Nicola Vischi,residential,True,81.228,"LINESTRING (16.4187492 41.2787889, 16.4183629 41.2786552, 16.4181742 41.2785921, 16.4178986 41.2784422)",,,
38807751,True,Via Ognissanti,residential,False,11.504,"LINESTRING (16.4184162 41.279204, 16.4184087 41.2793073)",,,
201763291,False,Via Cambio,residential,False,49.166,"LINESTRING (16.4184162 41.279204, 16.4186607 41.2792307, 16.4186948 41.2792289, 16.4188571 41.279216, 16.419001 41.2792166)",,,
407825057,False,Via Ognissanti,residential,False,5.036,"LINESTRING (16.4184232 41.2794657, 16.418438 41.2795096)",,building_passage,
28724820,True,Via Montebello,residential,False,57.487,"LINESTRING (16.4146289 41.2752267, 16.4150598 41.2756297)",,,
213912622,False,Corso Matteo Renato Imbriani,tertiary,False,53.327,"LINESTRING (16.4146289 41.2752267, 16.4151501 41.27495)",,,
213912622,False,Corso Matteo Renato Imbriani,tertiary,True,247.915,"LINESTRING (16.4146289 41.2752267, 16.4122777 41.2765863)",,,
31951975,True,Piazza Giuseppe Garibaldi,residential,False,39.988,"LINESTRING (16.4159867 41.2764817, 16.4162917 41.2767588)",,,
31951978,True,Via Amedeo,residential,False,53.577,"LINESTRING (16.4159867 41.2764817, 16.4164828 41.2761765)",,,
31951745,False,Via Radeprando Da Trani,residential,False,38.515,"LINESTRING (16.4188506 41.2746657, 16.4191488 41.2749298)",,,
31951978,True,Via Amedeo,residential,False,15.269,"LINESTRING (16.4188506 41.2746657, 16.4189912 41.274578)",,,
546402535,True,Via Santa Maria delle Grazie,residential,False,19.577,"LINESTRING (16.4188506 41.2746657, 16.4186678 41.2745556)",1,,
39827811,False,Via Sant'Angelo,tertiary,False,102.631,"LINESTRING (16.4105761 41.2707311, 16.4105793 41.2708804, 16.4105929 41.2711436, 16.4106145 41.2716536)",,,SP30
39827812,False,,unclassified,False,78.97500000000001,"LINESTRING (16.4105761 41.2707311, 16.4109393 41.2710567, 16.4111477 41.2711899, 16.4112382 41.2712315)",,,
30693651,False,Via Superga,tertiary,False,70.142,"LINESTRING (16.4106145 41.2716536, 16.4112382 41.2712315)",,,
29073943,False,Via Cappuccini,residential,True,376.50699999999995,"LINESTRING (16.4106145 41.2716536, 16.4106072 41.2718823, 16.4106115 41.2722547, 16.4106243 41.2726074, 16.4105995 41.2728554, 16.410584 41.2730365, 16.41055 41.2732452, 16.4105559 41.2734455, 16.4105834 41.2735694, 16.4106368 41.2738326, 16.4107295 41.2740025, 16.4112483 41.2749404)",,,
39827811,False,Via Sant'Angelo,tertiary,True,102.631,"LINESTRING (16.4106145 41.2716536, 16.4105929 41.2711436, 16.4105793 41.2708804, 16.4105761 41.2707311)",,,SP30
213912622,False,Corso Matteo Renato Imbriani,tertiary,True,111.633,"LINESTRING (16.4205202 41.271696, 16.4194804 41.2723262)",,,
27694559,False,Via Sant'Annibale Maria di Francia,secondary,False,98.544,"LINESTRING (16.4205202 41.271696, 16.4204724 41.2710315, 16.4204677 41.2709659, 16.4204642 41.2709167, 16.420461 41.2708748, 16.4204558 41.2708111)",,,
163477201,False,Corso Matteo Renato Imbriani,secondary,False,146.674,"LINESTRING (16.4205202 41.271696, 16.4206271 41.2716413, 16.4207556 41.2716121, 16.4208472 41.2716097, 16.4209696 41.2716085, 16.4210949 41.2716431, 16.4213466 41.2717732, 16.4218658 41.272268)",,,
25993016,False,Corso Vittorio Emanuele,tertiary,False,56.717,"LINESTRING (16.4194866 41.2752287, 16.4189789 41.2755672)",,,
25993016,False,Corso Vittorio Emanuele,tertiary,True,31.597,"LINESTRING (16.4194866 41.2752287, 16.4197796 41.2750491)",,,
31951745,False,Via Radeprando Da Trani,residential,True,43.607,"LINESTRING (16.4194866 41.2752287, 16.4191488 41.2749298)",,,
29229659,False,,unclassified,False,13.069,"LINESTRING (16.4112483 41.2749404, 16.4113767 41.2748733)",,,
