osmid,highway,oneway,reversed,length,geometry,name,lanes,access,maxspeed
161978640,residential,False,True,106.197,"LINESTRING (10.5761271 43.8421413, 10.5760529 43.8417062, 10.5759977 43.8413825, 10.5759654 43.8411934)",,,,
708234779,tertiary,False,False,58.348,"LINESTRING (10.5761271 43.8421413, 10.5757201 43.8421956, 10.5754106 43.842159)",Via Romana,,,
708234779,tertiary,False,True,221.808,"LINESTRING (10.5761271 43.8421413, 10.5767734 43.8420043, 10.5770415 43.8419475, 10.5774489 43.8418611, 10.57748 43.8418545, 10.5778951 43.8417665, 10.5779716 43.8417503, 10.5782296 43.8417178, 10.5785093 43.8416825, 10.5787477 43.8416525, 10.5788029 43.84165)",Via Romana,,,
28814100,unclassified,False,False,210.541,"LINESTRING (10.5734326 43.8420895, 10.5734376 43.8423622, 10.5734392 43.8424502, 10.5734419 43.8425942, 10.5734474 43.8428924, 10.5734474 43.8429247, 10.5734474 43.8429682, 10.5734474 43.8431428, 10.5734474 43.8432129, 10.5734488 43.8433759, 10.5734474 43.8435072, 10.5734186 43.8439824)",Via del Popolo,,,
157451664,tertiary,False,False,171.534,"LINESTRING (10.5734326 43.8420895, 10.5734221 43.8419595, 10.5734042 43.8418776, 10.5733808 43.8417959, 10.573365 43.8417335, 10.5733226 43.8415386, 10.5733121 43.8414906, 10.5732679 43.8412875, 10.5732559 43.8412323, 10.5731338 43.8407301, 10.5731173 43.840653, 10.5730775 43.8405704)",Via Carlo Piaggia,,,
"[708234779, 708234777, 569388707]",tertiary,False,True,160.544,"LINESTRING (10.5734326 43.8420895, 10.573654 43.8420906, 10.5740886 43.8420833, 10.574303 43.842074, 10.5745348 43.842064, 10.5746027 43.8420615, 10.5748985 43.8420538, 10.5752037 43.8420985, 10.5754106 43.842159)",Via Romana,,,
314126709,residential,False,False,105.18,"LINESTRING (10.5754106 43.842159, 10.575506 43.8431024)",,,,
"[708234777, 708234779, 569388707]",tertiary,False,False,160.544,"LINESTRING (10.5754106 43.842159, 10.5752037 43.8420985, 10.5748985 43.8420538, 10.5746027 43.8420615, 10.5745348 43.842064, 10.574303 43.842074, 10.5740886 43.8420833, 10.573654 43.8420906, 10.5734326 43.8420895)",Via Romana,,,
708234779,tertiary,False,True,58.348,"LINESTRING (10.5754106 43.842159, 10.5757201 43.8421956, 10.5761271 43.8421413)",Via Romana,,,
28814100,unclassified,False,True,10.09,"LINESTRING (10.5734261 43.8442176, 10.5734137 43.8441273)",Via del Popolo,,,
129779473,unclassified,False,False,117.452,"LINESTRING (10.5734261 43.8442176, 10.5734932 43.8445253, 10.5735248 43.844672, 10.5736523 43.8452612)",Via Cardinale Alfredo Pacini,,,
129779480,unclassified,True,False,42.961,"LINESTRING (10.5734261 43.8442176, 10.5733094 43.8442418, 10.5732163 43.8442702, 10.5729314 43.844364)",Via del Popolo,,,
129779473,unclassified,False,False,89.015,"LINESTRING (10.5736523 43.8452612, 10.5736631 43.8453086, 10.5736744 43.8453597, 10.5737167 43.845555, 10.573795 43.8458887, 10.5738189 43.8460103, 10.5738297 43.8460514)",Via Cardinale Alfredo Pacini,,,
129779473,unclassified,False,True,117.452,"LINESTRING (10.5736523 43.8452612, 10.5735248 43.844672, 10.5734932 43.8445253, 10.5734261 43.8442176)",Via Cardinale Alfredo Pacini,,,
157575902,residential,False,True,59.204,"LINESTRING (10.5736523 43.8452612, 10.5743475 43.8451827, 10.5743803 43.8451748)",,,,
129779473,unclassified,False,True,89.015,"LINESTRING (10.5738297 43.8460514, 10.5738189 43.8460103, 10.573795 43.8458887, 10.5737167 43.845555, 10.5736744 43.8453597, 10.5736631 43.8453086, 10.5736523 43.8452612)",Via Cardinale Alfredo Pacini,,,
184418989,unclassified,False,False,111.057,"LINESTRING (10.5738297 43.8460514, 10.5737121 43.8460557, 10.5735929 43.8460622, 10.5734616 43.8460694, 10.5733457 43.8460758, 10.5733125 43.8460776, 10.5730901 43.8460906, 10.573045 43.8460932, 10.5729561 43.8460984, 10.5727519 43.8460891, 10.572455 43.8460414)",Via dei Colombini,,,
