osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel,access,junction
175092458,2,SP121,Strada Provinciale Conversano Polignano,secondary,False,False,47.881,"LINESTRING (17.1204559 40.9680688, 17.1199093 40.967946)",,,,
175092458,2,SP121,Strada Provinciale Conversano Polignano,secondary,False,True,17.529,"LINESTRING (17.1204559 40.9680688, 17.1206528 40.9681212)",,,,
172037909,,,Via Virgilio,tertiary,False,True,77.765,"LINESTRING (17.1204559 40.9680688, 17.1206912 40.9677264, 17.1208925 40.9674521)",,,,
172032725,,,,tertiary,False,True,18.224,"LINESTRING (17.120619 40.9644269, 17.1206519 40.9642649)",,,,
171417280,1,,Via Ronchi dei Legionari,unclassified,True,False,51.938,"LINESTRING (17.1118372 40.9697619, 17.1119848 40.9702155)",,,,
171785412,,,Via della Vittoria,tertiary,False,False,26.162,"LINESTRING (17.1118372 40.9697619, 17.1115256 40.9697607)",,,,
171785412,,,Via della Vittoria,tertiary,False,True,26.498,"LINESTRING (17.1118372 40.9697619, 17.1121528 40.9697631)",,,,
171208812,,,Via Monsignore Giuseppe Maria Mucedola,unclassified,True,False,59.108,"LINESTRING (17.1111602 40.9697593, 17.1113546 40.9702702)",,,,
171209195,,,,unclassified,False,True,78.155,"LINESTRING (17.1111602 40.9697593, 17.1102356 40.9696778)",,,,
171785412,,,Via della Vittoria,tertiary,False,True,30.679000000000002,"LINESTRING (17.1111602 40.9697593, 17.1114595 40.9697604, 17.1115256 40.9697607)",,,,
"[1236093434, 1236093435, 38177860]",,,Piazza della Resistenza,tertiary,False,True,39.335,"LINESTRING (17.1111602 40.9697593, 17.1111493 40.9697158, 17.1110855 40.9694726, 17.1110728 40.9694118)",,,,
171208811,,,Via Domenico Cimarosa,unclassified,True,False,53.254,"LINESTRING (17.1117513 40.9711531, 17.1119283 40.971613)",,,,
214484315,,,Via Bari,secondary,False,False,25.274,"LINESTRING (17.1117513 40.9711531, 17.1119919 40.9710165)",,,,
214484315,,,Via Bari,secondary,False,True,60.345,"LINESTRING (17.1117513 40.9711531, 17.1111813 40.9714837)",,,,
173929223,,,Via Antonio Meucci,unclassified,False,False,28.83,"LINESTRING (17.1122729 40.9725322, 17.1126006 40.9724547)",,,,
173929223,,,Via Antonio Meucci,unclassified,False,True,67.028,"LINESTRING (17.1122729 40.9725322, 17.1116276 40.9726847, 17.1115112 40.9727128)",,,,
171415538,,SP50,Via Giuseppe Di Vittorio,tertiary,False,True,86.911,"LINESTRING (17.1126006 40.9724547, 17.1122854 40.9717102)",,,,
173929223,,,Via Antonio Meucci,unclassified,False,False,27.001,"LINESTRING (17.1126006 40.9724547, 17.1129075 40.9723821)",,,,
173929223,,,Via Antonio Meucci,unclassified,False,True,28.83,"LINESTRING (17.1126006 40.9724547, 17.1122729 40.9725322)",,,,
173912542,,,Corso Dante Alighieri,tertiary,False,True,21.877,"LINESTRING (17.1171854 40.9672168, 17.1170601 40.9670443)",,,,
175061099,,,Corso Dante alighieri,tertiary,True,False,28.203000000000003,"LINESTRING (17.1171854 40.9672168, 17.1172384 40.9672791, 17.1172551 40.9673043, 17.1172672 40.9673384, 17.117274 40.9673845, 17.1172795 40.9674541)",,,,
38177862,,,,tertiary,True,False,20.479,"LINESTRING (17.1140553 40.9698688, 17.113845 40.9697755)",,,,
173912537,,,Via dei Paolotti,secondary,False,True,11.443,"LINESTRING (17.1140553 40.9698688, 17.1141678 40.9698107)",,,,
214484315,,,Via Bari,secondary,False,True,70.619,"LINESTRING (17.1140553 40.9698688, 17.1137228 40.9700397, 17.11336 40.9702262)",,,,
129704589,,,Via Domenico di Chito,unclassified,False,False,18.126,"LINESTRING (17.1095365 40.9694627, 17.1094713 40.9696181)",50,,,
1121188601,2,,Via Lago di Sassano,tertiary,False,False,53.021,"LINESTRING (17.1095365 40.9694627, 17.1101676 40.9694455)",50,,,
1121188601,2,,Via Lago di Sassano,tertiary,False,True,26.254,"LINESTRING (17.1095365 40.9694627, 17.1092243 40.969476)",50,,,
79840317,,,Via Stefano Martino,residential,False,True,41.086,"LINESTRING (17.1122542 40.9693361, 17.1123727 40.9689776)",,,,
171207722,,,Via Ventiquattro Maggio,residential,True,False,22.286,"LINESTRING (17.1122542 40.9693361, 17.112357 40.9693295, 17.1125187 40.9693192)",50,,,
38177861,,,Via Giacomo Matteotti,residential,True,False,52.431,"LINESTRING (17.1110728 40.9694118, 17.1112229 40.9689541)",,,,
171207722,,,Via Ventiquattro Maggio,residential,True,False,22.169,"LINESTRING (17.1110728 40.9694118, 17.1113359 40.9693949)",50,,,
708286488,,,Via Lago di Sassano,tertiary,False,True,22.638,"LINESTRING (17.1110728 40.9694118, 17.1108039 40.9694268)",50,,,
"[1236093434, 1236093435, 38177860]",,,Piazza della Resistenza,tertiary,False,False,39.335,"LINESTRING (17.1110728 40.9694118, 17.1110855 40.9694726, 17.1111493 40.9697158, 17.1111602 40.9697593)",,,,
214484315,,,Via Bari,secondary,False,False,60.345,"LINESTRING (17.1111813 40.9714837, 17.1117513 40.9711531)",,,,
214484315,,,Via Bari,secondary,False,True,36.504,"LINESTRING (17.1111813 40.9714837, 17.1108365 40.9716837)",,,,
171414643,,,Via Professor Michele Viterbo,residential,True,False,46.82299999999999,"LINESTRING (17.1111813 40.9714837, 17.1111617 40.9715437, 17.1111859 40.9715893, 17.1113132 40.9718842)",,,,
171999086,,,Vico III Bari,residential,True,False,36.478,"LINESTRING (17.1111813 40.9714837, 17.1111723 40.97145, 17.1110774 40.9711652)",,,,
171431546,,,Via Michelangelo Buonarroti,unclassified,False,False,37.559,"LINESTRING (17.1118848 40.9644071, 17.1119974 40.9640802)",,,,
171431546,,,Via Michelangelo Buonarroti,unclassified,False,True,83.47,"LINESTRING (17.1118848 40.9644071, 17.1116346 40.9651336)",,,,
173267225,,,Via Padre Michele Accolti Gil,unclassified,False,False,38.903,"LINESTRING (17.1118848 40.9644071, 17.1114347 40.9643241)",50,,,
173267225,,,Via Padre Michele Accolti Gil,unclassified,False,True,66.687,"LINESTRING (17.1118848 40.9644071, 17.1126565 40.9645489)",50,,,
43726623,,,Via Giuseppe Vavalle,unclassified,False,False,12.883,"LINESTRING (17.1135371 40.9648224, 17.1135738 40.9647099)",,,,
