osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,tunnel,access
124637415,2,Via San Francesco d'Assisi,tertiary,50,False,True,63.279,"LINESTRING (10.0838421 45.5275919, 10.0846233 45.5277479)",,,,
"[129012843, 33901676]",,Via Trepola,unclassified,,False,False,46.641,"LINESTRING (10.0838421 45.5275919, 10.0838502 45.5276524, 10.0838841 45.5280103)",,,,
113820672,2,Via San Francesco d'Assisi,tertiary,,False,False,65.08699999999999,"LINESTRING (10.0838421 45.5275919, 10.083774 45.5275782, 10.0830828 45.5274501, 10.0830349 45.5274408)",,,,
407591217,2,Via San Francesco d'Assisi,tertiary,,False,False,43.993,"LINESTRING (10.0799527 45.5268438, 10.0798469 45.5268395, 10.0795157 45.5268483, 10.0793886 45.5268535)",,,,
407591217,2,Via San Francesco d'Assisi,tertiary,,False,True,31.656,"LINESTRING (10.0799527 45.5268438, 10.0801651 45.5268753, 10.0803474 45.5269109)",,,,
412158790,2,Via Quattro Novembre,tertiary,50,False,True,60.203,"LINESTRING (10.0808344 45.5196121, 10.0800839 45.519741)",,,,
"[156402625, 412158790]",2,"['Piazzale Primo Maggio', 'Via Quattro Novembre']",tertiary,50,False,False,48.166,"LINESTRING (10.0808344 45.5196121, 10.0812176 45.5195444, 10.0814348 45.5195089)",,,,
478530909,1,Piazzale Primo Maggio,residential,,False,False,11.306000000000001,"LINESTRING (10.0808344 45.5196121, 10.0808601 45.5196696, 10.0808647 45.5197109)",,,,
432959557,1,Via Quattro Novembre,tertiary,,True,False,5.004,"LINESTRING (10.0773163 45.5197363, 10.0773471 45.5197426, 10.0773743 45.5197546)",roundabout,,,
33854876,,Via Romanino,unclassified,,False,False,68.255,"LINESTRING (10.0830372 45.5255907, 10.0839133 45.5255837)",,,,
"[143955912, 143955913, 143955910]",,Via Raffaello,unclassified,,False,True,138.50799999999998,"LINESTRING (10.0830372 45.5255907, 10.0830048 45.5256098, 10.0829914 45.5256345, 10.0830011 45.525922, 10.0830428 45.5267118, 10.0830436 45.5267864, 10.0830452 45.5268234)",,,,
33854876,,Via Romanino,unclassified,,False,True,8.224,"LINESTRING (10.0851067 45.5255587, 10.0850012 45.5255613)",,,,
33854876,,Via Romanino,unclassified,,False,False,79.475,"LINESTRING (10.0851067 45.5255587, 10.0855988 45.5255449, 10.0858733 45.5255372, 10.0861258 45.5255262)",,,,
92913810,,Via Mancapane,residential,,False,False,132.635,"LINESTRING (10.0851067 45.5255587, 10.0849293 45.5246378, 10.0848975 45.5244728, 10.0848761 45.5243769)",,,,
"[143955912, 33853852, 143955911]",,Via Raffaello,unclassified,,False,False,68.879,"LINESTRING (10.0830349 45.5274408, 10.083053 45.5273923, 10.0830618 45.5273207, 10.0830501 45.5270202, 10.0830453 45.5268642, 10.0830452 45.5268234)",,,,
113820672,2,Via San Francesco d'Assisi,tertiary,,False,False,52.997,"LINESTRING (10.0830349 45.5274408, 10.0827093 45.5273777, 10.0823789 45.5273145)",,,,
113820672,2,Via San Francesco d'Assisi,tertiary,,False,True,65.087,"LINESTRING (10.0830349 45.5274408, 10.0830828 45.5274501, 10.083774 45.5275782, 10.0838421 45.5275919)",,,,
27327349,1,Via Mulini,tertiary,,True,False,11.771,"LINESTRING (10.078279 45.5276587, 10.0783038 45.5276601, 10.0783277 45.5276649, 10.0783628 45.52768, 10.0783829 45.5276957, 10.078397 45.5277143)",roundabout,,,
110980951,1,Via Mulini,tertiary,,True,False,24.988,"LINESTRING (10.078279 45.5276587, 10.0783493 45.5276086, 10.0784016 45.5275524, 10.0784745 45.5274815)",,,,
156402627,1,Via Mulini,tertiary,,True,False,11.68,"LINESTRING (10.0781649 45.527717, 10.0781851 45.5276913, 10.0782037 45.5276781, 10.078226 45.5276679, 10.0782517 45.5276612, 10.078279 45.5276587)",roundabout,,,
33887019,2,Via Mulini,tertiary,,False,True,50.573,"LINESTRING (10.0782767 45.5278315, 10.0782623 45.5279544, 10.0781851 45.5281227, 10.0781145 45.5282693)",,6,,
156402627,1,Via Mulini,tertiary,,True,False,7.714,"LINESTRING (10.0782767 45.5278315, 10.0782497 45.5278286, 10.0782242 45.5278217, 10.0782056 45.5278132, 10.0781894 45.5278026)",roundabout,,,
27327349,1,Via Mulini,tertiary,,True,False,13.533999999999999,"LINESTRING (10.0784026 45.5277623, 10.0783919 45.527784, 10.0783733 45.527803, 10.0783546 45.5278149, 10.0783328 45.5278238, 10.0783054 45.52783, 10.0782767 45.5278315)",roundabout,,,
1022550957,,Via Don Primo Mazzolari,residential,,False,False,73.922,"LINESTRING (10.0784026 45.5277623, 10.0784985 45.5277597, 10.0785394 45.5277573, 10.0786696 45.5277551, 10.0793511 45.5277436)",,,,
"[113738120, 240529463]",1,Piazzale Ospedale,unclassified,,True,False,43.626999999999995,"LINESTRING (10.0787102 45.5268865, 10.0787419 45.526809, 10.0788328 45.5265873, 10.0788617 45.5265088)",,,,
237297876,1,Via Mulini,tertiary,,True,False,4.039,"LINESTRING (10.0787102 45.5268865, 10.0787274 45.5268877, 10.0787436 45.5268919, 10.0787579 45.5268987)",roundabout,,,
165763166,2,Via Rose,unclassified,,False,False,26.259,"LINESTRING (10.074751 45.5281396, 10.0744183 45.5281776)",,,,
165763166,2,Via Rose,unclassified,,False,True,34.143,"LINESTRING (10.074751 45.5281396, 10.0748275 45.5281309, 10.0749539 45.5281167, 10.0750593 45.5281045, 10.0751834 45.5280894)",,,,
61750783,,Via Santa Caterina Da Siena,unclassified,,False,True,167.567,"LINESTRING (10.0773259 45.52066, 10.0772976 45.5206637, 10.0752079 45.5209222)",,,,
"[88047553, 113738125]",2,Via Ventisei Aprile,unclassified,,False,False,71.719,"LINESTRING (10.0773259 45.52066, 10.0773203 45.5206204, 10.0773039 45.5203381, 10.0773011 45.5202746, 10.0772855 45.5200157)",,,,
124637398,,Via Roma,unclassified,,True,False,22.124,"LINESTRING (10.0787587 45.5246533, 10.078722 45.524456)",,,,
87033214,,Vicolo Marsala,residential,,False,True,83.453,"LINESTRING (10.0787587 45.5246533, 10.0788016 45.5246496, 10.0796729 45.5245767, 10.0798082 45.5245305)",,,,
52823333,1,Via Scuole,residential,,False,True,68.389,"LINESTRING (10.0788642 45.5252749, 10.0779901 45.5253319)",,,,
90664310,1,Via Roma,unclassified,,True,False,69.606,"LINESTRING (10.0788642 45.5252749, 10.0787587 45.5246533)",,,,
90664310,1,Via Roma,unclassified,,True,False,37.383,"LINESTRING (10.0788617 45.5265088, 10.0788938 45.5262232, 10.0789003 45.5261737)",,,,
89750173,1,Via Francesco Ziliani,unclassified,,True,False,18.426,"LINESTRING (10.0759401 45.5241168, 10.0761718 45.5240835)",,,,
1037229133,1,Via Francesco Ziliani,unclassified,,False,True,49.542,"LINESTRING (10.0759401 45.5241168, 10.0753182 45.5242099)",,,,
237302480,2,Via Guglielmo Marconi,unclassified,,False,False,29.021,"LINESTRING (10.0812392 45.5236294, 10.0808671 45.5236418)",,,,
45505025,,Vicolo Bianchi,residential,,True,False,136.506,"LINESTRING (10.0812392 45.5236294, 10.0812461 45.5236689, 10.081338 45.5241967, 10.0813183 45.5242286, 10.0812645 45.5242503, 10.080834 45.5242561, 10.0808332 45.5245323)",,,,
237302480,2,Via Guglielmo Marconi,unclassified,,False,True,56.738,"LINESTRING (10.0812392 45.5236294, 10.0817934 45.523538, 10.0819495 45.523517)",,,,
45674142,,Vicolo Crocefisso,residential,,True,False,118.071,"LINESTRING (10.0819495 45.523517, 10.0821553 45.524569)",,,,
237302480,2,Via Guglielmo Marconi,unclassified,,False,False,56.738,"LINESTRING (10.0819495 45.523517, 10.0817934 45.523538, 10.0812392 45.5236294)",,,,
237302480,2,Via Guglielmo Marconi,unclassified,,False,True,52.968,"LINESTRING (10.0819495 45.523517, 10.0823047 45.5234604, 10.0826159 45.5234235)",,,,
34113832,2,Via Brescia,unclassified,,False,False,22.654000000000003,"LINESTRING (10.0852804 45.5228902, 10.0851671 45.5229103, 10.0850646 45.522932, 10.0850026 45.5229495)",,,,
34113832,2,Via Brescia,unclassified,,False,True,68.387,"LINESTRING (10.0852804 45.5228902, 10.0855704 45.5228428, 10.0861348 45.5227491)",,,,
1029628113,,Via Fenida,residential,,False,False,27.333999999999996,"LINESTRING (10.0852804 45.5228902, 10.0853201 45.5227924, 10.0854539 45.5226829)",,,,
40956025,1,Via Lepre,residential,,True,False,35.036,"LINESTRING (10.0797878 45.5209189, 10.0797413 45.5209247, 10.0797176 45.5209279, 10.0794866 45.5209538, 10.079343 45.5209644)",,,,
108587444,,Via Napoleone,unclassified,,True,False,126.65,"LINESTRING (10.0797878 45.5209189, 10.0798168 45.5210485, 10.0798301 45.521217, 10.079843 45.522056)",,,,
34059552,1,Via Ventisei Aprile,unclassified,,True,False,35.691,"LINESTRING (10.0774117 45.5209753, 10.0773259 45.52066)",,,,
88582463,,Via San Rocchino,residential,,False,True,66.408,"LINESTRING (10.0839811 45.5195204, 10.0841237 45.5198943, 10.0844113 45.5198345)",,,,
133661485,,Via San Rocco,residential,,False,False,84.873,"LINESTRING (10.0839811 45.5195204, 10.083324 45.5199344, 10.0831681 45.5200284)",,,,
133661485,,Via San Rocco,residential,,False,True,10.921,"LINESTRING (10.0823597 45.520563, 10.0824558 45.5204915)",,,,
