osmid,oneway,name,highway,reversed,length,lanes,ref,geometry,junction,width
61047664,True,Via Ancona,unclassified,False,55.095,,,"LINESTRING (18.0006954 40.057068, 18.0006641 40.0575629)",,
76146287,False,,primary,True,166.015,2,SP361,"LINESTRING (18.0006954 40.057068, 17.9987502 40.0569569)",,
76146287,False,,primary,False,119.61,2,SP361,"LINESTRING (18.0006954 40.057068, 18.0019916 40.0571418, 18.0020969 40.0571478)",,
33198251,True,,tertiary,False,20.126,,,"LINESTRING (17.9991295 40.0585076, 17.9991574 40.0585289, 17.9991753 40.0585558, 17.9991816 40.0585856, 17.9991757 40.0586154, 17.9991581 40.0586424, 17.9991305 40.0586639)",roundabout,
74381313,True,Viale Europa,tertiary,False,56.281,,,"LINESTRING (17.9991295 40.0585076, 17.9993033 40.0585243, 17.9996771 40.0585378, 17.999789 40.058539)",,
33198254,True,Via Torino,tertiary,False,46.619,,,"LINESTRING (17.9989276 40.0585852, 17.9986484 40.0582245)",,
33198251,True,,tertiary,False,20.322,,,"LINESTRING (17.9989276 40.0585852, 17.9989342 40.0585552, 17.9989526 40.0585282, 17.998981 40.0585068, 17.9990167 40.0584933, 17.999056 40.0584889, 17.9990953 40.058494)",roundabout,
33198257,True,Via Pavia,unclassified,False,24.93,,,"LINESTRING (17.9990521 40.0586832, 17.9987982 40.058795)",,
33198251,True,,tertiary,False,16.787,,,"LINESTRING (17.9990521 40.0586832, 17.9990133 40.0586779, 17.9989784 40.0586638, 17.9989509 40.0586421, 17.9989334 40.0586151, 17.9989276 40.0585852)",roundabout,
33198251,True,,tertiary,False,7.107,,,"LINESTRING (17.9991305 40.0586639, 17.9990934 40.0586786, 17.9990521 40.0586832)",roundabout,
33198251,True,,tertiary,False,3.28,,,"LINESTRING (17.9990953 40.058494, 17.9991295 40.0585076)",roundabout,
33391961,False,Corso Italia,primary,False,7.159,2,SP361,"LINESTRING (17.9975824 40.0568935, 17.9975007 40.0568782)",,
33198253,False,Via Torino,tertiary,False,70.596,,,"LINESTRING (17.9975824 40.0568935, 17.9975765 40.0569304, 17.9976088 40.0569989, 17.997667 40.0570624, 17.9978071 40.057244, 17.997972 40.0574439)",,
33391961,False,Corso Italia,primary,True,64.893,2,SP361,"LINESTRING (17.9975824 40.0568935, 17.9977458 40.056908, 17.9983428 40.0569341)",,
33198253,False,Via Torino,tertiary,True,58.547,,,"LINESTRING (17.9986484 40.0582245, 17.9985275 40.0580762, 17.9982721 40.0577838)",,
33198255,True,Via Torino,tertiary,False,48.466,,,"LINESTRING (17.9986484 40.0582245, 17.9988621 40.0583652, 17.9990953 40.058494)",,
33198260,True,Via Pavia,unclassified,False,25.798,,,"LINESTRING (17.9987982 40.058795, 17.9989276 40.0585852)",,
179978134,False,Via Pavia,unclassified,True,68.81,,,"LINESTRING (17.9987982 40.058795, 17.9985716 40.0589082, 17.9981292 40.0591424)",,
33391709,False,Corso Italia,primary,True,31.947,2,SS459,"LINESTRING (17.9964342 40.0559242, 17.9964875 40.0559386, 17.9965966 40.0559695, 17.9966492 40.05599, 17.9967081 40.0560215, 17.9967587 40.0560603)",,
171460070,True,Corso Italia,primary_link,False,16.922,,,"LINESTRING (17.9964342 40.0559242, 17.9962689 40.055948, 17.9962388 40.0559523)",,
171460077,True,Via Firenze,unclassified,False,18.102,,,"LINESTRING (17.996178 40.05601, 17.9961534 40.0561717)",,
33391720,True,,primary,False,16.04,,,"LINESTRING (17.996178 40.05601, 17.9961197 40.0560305, 17.9960527 40.0560418, 17.995997 40.056042)",roundabout,
33391709,False,Corso Italia,primary,False,86.62500000000001,2,SS459,"LINESTRING (17.9972531 40.0567274, 17.9972062 40.0566529, 17.9971596 40.0565727, 17.9970877 40.0564241, 17.9970384 40.0563285, 17.9969855 40.0562439, 17.996926 40.0561827, 17.9968524 40.0561248, 17.9967587 40.0560603)",,
"[33391961, 33391709]",False,Corso Italia,primary,True,27.311,2,"['SP361', 'SS459']","LINESTRING (17.9972531 40.0567274, 17.9972964 40.0567733, 17.9973378 40.0567971, 17.9974148 40.0568436, 17.9975007 40.0568782)",,
179945059,True,Via Lecce,secondary,False,17.4,1,,"LINESTRING (17.9928949 40.0566841, 17.9928537 40.0566269, 17.992809 40.0565424)",,6
179974659,False,Via Lecce,secondary,True,34.964,2,,"LINESTRING (17.9928949 40.0566841, 17.9929501 40.0569004, 17.9929582 40.056932, 17.9929737 40.0569927)",,6
