osmid,name,highway,oneway,reversed,length,geometry,width,lanes,bridge,maxspeed,junction,ref,tunnel
28115277,Via Tarcisio Maule,residential,False,False,73.248,"LINESTRING (11.3478721 45.6095763, 11.3478506 45.6096431, 11.3478337 45.6097228, 11.3478289 45.6098049, 11.3478144 45.6098918, 11.3477709 45.6099812, 11.347655 45.610102, 11.3475794 45.610187)",,,,,,,
132356138,Viale Trieste,tertiary,False,True,248.72799999999995,"LINESTRING (11.3478721 45.6095763, 11.3473112 45.6100556, 11.3463706 45.6108933, 11.3462108 45.6110295, 11.3457882 45.6112619)",,,,,,,
27891899,Via Barco,residential,False,True,89.98400000000001,"LINESTRING (11.3467349 45.6111471, 11.3469236 45.6112973, 11.3472066 45.6114965, 11.347316 45.6115594, 11.3472904 45.6116467, 11.3472159 45.6117154, 11.34716 45.6117527)",,,,,,,
28115277,Via Tarcisio Maule,residential,False,False,77.084,"LINESTRING (11.3467349 45.6111471, 11.3465823 45.6112845, 11.3464542 45.6113684, 11.3463517 45.6114091, 11.3462085 45.6114534, 11.346085 45.611514, 11.3460387 45.6115258, 11.3459718 45.6115702)",,,,,,,
28115277,Via Tarcisio Maule,residential,False,True,125.91900000000001,"LINESTRING (11.3467349 45.6111471, 11.3468822 45.6110245, 11.3470923 45.6108265, 11.3472468 45.6106429, 11.3474618 45.6103193, 11.3475794 45.610187)",,,,,,,
27891899,Via Barco,residential,False,False,89.984,"LINESTRING (11.34716 45.6117527, 11.3472159 45.6117154, 11.3472904 45.6116467, 11.347316 45.6115594, 11.3472066 45.6114965, 11.3469236 45.6112973, 11.3467349 45.6111471)",,,,,,,
132356162,Via Neri Bergamino,residential,False,False,10.301,"LINESTRING (11.3423035 45.615438, 11.3422051 45.615376)",,,,,,,
132356149,Via Verdi,residential,False,True,122.969,"LINESTRING (11.3402322 45.6122223, 11.3399506 45.6133105)",,,,,,,
132356173,Via Alessandro Volta,unclassified,False,True,38.46,"LINESTRING (11.3402322 45.6122223, 11.3407127 45.6123039)",,,,,,,
247116275,Via Volta,unclassified,True,False,20.292,"LINESTRING (11.3402322 45.6122223, 11.3399787 45.6121792)",,,,,,,
132357053,Via Giovanni Pascoli,unclassified,False,True,47.329,"LINESTRING (11.3460926 45.6098661, 11.3459099 45.6094601)",3.5,,,,,,
132356135,Via Giuseppe Garibaldi,residential,False,False,132.418,"LINESTRING (11.3460926 45.6098661, 11.3461701 45.6099855, 11.3461486 45.6101244, 11.3460386 45.6103026, 11.3458523 45.6105442, 11.3455711 45.6109505)",,,,,,,
132356151,Via Monte Cengio,tertiary,False,False,425.72400000000005,"LINESTRING (11.3460926 45.6098661, 11.3476832 45.6084545, 11.34952 45.6068814)",,2,,,,,
"[1219509755, 132356151]","['Via Monte Pasubio', 'Via Monte Cengio']",tertiary,False,True,148.553,"LINESTRING (11.3460926 45.6098661, 11.3456309 45.6102557, 11.3453815 45.6104171, 11.3451723 45.6105278, 11.3449953 45.6106216, 11.344679 45.6107451)",,2,,,,,
132356146,Via Giacomuni,residential,True,False,72.822,"LINESTRING (11.3435855 45.6124944, 11.3436948 45.6125137, 11.344328 45.6127476, 11.3444195 45.612787)",,,,,,,
132356150,Via Alessandro Volta,unclassified,False,False,120.859,"LINESTRING (11.3435855 45.6124944, 11.3432175 45.6126275, 11.343003 45.6126704, 11.3427358 45.6126936, 11.3422273 45.612542, 11.3421399 45.612517)",,,,,,,
1033995555,Via Camillo Benso Cavour,tertiary,True,False,82.276,"LINESTRING (11.3450543 45.6130531, 11.3447947 45.6137704)",,,,,,,
132356134,Viale Umberto Tassoni,tertiary,False,False,243.24200000000002,"LINESTRING (11.3450543 45.6130531, 11.3451668 45.6127287, 11.3451832 45.6126323, 11.3451497 45.6125137, 11.3450412 45.6123823, 11.3438635 45.6112011, 11.3438249 45.6111665)",,,,,,,
"[1151631906, 247116258]",Via Giuseppe Garibaldi,tertiary,False,True,204.41899999999998,"LINESTRING (11.3450543 45.6130531, 11.3452455 45.6130845, 11.3453756 45.613067, 11.3455276 45.6129464, 11.3456905 45.6127926, 11.3457501 45.6127, 11.3458798 45.6124983, 11.3459541 45.6121591, 11.3459602 45.6120567, 11.3459704 45.61195, 11.3459909 45.6117194, 11.3459823 45.611652, 11.3459718 45.6115702)",,,,,,,
132356145,Via Guglielmo Marconi,residential,False,False,7.45,"LINESTRING (11.3421487 45.6143907, 11.3420566 45.6143723)",,,,,,,
132356160,Piazza Aldo Moro,residential,False,True,43.085,"LINESTRING (11.3421487 45.6143907, 11.3425363 45.6143461, 11.3426888 45.6143097)",,,,,,,
132356155,Via Neri Bergamino,residential,False,True,47.233,"LINESTRING (11.3420447 45.6152605, 11.3416728 45.6155963)",,,,,,,
132356162,Via Neri Bergamino,residential,False,False,17.53,"LINESTRING (11.3420447 45.6152605, 11.3419701 45.6151959, 11.3419554 45.615122)",,,,,,,
132356162,Via Neri Bergamino,residential,False,True,17.958,"LINESTRING (11.3420447 45.6152605, 11.3421071 45.6153142, 11.3422051 45.615376)",,,,,,,
132356173,Via Alessandro Volta,unclassified,False,False,61.056,"LINESTRING (11.3414888 45.6123862, 11.3407127 45.6123039)",,,,,,,
