osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,access
510258097,False,2,SR ex SS18,Corso Giuseppe Garibaldi,primary,True,63.415,"LINESTRING (14.334629 40.8155737, 14.3351191 40.8151405)",
25662003,True,,,Via Carlo e Luigi Giordano,residential,False,96.105,"LINESTRING (14.334629 40.8155737, 14.3355407 40.8160731, 14.3355525 40.8160819)",
510258097,False,2,SR ex SS18,Corso Giuseppe Garibaldi,primary,False,155.165,"LINESTRING (14.334629 40.8155737, 14.3345818 40.8156162, 14.3340656 40.8160808, 14.3339892 40.8161436, 14.3338255 40.8162783, 14.3334345 40.8165072, 14.33334 40.8165625)",
171536444,True,,,Via Armando Diaz,tertiary,False,77.681,"LINESTRING (14.3343114 40.8190235, 14.3334208 40.8188397)",
171536461,True,,,Via Armando Diaz,tertiary,False,26.862,"LINESTRING (14.3334208 40.8188397, 14.3331195 40.8187599)",
207650090,True,,,,unclassified,False,16.582,"LINESTRING (14.3373233 40.819646, 14.3372851 40.8197923)",
171536444,True,,,Via Armando Diaz,tertiary,False,32.861000000000004,"LINESTRING (14.3373233 40.819646, 14.3369848 40.8196274, 14.3369346 40.8196201)",
25661975,True,,,Via Michelangelo Naldi,residential,False,89.481,"LINESTRING (14.3354125 40.8148811, 14.336309 40.8153138)",
510258097,False,2,SR ex SS18,Corso Giuseppe Garibaldi,primary,False,37.969,"LINESTRING (14.3354125 40.8148811, 14.3352627 40.8150135, 14.3351191 40.8151405)",
510258097,False,2,SR ex SS18,Corso Giuseppe Garibaldi,primary,True,48.7,"LINESTRING (14.3354125 40.8148811, 14.3357111 40.8146313, 14.3358007 40.8145563)",
25661975,True,,,Via Michelangelo Naldi,residential,False,19.647,"LINESTRING (14.336309 40.8153138, 14.3365061 40.8154085)",
196931304,True,,,Via Alessandro Volta,residential,False,47.997,"LINESTRING (14.336309 40.8153138, 14.3359696 40.8156607)",
39448508,True,,,Via Enrico Ariotta,residential,False,14.49,"LINESTRING (14.3374737 40.8171717, 14.3376441 40.817153)",
39448669,True,,,Via Guglielmo Marconi,residential,False,76.974,"LINESTRING (14.3368716 40.8196109, 14.3368386 40.819276, 14.3367828 40.8189221)",
171536444,True,,,Via Armando Diaz,tertiary,False,37.004,"LINESTRING (14.3368716 40.8196109, 14.3366675 40.8195771, 14.3364467 40.8195262)",
177551364,True,,,Via Francesco Bellucci Sessa,residential,False,101.42,"LINESTRING (14.3382818 40.8157333, 14.3382649 40.8155714, 14.3382523 40.8153853, 14.3383101 40.8152021, 14.3386234 40.8149116)",
471274698,True,,,Via Ernesto Della Torre,residential,False,51.872,"LINESTRING (14.3382818 40.8157333, 14.3381211 40.8156417, 14.3378477 40.8154052)",yes
