osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,ref,bridge,junction,access,width
252668389,2,Corso Martiri,secondary,False,True,111.549,"LINESTRING (11.0586413 44.5928897, 11.0579974 44.5931213, 11.0573838 44.5933419)",,,,,,
37634569,2,Via Loda,secondary,False,False,162.569,"LINESTRING (11.0509905 44.5932289, 11.050592 44.5925705, 11.0505545 44.5925086, 11.0505158 44.5924484, 11.050266 44.5920592, 11.0501601 44.5918919)",,,,,,
1175596757,1,Via Loda,secondary,True,False,37.69,"LINESTRING (11.0509905 44.5932289, 11.0510949 44.5933477, 11.0511387 44.5934095, 11.0511944 44.5934858, 11.0512309 44.5935208)",50,,,,,
"[1223288522, 47986517]",2,Via Filippo Turati,secondary,False,True,176.274,"LINESTRING (11.0466761 44.5952122, 11.0468159 44.595179, 11.0469888 44.5951317, 11.047602 44.5949194, 11.0482518 44.5946945, 11.0485465 44.5945925, 11.0486272 44.5945646, 11.0486919 44.5945422)",30,SP14,,,,
28776152,,Via Don Luigi Roncagli,residential,True,False,110.601,"LINESTRING (11.0506752 44.5956726, 11.0506264 44.5955986, 11.0504803 44.595377, 11.050468 44.5953585, 11.050455 44.5953387, 11.0502978 44.5951004, 11.0501356 44.5948545, 11.0500814 44.5947723)",,,,,,
"[1222562150, 47986486, 1222562151]",,Via Ennio Garagnani,residential,True,False,63.626000000000005,"LINESTRING (11.0506752 44.5956726, 11.0507179 44.5957382, 11.0507348 44.5957641, 11.0509098 44.5960326, 11.0509648 44.5961171, 11.0510046 44.5961055, 11.0510362 44.5961519)",,,,,,
"[1222774996, 1223292135]",2,Corso Martiri,secondary,False,False,48.318000000000005,"LINESTRING (11.0506752 44.5956726, 11.0507482 44.5956474, 11.0511663 44.5955034, 11.0511834 44.5954975, 11.0512244 44.5954832)",,,,,,
1222774996,2,Corso Martiri,secondary,False,True,56.955,"LINESTRING (11.0506752 44.5956726, 11.0505982 44.5957002, 11.0500327 44.5959029)",,,,,,
1175596764,2,Via Circondaria Sud,secondary,False,True,43.244,"LINESTRING (11.049668 44.5942014, 11.049755 44.5941694, 11.0500078 44.5940784, 11.050155 44.5940254)",50,,,,,
"[1228282770, 1222285707, 1221361775]",2,Via Circondaria Sud,secondary,False,False,86.07900000000001,"LINESTRING (11.049668 44.5942014, 11.0496077 44.5942217, 11.049097 44.5944005, 11.0488552 44.5944851, 11.0487781 44.5945121, 11.0486919 44.5945422)",30,SP14,,,,
"[48043450, 1222285708]",,Via Don Luigi Roncagli,residential,False,True,71.42699999999999,"LINESTRING (11.049668 44.5942014, 11.0497702 44.5943366, 11.0498694 44.5944755, 11.049889 44.5945029, 11.0500814 44.5947723)",,,,,,
28776156,2,Via Gabriella Degli Esposti,residential,False,False,69.453,"LINESTRING (11.0501601 44.5918919, 11.0502054 44.5918772, 11.0505304 44.5917844, 11.0509073 44.5916669, 11.0509675 44.5916481)",,,,,,
"[1223105728, 1222285701, 37634569, 1221400649, 1223105724, 1223105727]",2,Via Loda,secondary,False,False,88.956,"LINESTRING (11.0501601 44.5918919, 11.0499133 44.5915073, 11.0498844 44.5914625, 11.0498567 44.5914185, 11.0498489 44.5914062, 11.0498293 44.5913754, 11.0498096 44.5913445, 11.0497762 44.5912933, 11.0496922 44.5911646)",50,SP14,yes,,,
37634569,2,Via Loda,secondary,False,True,162.569,"LINESTRING (11.0501601 44.5918919, 11.050266 44.5920592, 11.0505158 44.5924484, 11.0505545 44.5925086, 11.050592 44.5925705, 11.0509905 44.5932289)",,,,,,
28776156,2,Via Gabriella Degli Esposti,residential,False,True,69.453,"LINESTRING (11.0509675 44.5916481, 11.0509073 44.5916669, 11.0505304 44.5917844, 11.0502054 44.5918772, 11.0501601 44.5918919)",,,,,,
"[1228282748, 1228282749]",,"['Via Valter Tabacchi', 'Via Fratelli Moscardini']",residential,False,True,139.767,"LINESTRING (11.0509675 44.5916481, 11.0509497 44.5916136, 11.0507277 44.591184, 11.0508922 44.5911408, 11.0517321 44.59092)",,,,,,
1228282750,,Via Gabriella Degli Esposti,residential,False,False,85.952,"LINESTRING (11.0509675 44.5916481, 11.0519529 44.5914118, 11.0519962 44.5914014)",,,,,,
1228282751,,Via Fratelli Moscardini,residential,False,False,48.627,"LINESTRING (11.0509675 44.5916481, 11.051188 44.5920276, 11.0512029 44.592052)",,,,,,
1228282750,,Via Gabriella Degli Esposti,residential,False,False,141.409,"LINESTRING (11.0519962 44.5914014, 11.0537103 44.5910447)",,,,,,
1228282688,,Via Emilio Po,residential,False,False,122.681,"LINESTRING (11.0519962 44.5914014, 11.0521579 44.5917351, 11.0512029 44.592052)",,,,,,
"[1228282689, 1228282690]",,Via Emilio Po,residential,False,True,57.468999999999994,"LINESTRING (11.0519962 44.5914014, 11.0519839 44.591379, 11.051835 44.5911075, 11.0517321 44.59092)",,,,,,
1228282750,,Via Gabriella Degli Esposti,residential,False,True,85.952,"LINESTRING (11.0519962 44.5914014, 11.0519529 44.5914118, 11.0509675 44.5916481)",,,,,,
47977868,2,Via Magenta,tertiary,False,False,128.603,"LINESTRING (11.0549508 44.5924015, 11.0551123 44.5923434, 11.0564005 44.5918801)",50,,,,,
