osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed,junction,access
355943149,Via San Giulio,unclassified,False,True,32.467,,,"LINESTRING (8.8230964 45.6742251, 8.8227497 45.6740621)",,,
144782632,Via Aldo Moro,tertiary,False,False,59.22,2,SP20,"LINESTRING (8.8230964 45.6742251, 8.8231478 45.6741767, 8.8232571 45.6740791, 8.8235741 45.6738654, 8.8236159 45.6738372)",,,
205851912,Via Guglielmo Marconi,tertiary,False,True,86.84,2,SP20,"LINESTRING (8.8230964 45.6742251, 8.8230407 45.6742872, 8.8229544 45.6743911, 8.8228733 45.6745074, 8.8227647 45.6747584, 8.8226901 45.6749473)",,,
205851874,Via Giovanni Mazzel,unclassified,False,True,189.206,2,,"LINESTRING (8.8208143 45.6749158, 8.8208458 45.675109, 8.8208551 45.6752244, 8.8208887 45.6753113, 8.8209027 45.6755768, 8.8208867 45.6758079, 8.8208336 45.6759904, 8.8207464 45.6761744, 8.8206747 45.6763051, 8.8206062 45.6764316, 8.8205482 45.6765752)",,,
207380882,Via Alessandro Volta,unclassified,False,False,109.23899999999998,2,,"LINESTRING (8.8208143 45.6749158, 8.8208681 45.6749012, 8.8209727 45.6748825, 8.8210505 45.6748469, 8.8211095 45.6747757, 8.8211739 45.6746801, 8.8212463 45.6745564, 8.8212726 45.6744658, 8.8212812 45.6744365, 8.8213536 45.6742022, 8.8213377 45.6740847)",,,
205851874,Via Giovanni Mazzel,unclassified,False,False,189.20600000000002,2,,"LINESTRING (8.8205482 45.6765752, 8.8206062 45.6764316, 8.8206747 45.6763051, 8.8207464 45.6761744, 8.8208336 45.6759904, 8.8208867 45.6758079, 8.8209027 45.6755768, 8.8208887 45.6753113, 8.8208551 45.6752244, 8.8208458 45.675109, 8.8208143 45.6749158)",,,
205851874,Via Giovanni Mazzel,unclassified,False,True,173.65900000000002,2,,"LINESTRING (8.8205482 45.6765752, 8.8205276 45.6766686, 8.8204667 45.6769866, 8.8204499 45.6772, 8.8204226 45.6775471, 8.8204063 45.6778313, 8.8203845 45.6780466, 8.8203858 45.6781314)",,,
43960668,Via Giuseppe Mazzini,unclassified,False,False,100.69300000000001,2,,"LINESTRING (8.8230364 45.6719989, 8.8231494 45.6718758, 8.8232364 45.6717811, 8.8237321 45.6712349)",,,
"[162217034, 144782630]","['Via Quattro Novembre', 'Piazza della Libertà']",secondary,True,False,245.19000000000003,2,,"LINESTRING (8.8230364 45.6719989, 8.8229462 45.6719594, 8.8222197 45.6716411, 8.8214792 45.6713167, 8.8209784 45.6710918, 8.8207302 45.670974, 8.8205195 45.6708614, 8.8203924 45.6707969)",,,
205851935,Via Giuseppe Mazzini,unclassified,False,False,66.42699999999999,,,"LINESTRING (8.8230364 45.6719989, 8.8229175 45.6721242, 8.8227026 45.6723777, 8.8226681 45.6724565, 8.8226701 45.6725265)",,,
43960638,Via Roma,residential,True,False,131.221,2,,"LINESTRING (8.8261418 45.6733211, 8.8268265 45.6724119, 8.8269004 45.6722682)",,,
307431186,Via Quattro Novembre,secondary,False,False,75.534,2,SP20,"LINESTRING (8.8261418 45.6733211, 8.8260069 45.6732681, 8.8252944 45.6729882)",,,
307431186,Via Quattro Novembre,secondary,False,True,39.732,2,SP20,"LINESTRING (8.8261418 45.6733211, 8.8262505 45.6733649, 8.8265848 45.6734996)",,,
307421236,Via San Giulio,unclassified,True,False,50.785000000000004,1,,"LINESTRING (8.8235972 45.6745184, 8.8233439 45.6743629, 8.8231851 45.6742745, 8.8230964 45.6742251)",,,
355943116,Via Giosuè Carducci,residential,True,False,87.726,1,,"LINESTRING (8.8235972 45.6745184, 8.8237379 45.674384, 8.823813 45.6742978, 8.8238386 45.6742539, 8.8238416 45.6742208, 8.8237808 45.674001, 8.8237808 45.6739267, 8.823647 45.6738188)",,,
205851908,Via Alvaros Colombo,unclassified,True,False,235.376,1,,"LINESTRING (8.8245402 45.6751175, 8.8245508 45.675099, 8.8245922 45.6750525, 8.8250052 45.6745873, 8.8254571 45.6740783, 8.8260652 45.6734058, 8.8261418 45.6733211)",,,
718481034,Via San Giulio,unclassified,True,False,99.257,1,,"LINESTRING (8.8245402 45.6751175, 8.8242285 45.6749445, 8.8239021 45.6747508, 8.8235972 45.6745184)",,,
32912477,Via Carlo Porta,tertiary,False,False,90.692,2,,"LINESTRING (8.8303434 45.6751087, 8.8306813 45.6747126, 8.8308153 45.6745555, 8.8309309 45.6744041)",,,
227488219,Via Angelo Dubini,unclassified,True,False,37.261,1,,"LINESTRING (8.8303434 45.6751087, 8.830279 45.6751218, 8.8302314 45.6751517, 8.8299916 45.6753284)",,,
307433236,Via Alcide De Gasperi,secondary,False,False,13.011,2,SP12,"LINESTRING (8.8303434 45.6751087, 8.830274 45.6750882, 8.830195 45.6750551)",,,
43960622,Via San Giulio,unclassified,False,False,53.373999999999995,1,,"LINESTRING (8.826914 45.6762268, 8.8264832 45.6760162, 8.8263474 45.6759555)",,,
43960648,Via Andrea Buttafava,unclassified,False,False,152.184,2,,"LINESTRING (8.826914 45.6762268, 8.8269627 45.6762535, 8.8273357 45.6764405, 8.8274127 45.6764764, 8.8275221 45.6765207, 8.8276849 45.676598, 8.827879 45.6766934, 8.8285231 45.6770065)",,,
205950948,Via Trieste,unclassified,True,False,213.32799999999997,,,"LINESTRING (8.826914 45.6762268, 8.8264452 45.6766881, 8.8263455 45.676778, 8.8260198 45.6771147, 8.8259594 45.6771941, 8.8259486 45.6772083, 8.8259445 45.6773211, 8.8259763 45.677388, 8.8260365 45.6775006, 8.8261491 45.6776497, 8.8262978 45.6778296, 8.82633 45.6778706)",,,
43960651,Via Angelo Dubini,unclassified,False,True,52.769,2,,"LINESTRING (8.8288401 45.6765868, 8.8285231 45.6770065)",,,
43960651,Via Angelo Dubini,unclassified,False,False,167.26100000000002,2,,"LINESTRING (8.8288401 45.6765868, 8.8290722 45.6762118, 8.8292016 45.6760467, 8.82931 45.675923, 8.8296455 45.6756224, 8.829911 45.6753845, 8.8299916 45.6753284)",,,
43960648,Via Andrea Buttafava,unclassified,False,False,33.481,2,,"LINESTRING (8.8285231 45.6770065, 8.8288781 45.6771772)",,,
43960651,Via Angelo Dubini,unclassified,False,False,52.769,2,,"LINESTRING (8.8285231 45.6770065, 8.8288401 45.6765868)",,,
43960648,Via Andrea Buttafava,unclassified,False,True,152.184,2,,"LINESTRING (8.8285231 45.6770065, 8.827879 45.6766934, 8.8276849 45.676598, 8.8275221 45.6765207, 8.8274127 45.6764764, 8.8273357 45.6764405, 8.8269627 45.6762535, 8.826914 45.6762268)",,,
43960648,Via Andrea Buttafava,unclassified,False,True,33.481,2,,"LINESTRING (8.8288781 45.6771772, 8.8285231 45.6770065)",,,
43960620,Via Trento,residential,False,False,223.856,2,,"LINESTRING (8.8288781 45.6771772, 8.8286207 45.6777823, 8.8282837 45.6786252, 8.8281538 45.6788994, 8.8280598 45.6791072)",,,
43960648,Via Andrea Buttafava,unclassified,False,False,59.166,2,,"LINESTRING (8.8288781 45.6771772, 8.8293759 45.6774022, 8.8295022 45.6774803)",,,
355943074,Via Andrea Buttafava,residential,False,False,143.334,,,"LINESTRING (8.8295022 45.6774803, 8.831144 45.6780683)",,,
