osmid,name,highway,oneway,reversed,length,geometry,bridge,junction,access
133263804,Via Trinità,tertiary,False,True,52.648,"LINESTRING (7.7699287 44.9453856, 7.7695285 44.9450062)",,,
29206746,Via Alessandro Manzoni,residential,False,False,170.77599999999998,"LINESTRING (7.7699287 44.9453856, 7.769797 44.9454415, 7.769656 44.9454864, 7.7695593 44.9455134, 7.7690861 44.9456111, 7.7690147 44.9456528, 7.7689429 44.9457123, 7.7688746 44.9457504, 7.7687732 44.9457769, 7.7683637 44.9458285, 7.767917 44.9458712)",,,
29206779,Via Cavour,tertiary,False,False,171.026,"LINESTRING (7.7699287 44.9453856, 7.7706127 44.9460538, 7.7711193 44.9465605, 7.771143 44.9465819, 7.7711996 44.9466331)",,,
29206752,Via Dottor Filippo Cavaglià,residential,True,False,45.89,"LINESTRING (7.7720885 44.9468872, 7.7720239 44.9468006, 7.7719561 44.9467099, 7.7718787 44.9466069, 7.7718153 44.9465226)",,,
29206779,Via Cavour,tertiary,False,False,79.252,"LINESTRING (7.7720885 44.9468872, 7.7721246 44.9468977, 7.772158 44.9469159, 7.7722395 44.9469789, 7.772336 44.9470717, 7.7724643 44.9472426, 7.7725364 44.9473448, 7.7725712 44.9474015, 7.7726161 44.9474804)",,,
29206779,Via Cavour,tertiary,False,True,80.035,"LINESTRING (7.7720885 44.9468872, 7.7720414 44.9468806, 7.7719943 44.9468771, 7.7719177 44.9468757, 7.771792 44.9468742, 7.7716617 44.9468646, 7.7715726 44.9468529, 7.7715002 44.9468372, 7.7714317 44.9468132, 7.7713782 44.9467827, 7.7713145 44.9467322, 7.7712324 44.9466614, 7.7711996 44.9466331)",,,
29206746,Via Alessandro Manzoni,residential,False,True,170.77600000000004,"LINESTRING (7.767917 44.9458712, 7.7683637 44.9458285, 7.7687732 44.9457769, 7.7688746 44.9457504, 7.7689429 44.9457123, 7.7690147 44.9456528, 7.7690861 44.9456111, 7.7695593 44.9455134, 7.769656 44.9454864, 7.769797 44.9454415, 7.7699287 44.9453856)",,,
29206752,Via Dottor Filippo Cavaglià,residential,True,False,64.082,"LINESTRING (7.7724092 44.946305, 7.7726478 44.9462315, 7.7731545 44.9460729)",,,
"[69306483, 29206779, 653558191]",Via Cavour,tertiary,False,False,61.092,"LINESTRING (7.7726161 44.9474804, 7.7726397 44.9476136, 7.7726606 44.9477461, 7.7727009 44.9480007, 7.7727049 44.9480262)",yes,,
29206779,Via Cavour,tertiary,False,True,79.25200000000001,"LINESTRING (7.7726161 44.9474804, 7.7725712 44.9474015, 7.7725364 44.9473448, 7.7724643 44.9472426, 7.772336 44.9470717, 7.7722395 44.9469789, 7.772158 44.9469159, 7.7721246 44.9468977, 7.7720885 44.9468872)",,,
