osmid,highway,oneway,reversed,length,bridge,name,geometry,maxspeed,junction
"[260797296, 270883085, 260797295]",secondary,False,True,280.16200000000003,yes,Via Roma,"LINESTRING (15.1510358 37.0777331, 15.1511166 37.0780277, 15.1512005 37.0783128, 15.15174 37.0801892)",,
271046623,residential,True,False,40.222,,Via Vincenzo Bellini,"LINESTRING (15.1486888 37.0817502, 15.1487974 37.081399)",,
66880170,secondary,True,False,10.751,,Corso Vittorio Emanuele,"LINESTRING (15.1486888 37.0817502, 15.148707 37.0817468, 15.1488061 37.0817259)",40,
177332113,residential,False,False,47.439,,,"LINESTRING (15.1560365 37.0838009, 15.1555093 37.0838725)",,
177332113,residential,False,True,52.639,,,"LINESTRING (15.1560365 37.0838009, 15.1563178 37.0837627, 15.1566215 37.0837215)",,
"[986344408, 271250325]",residential,False,True,151.757,,Via Ugo Foscolo,"LINESTRING (15.1560365 37.0838009, 15.1560599 37.0838785, 15.1561438 37.0841616, 15.156153 37.0841924, 15.1563211 37.0847553, 15.1563501 37.0848524, 15.1564326 37.0851286)",,
107434960,residential,False,True,135.69199999999998,,Via Antonino Mazzarella Agati,"LINESTRING (15.1552123 37.0839128, 15.1552036 37.0838803, 15.1549091 37.0827481, 15.1549012 37.082718)",,
486804479,residential,True,False,157.748,,Via Antonino Mazzarella Agati,"LINESTRING (15.1552123 37.0839128, 15.155568 37.0852619, 15.1555788 37.085301)",,
"[986344409, 177332113]",residential,False,True,26.724,,Via Giandomenico Romagnosi,"LINESTRING (15.1552123 37.0839128, 15.1554781 37.0838767, 15.1555093 37.0838725)",,
209048537,tertiary,True,False,66.696,,Via Giuseppe Giusti,"LINESTRING (15.1549012 37.082718, 15.1541688 37.0828536)",40,
107434960,residential,False,False,135.69199999999998,,Via Antonino Mazzarella Agati,"LINESTRING (15.1549012 37.082718, 15.1549091 37.0827481, 15.1552036 37.0838803, 15.1552123 37.0839128)",,
107434960,residential,False,True,111.852,,Via Antonino Mazzarella Agati,"LINESTRING (15.1549012 37.082718, 15.1548913 37.0826799, 15.15465 37.0817596, 15.1546431 37.0817334)",,
271250341,tertiary,False,True,30.927,,Via Giuseppe Giusti,"LINESTRING (15.1514936 37.0833833, 15.1511577 37.0834578)",40,
107434969,tertiary,True,False,144.966,,Via Giuseppe Garibaldi,"LINESTRING (15.1514936 37.0833833, 15.15116 37.0821448, 15.1511502 37.0821087)",40,
271046660,residential,True,False,92.197,,Via Giuseppe Garibaldi,"LINESTRING (15.1508867 37.0812736, 15.1506551 37.0804653)",,
66880170,secondary,True,False,49.636,,Corso Vittorio Emanuele,"LINESTRING (15.1508867 37.0812736, 15.1513821 37.0811817, 15.1514317 37.0811725)",40,
66880170,secondary,True,False,50.786,,Corso Vittorio Emanuele,"LINESTRING (15.1514317 37.0811725, 15.1519871 37.0810617)",40,
"[271046637, 271046631]",secondary,True,False,96.188,,Via Archimede,"LINESTRING (15.1514317 37.0811725, 15.1516972 37.0819681, 15.1517098 37.0820086)",40,
172091872,secondary,True,False,152.926,,Via Archimede,"LINESTRING (15.1521244 37.083244, 15.1526049 37.0845648)",40,
209048537,tertiary,True,False,58.061,,Via Giuseppe Giusti,"LINESTRING (15.1521244 37.083244, 15.1514936 37.0833833)",40,
209048537,tertiary,True,False,30.39,,Via Giuseppe Giusti,"LINESTRING (15.1531558 37.0830385, 15.1528208 37.0830957)",40,
271046642,residential,True,False,148.411,,Via Quattro Novembre,"LINESTRING (15.1531558 37.0830385, 15.1534944 37.0843087, 15.1535038 37.084344)",40,
271136470,residential,True,False,49.139,,Via Palestro,"LINESTRING (15.1526942 37.0801351, 15.1525866 37.0797016)",40,
1059334956,residential,True,False,64.846,,Via Giacomo Matteotti,"LINESTRING (15.1526942 37.0801351, 15.1534234 37.0800944)",,
1059334957,residential,False,True,28.922,,Via Giacomo Matteotti,"LINESTRING (15.1526942 37.0801351, 15.152369 37.0801536)",,
66880170,secondary,True,False,54.861,,Corso Vittorio Emanuele,"LINESTRING (15.1496548 37.0815266, 15.1502523 37.0813993)",40,
177332179,residential,True,False,101.798,,Via Polisena,"LINESTRING (15.1496548 37.0815266, 15.1492201 37.0807467, 15.1491885 37.0806901)",,
177360303,secondary,True,False,53.145,,Via Ludovico Ariosto,"LINESTRING (15.1539103 37.0818783, 15.1533288 37.0819933)",,
177332190,residential,True,False,110.84700000000001,,Via Vittorio Alfieri,"LINESTRING (15.1539103 37.0818783, 15.1541608 37.0828236, 15.1541688 37.0828536)",40,
177332199,residential,True,False,49.674,,Via Dante Alighieri,"LINESTRING (15.1571538 37.0812499, 15.1572839 37.0816844)",40,
177360303,secondary,True,False,163.171,,Via Ludovico Ariosto,"LINESTRING (15.1571538 37.0812499, 15.1553647 37.0815907)",,
177360303,secondary,True,False,57.982,,Via Ludovico Ariosto,"LINESTRING (15.1577894 37.0811283, 15.1571538 37.0812499)",,
177332169,residential,True,False,132.139,,Via Piave,"LINESTRING (15.1577894 37.0811283, 15.1573434 37.0800432, 15.1573257 37.079999)",,
177337722,residential,False,True,6.476,,Via Cavour,"LINESTRING (15.1467514 37.0829802, 15.1468171 37.0830056)",,
66880170,secondary,True,False,72.599,,Corso Vittorio Emanuele,"LINESTRING (15.1467514 37.0829802, 15.1468068 37.0828651, 15.1469655 37.0824866, 15.1470172 37.0823628)",40,
271046668,secondary,True,False,43.569,,Via Silvio Pellico,"LINESTRING (15.1505715 37.08222, 15.1501713 37.0823069, 15.1500976 37.0823229)",,
987190635,residential,True,False,147.231,,Via Galileo Galilei,"LINESTRING (15.1505715 37.08222, 15.1507638 37.0826698, 15.1511065 37.0833268, 15.1511431 37.0834203, 15.1511577 37.0834578)",40,
271046657,secondary,True,False,30.534,,,"LINESTRING (15.1528874 37.0820769, 15.1526037 37.0821297, 15.1525522 37.0821393)",,
"[271046642, 271046659]",residential,True,False,109.544,,Via Quattro Novembre,"LINESTRING (15.1528874 37.0820769, 15.1528962 37.0821085, 15.1529001 37.0821225, 15.1531491 37.0830145, 15.1531558 37.0830385)",40,
66880170,secondary,True,False,57.987,,Corso Vittorio Emanuele,"LINESTRING (15.1502523 37.0813993, 15.1508867 37.0812736)",40,
987190635,residential,True,False,95.551,,Via Galileo Galilei,"LINESTRING (15.1502523 37.0813993, 15.1505498 37.0821615, 15.1505715 37.08222)",40,
271046668,secondary,True,False,53.306,,Via Silvio Pellico,"LINESTRING (15.1476566 37.0832312, 15.1471099 37.0834302)",,
209048533,residential,True,False,110.01100000000001,,Via Vincenzo Giuliano,"LINESTRING (15.1476566 37.0832312, 15.1482167 37.0840754, 15.1482368 37.0841056)",,
177332111,residential,True,False,57.298,,Via Ugo Foscolo,"LINESTRING (15.1553647 37.0815907, 15.1552152 37.0810894)",,
177360303,secondary,True,False,65.95,,Via Ludovico Ariosto,"LINESTRING (15.1553647 37.0815907, 15.1546431 37.0817334)",,
271046668,secondary,True,False,80.87,,Via Silvio Pellico,"LINESTRING (15.1500976 37.0823229, 15.1492685 37.0826253)",,
177332179,residential,True,False,96.86600000000001,,Via Polisena,"LINESTRING (15.1500976 37.0823229, 15.1500499 37.0822372, 15.1496732 37.0815598, 15.1496548 37.0815266)",,
271046657,secondary,True,False,3.722,,,"LINESTRING (15.1525522 37.0821393, 15.1525181 37.0821198)",,
177337718,residential,True,False,53.887,,Via Francesco Accolla,"LINESTRING (15.1471099 37.0834302, 15.1468413 37.0830406, 15.1468171 37.0830056)",,
66880170,secondary,True,False,13.667,,Corso Vittorio Emanuele,"LINESTRING (15.147035 37.0822959, 15.1470806 37.0821785)",40,
209048534,residential,True,False,8.596,,Via Antonio Maesano,"LINESTRING (15.147035 37.0822959, 15.1469678 37.0822402)",,
271046668,secondary,True,False,90.585,,Via Silvio Pellico,"LINESTRING (15.1485789 37.0828815, 15.1476566 37.0832312)",,
271250327,residential,True,False,57.743,,Via Mariano Pinnone,"LINESTRING (15.1485789 37.0828815, 15.1483623 37.0823918)",,
177360303,secondary,True,False,66.973,,Via Ludovico Ariosto,"LINESTRING (15.1546431 37.0817334, 15.1539103 37.0818783)",,
107434960,residential,False,False,111.852,,Via Antonino Mazzarella Agati,"LINESTRING (15.1546431 37.0817334, 15.15465 37.0817596, 15.1548913 37.0826799, 15.1549012 37.082718)",,
66880170,secondary,True,False,48.628,,Corso Vittorio Emanuele,"LINESTRING (15.1567951 37.0801088, 15.1573257 37.079999)",40,
177332199,residential,True,False,76.24,,Via Dante Alighieri,"LINESTRING (15.1567951 37.0801088, 15.1569988 37.0807749)",40,
271046668,secondary,True,False,67.481,,Via Silvio Pellico,"LINESTRING (15.1492685 37.0826253, 15.1485789 37.0828815)",,
177332175,residential,True,False,135.25300000000001,,Via San Martino della Battaglia,"LINESTRING (15.1492685 37.0826253, 15.1498426 37.0836986, 15.1498668 37.0837441)",,
66880170,secondary,True,False,53.964,,Corso Vittorio Emanuele,"LINESTRING (15.1519871 37.0810617, 15.1525342 37.0809643, 15.1525811 37.0809571)",40,
