osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,tunnel,access
30576123,SP28/b,Strada Provinciale dei Montecorvini,tertiary,False,False,10.65,"LINESTRING (14.9779768 40.6928499, 14.9778938 40.6929221)",,,,
95453351,SP28/b,Strada Provinciale dei Montecorvini,tertiary,False,False,50.057,"LINESTRING (14.9779768 40.6928499, 14.9780493 40.6924031)",,,,
30576123,SP28/b,Strada Provinciale dei Montecorvini,tertiary,False,True,15.664,"LINESTRING (14.976634 40.6935584, 14.9767925 40.6934849)",,,,
97859986,,Piazza Budetta,tertiary,False,True,18.228,"LINESTRING (14.976634 40.6935584, 14.9767206 40.6937086)",,,,
"[30576277, 368442327]",,Via Avvocato Quaranta,tertiary,False,True,197.826,"LINESTRING (14.976634 40.6935584, 14.976327 40.6931401, 14.9762502 40.6930894, 14.9761428 40.6930938, 14.9759351 40.6931481, 14.9757757 40.6931507, 14.9755907 40.6930888, 14.9751917 40.6928223, 14.9750241 40.6927505, 14.9749213 40.6927459, 14.9748267 40.6927626)",,,,
30576277,,Via Avvocato Quaranta,tertiary,False,False,399.99600000000004,"LINESTRING (14.9727731 40.6959142, 14.9726916 40.6957768, 14.9726618 40.6956455, 14.9726835 40.6955104, 14.9727238 40.6954413, 14.9727942 40.6953904, 14.9729491 40.695364, 14.9733389 40.695416, 14.9735068 40.6954174, 14.9736287 40.6953677, 14.9738215 40.6952159, 14.9740541 40.6949247, 14.9741132 40.6947671, 14.974196 40.6943929, 14.9743456 40.6938471, 14.974589 40.6931477)",,,,
30576361,,Via Campania,tertiary,False,True,198.70400000000004,"LINESTRING (14.9727731 40.6959142, 14.9728734 40.6960473, 14.9729226 40.6961826, 14.9729322 40.6963738, 14.9728395 40.6965619, 14.9724583 40.6969459, 14.9723751 40.6970804, 14.9723657 40.6971903, 14.9724233 40.6973812, 14.9724722 40.6975431)",,,,
30576361,,Via Campania,tertiary,False,False,198.704,"LINESTRING (14.9724722 40.6975431, 14.9724233 40.6973812, 14.9723657 40.6971903, 14.9723751 40.6970804, 14.9724583 40.6969459, 14.9728395 40.6965619, 14.9729322 40.6963738, 14.9729226 40.6961826, 14.9728734 40.6960473, 14.9727731 40.6959142)",,,,
30576361,,Via Campania,tertiary,False,True,156.53,"LINESTRING (14.9724722 40.6975431, 14.9725503 40.6977206, 14.9726232 40.6977799, 14.9727169 40.6978119, 14.973052 40.697892, 14.9734803 40.6979502, 14.9740877 40.698017)",,,,
148111860,,Via Campania,residential,True,False,159.142,"LINESTRING (14.9724722 40.6975431, 14.9733429 40.6973646, 14.9736325 40.697273, 14.9742484 40.6970693)",,,,
219684224,,,residential,False,True,185.392,"LINESTRING (14.9724722 40.6975431, 14.9721541 40.697623, 14.9720584 40.6977667, 14.9719457 40.6978765, 14.9718975 40.6981694, 14.9718545 40.6983036, 14.9717258 40.6984012, 14.9711464 40.6987184)",,,,
30576433,SP26/b,Via Generoso Andria,tertiary,False,False,32.189,"LINESTRING (14.9740877 40.698017, 14.9740742 40.6983063)",,,,
30576361,,Via Campania,tertiary,False,False,156.53,"LINESTRING (14.9740877 40.698017, 14.9734803 40.6979502, 14.973052 40.697892, 14.9727169 40.6978119, 14.9726232 40.6977799, 14.9725503 40.6977206, 14.9724722 40.6975431)",,,,
30576433,SP26/b,Via Generoso Andria,tertiary,False,True,8.321,"LINESTRING (14.9740684 40.698381, 14.9740742 40.6983063)",,,,
750313064,,via Romualdo Trifone,residential,False,False,177.941,"LINESTRING (14.9740684 40.698381, 14.9747012 40.699768, 14.9747692 40.6998902)",yes,,,
368439650,SR164,Corso Cavour,secondary,False,False,38.766,"LINESTRING (14.9801602 40.6934661, 14.9801201 40.6931188)",,,,
148112957,,,residential,False,False,144.844,"LINESTRING (14.9801602 40.6934661, 14.9804051 40.6936247, 14.9808826 40.6937874, 14.9809684 40.6938057, 14.9811293 40.6939257, 14.9813144 40.6940294, 14.9813627 40.6941372, 14.9813949 40.6942694)",,,,
219359005,,,residential,False,True,70.462,"LINESTRING (14.9801602 40.6934661, 14.9800341 40.6933757, 14.9799778 40.6933045, 14.9798677 40.6931884, 14.9797564 40.6931154, 14.9796332 40.6930765, 14.979554 40.6930564)",,,,
368439650,SR164,Corso Cavour,secondary,False,True,518.633,"LINESTRING (14.9801602 40.6934661, 14.9802918 40.6937225, 14.980456 40.6938789, 14.9809269 40.694042, 14.9809943 40.6941225, 14.9810057 40.694154, 14.9810144 40.6941923, 14.9810198 40.6942308, 14.9810211 40.694272, 14.981003 40.6943488, 14.9808355 40.6944449, 14.9806397 40.6945023, 14.9801549 40.6945707, 14.9798291 40.6945447, 14.9781686 40.6943046, 14.9778782 40.6941822, 14.9773954 40.693993, 14.9768097 40.6937425, 14.9767206 40.6937086)",,,,
97859986,,Piazza Budetta,tertiary,False,False,18.228,"LINESTRING (14.9767206 40.6937086, 14.976634 40.6935584)",,,,
368439650,SR164,Corso Cavour,secondary,False,False,518.6330000000002,"LINESTRING (14.9767206 40.6937086, 14.9768097 40.6937425, 14.9773954 40.693993, 14.9778782 40.6941822, 14.9781686 40.6943046, 14.9798291 40.6945447, 14.9801549 40.6945707, 14.9806397 40.6945023, 14.9808355 40.6944449, 14.981003 40.6943488, 14.9810211 40.694272, 14.9810198 40.6942308, 14.9810144 40.6941923, 14.9810057 40.694154, 14.9809943 40.6941225, 14.9809269 40.694042, 14.980456 40.6938789, 14.9802918 40.6937225, 14.9801602 40.6934661)",,,,
368439654,SR164,Corso Umberto I,secondary,False,True,67.95,"LINESTRING (14.9767206 40.6937086, 14.9764772 40.6938518, 14.9762033 40.6940722, 14.9761445 40.6941321)",,,,
750313072,,via Roma,tertiary,True,False,6.609,"LINESTRING (14.9754047 40.6958478, 14.975351 40.6958911)",,,,
"[368439653, 368439654]",SR164,"['Corso Umberto I', 'Piazza Umberto I']",secondary,False,False,194.27300000000002,"LINESTRING (14.9754047 40.6958478, 14.9754617 40.6955958, 14.9755049 40.6954047, 14.9755317 40.695261, 14.9755763 40.6950216, 14.9758361 40.6945086, 14.9760809 40.6941988)",,,,
"[368439653, 368440582]",SR164,"['Corso Umberto I', 'Piazza Umberto I']",secondary,False,True,103.578,"LINESTRING (14.9754047 40.6958478, 14.9754623 40.6959981, 14.9756683 40.6965362, 14.9757155 40.6965964, 14.9758505 40.6966986)",,,,
"[368439653, 368440582]",SR164,"['Corso Umberto I', 'Piazza Umberto I']",secondary,False,False,103.578,"LINESTRING (14.9758505 40.6966986, 14.9757155 40.6965964, 14.9756683 40.6965362, 14.9754623 40.6959981, 14.9754047 40.6958478)",,,,
368440582,SR164,Corso Umberto I,secondary,False,True,95.263,"LINESTRING (14.9758505 40.6966986, 14.9760619 40.6968378, 14.9761831 40.6968829, 14.9763386 40.6969109, 14.9765248 40.6969131, 14.9768933 40.6968995)",,,,
368440582,SR164,Corso Umberto I,secondary,False,True,55.094,"LINESTRING (14.9768933 40.6968995, 14.9775256 40.6967743)",,,,
