osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,width
441637712,True,2,SS9,Viale Giacomo Matteotti,primary,50,False,27.033,"LINESTRING (10.7870429 44.6530179, 10.7870969 44.6529307, 10.7871247 44.6528579, 10.7871527 44.6527883)",,
615843725,False,2,SS9,Viale Giacomo Matteotti,primary,50,True,121.953,"LINESTRING (10.7870429 44.6530179, 10.7865861 44.6533985, 10.786008 44.6538303)",,
168515611,True,2,SS9,Viale Giacomo Matteotti,primary,50,False,11.528,"LINESTRING (10.787272 44.6528351, 10.7872207 44.6528322, 10.7871925 44.6528223, 10.7871692 44.6528073, 10.7871527 44.6527883)",roundabout,
168515616,True,2,SS9,Viale Giacomo Matteotti,primary,50,False,27.423000000000002,"LINESTRING (10.787272 44.6528351, 10.7872083 44.6529006, 10.7871515 44.6529524, 10.7870429 44.6530179)",,
168515619,True,1,,Viale Maria Melato,tertiary,50,False,45.186,"LINESTRING (10.7871506 44.6527271, 10.7870876 44.6526373, 10.7870082 44.6525121, 10.7869125 44.6523578)",,
405036005,True,2,SS9,Viale Giacomo Matteotti,primary,50,False,9.15,"LINESTRING (10.7871506 44.6527271, 10.7871704 44.6527036, 10.7872001 44.6526861, 10.7872364 44.6526768)",roundabout,
1047625471,False,,,,residential,50,False,14.623,"LINESTRING (10.786732 44.6517266, 10.7869167 44.6517321)",,
168515619,True,1,,Viale Maria Melato,tertiary,50,False,58.941,"LINESTRING (10.786732 44.6517266, 10.7867585 44.6516046, 10.7867777 44.651498, 10.786818 44.6512271, 10.78682 44.6512004)",,
37071085,True,1,,Viale Maria Melato,tertiary,50,False,41.68299999999999,"LINESTRING (10.7868554 44.6503432, 10.7869042 44.6504747, 10.7869647 44.6506258, 10.7869839 44.6507064)",,
41285158,False,2,,Viale Maria Melato,tertiary,50,True,82.101,"LINESTRING (10.7868554 44.6503432, 10.7867981 44.649957, 10.7868 44.649607)",,
405036001,True,2,SS9,Viale Giacomo Matteotti,primary,50,False,6.997,"LINESTRING (10.7872364 44.6526768, 10.7872659 44.6526759, 10.7872946 44.6526804, 10.7873208 44.6526901)",roundabout,
41593710,False,,,Via Edmondo De Amicis,residential,,True,57.779,"LINESTRING (10.7846479 44.6542222, 10.7844904 44.6537148)",,
168515617,False,2,SS9,Viale Giacomo Matteotti,primary,50,False,33.6,"LINESTRING (10.7846479 44.6542222, 10.7850653 44.6541661)",,
168515617,False,2,SS9,Viale Giacomo Matteotti,primary,50,True,37.30200000000001,"LINESTRING (10.7846479 44.6542222, 10.7845848 44.6542313, 10.7841844 44.654284)",,
41583375,True,,,Viale della Stazione,unclassified,,False,22.683,"LINESTRING (10.7810578 44.6546174, 10.7810646 44.654709, 10.781073 44.6548211)",,
405035999,True,,,,primary,50,False,13.818000000000001,"LINESTRING (10.7810578 44.6546174, 10.7809892 44.6546366, 10.7809372 44.6546374, 10.7808899 44.6546284)",roundabout,
405035999,True,,,,primary,50,False,12.915999999999999,"LINESTRING (10.7808899 44.6546284, 10.7808429 44.6546077, 10.7808053 44.6545758, 10.7807863 44.6545433)",roundabout,
388260376,True,,,,primary,50,False,6.2330000000000005,"LINESTRING (10.7808158 44.6544353, 10.7808405 44.6544161, 10.7808751 44.6543989)",roundabout,
41582103,True,,,Largo Fratelli Cairoli,tertiary,50,False,41.672,"LINESTRING (10.7808751 44.6543989, 10.7809082 44.6542676, 10.7809233 44.6542078, 10.7809538 44.6540285)",,
