osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,access,tunnel,junction
121622423,2,Via generale Espinasse,tertiary,False,True,6.936,"LINESTRING (8.8809458 45.469277, 8.8809598 45.4692154)",,,,
59655234,1,Via Guglielmo Marconi,tertiary,True,False,31.97,"LINESTRING (8.8809458 45.469277, 8.8806015 45.4692554, 8.8805789 45.4692436, 8.880561 45.4692216)",,,,
48058932,,Via generale Manfredo Fanti,tertiary,False,False,17.873,"LINESTRING (8.878081 45.4651333, 8.8780847 45.4650941, 8.8780867 45.4650721, 8.878096 45.4649729)",,,,
48779792,1,Via Roma,unclassified,True,False,78.837,"LINESTRING (8.878081 45.4651333, 8.8782948 45.4651457, 8.8790883 45.4651932)",,,,
47643155,1,Via don Pompeo Beretta,residential,True,False,86.383,"LINESTRING (8.8790883 45.4651932, 8.8790974 45.4651575, 8.8792762 45.4644276)",,,,
"[48779792, 839079415]",1,Via Roma,unclassified,True,False,87.466,"LINESTRING (8.8790883 45.4651932, 8.8791519 45.4651986, 8.879185 45.4652014, 8.8797452 45.4652488, 8.8802018 45.4652874)",,,,
33498488,1,Via Giovanni Cattaneo,unclassified,True,False,171.21400000000003,"LINESTRING (8.8807091 45.465324, 8.8807011 45.4653487, 8.8806806 45.4654323, 8.8806759 45.4654514, 8.8805482 45.4659717, 8.8805464 45.4660547, 8.8803603 45.4667572, 8.8803388 45.4668406)",,,,
123524057,1,Via Roma,unclassified,True,False,14.144,"LINESTRING (8.8807091 45.465324, 8.8807549 45.4653261, 8.8808901 45.4653321)",30,,,
"[48410176, 33498484]",1,"['Via Roma', 'Via Quattro Giugno']",unclassified,True,False,333.774,"LINESTRING (8.8821593 45.4653683, 8.8834383 45.4654156, 8.8834187 45.4654371, 8.8834052 45.4654555, 8.8833535 45.4655257, 8.8831042 45.4658964, 8.8829164 45.4661601, 8.8828435 45.4662667, 8.8827864 45.4663528, 8.8825566 45.4666988, 8.8824801 45.4668153, 8.8823196 45.4670479, 8.8821322 45.4673087)",30,,,
493899965,1,Via Roma,unclassified,True,False,49.973,"LINESTRING (8.8821593 45.4653683, 8.8820639 45.4653649, 8.8816059 45.465352, 8.8815191 45.4653488)",30,,,
47431610,,Via Milano,unclassified,False,True,225.684,"LINESTRING (8.88971 45.4666602, 8.8890317 45.4664692, 8.8880438 45.4662072, 8.8872101 45.4659875, 8.8870077 45.4659341)",,,,
47696446,,Via fratelli Sanchioli,unclassified,True,False,108.749,"LINESTRING (8.88971 45.4666602, 8.889741 45.4665916, 8.8898256 45.4664188, 8.889873 45.4663219, 8.890003 45.4660486, 8.8901548 45.4657333)",,,,
33498482,1,Via Giuseppe Verdi,residential,True,False,43.162,"LINESTRING (8.8861324 45.4673432, 8.8866787 45.4674055)",,,,
33498480,1,Via Giuseppe Fornaroli,residential,True,False,120.389,"LINESTRING (8.8861324 45.4673432, 8.8861919 45.467479, 8.8862492 45.4676516, 8.8862895 45.4679006, 8.8863452 45.4683055, 8.8863518 45.4683574, 8.8863587 45.4684111)",,,,
78198836,2,Via Giovanni Cattaneo,unclassified,False,True,20.876,"LINESTRING (8.8802781 45.4670234, 8.8803095 45.466938, 8.8803388 45.4668406)",,,,
