osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,access,tunnel
34260317,2,SP468R,Viale dei Mille,secondary,50,roundabout,True,False,24.695,"LINESTRING (10.774296 44.7692588, 10.774276 44.7692246, 10.77427 44.7691878, 10.7742782 44.7691513, 10.7743002 44.7691177, 10.7743342 44.7690896, 10.7743776 44.7690692)",,
34260317,2,SP468R,Viale dei Mille,secondary,50,roundabout,True,False,19.929,"LINESTRING (10.774515 44.7693195, 10.7744524 44.7693253, 10.7743907 44.7693162, 10.7743365 44.7692932, 10.774296 44.7692588)",,
34260317,2,SP468R,Viale dei Mille,secondary,50,roundabout,True,False,9.789,"LINESTRING (10.7746143 44.7692688, 10.7745706 44.7693, 10.774515 44.7693195)",,
388456561,,,Viale Risorgimento,tertiary,50,,True,False,28.141,"LINESTRING (10.7746143 44.7692688, 10.7746389 44.7693461, 10.7746576 44.7694052, 10.7746926 44.7695157)",,
34260006,,,Via Circondaria,secondary,50,roundabout,True,False,22.218,"LINESTRING (10.7806692 44.7749654, 10.7807073 44.774946, 10.7807517 44.7749352, 10.7807986 44.7749341, 10.780844 44.7749426, 10.7808839 44.7749601, 10.780915 44.774985)",,
1144945776,2,,Via Circondaria,secondary,50,,False,True,109.1,"LINESTRING (10.7806692 44.7749654, 10.7806128 44.7749088, 10.7804249 44.7747449, 10.780357 44.7746857, 10.7801791 44.7745374, 10.7799723 44.7743525, 10.779803 44.7742011)",,
39075798,2,,Viale della Repubblica,secondary,50,,False,True,73.583,"LINESTRING (10.7769095 44.7722389, 10.776703 44.7720677, 10.7762717 44.7717568)",,
39218582,,,Via Circondaria,secondary,50,,False,False,44.342,"LINESTRING (10.7769095 44.7722389, 10.7770673 44.772368, 10.7771215 44.7724123, 10.777276 44.7725411)",,
69324009,,,Piazzale Porta Reggio,residential,,,False,False,52.066,"LINESTRING (10.7769095 44.7722389, 10.7769758 44.772204, 10.7770111 44.7721886, 10.7774578 44.7719788)",,
39218582,,,Via Circondaria,secondary,50,,False,True,45.333,"LINESTRING (10.7792831 44.7738242, 10.7791168 44.7738416, 10.7790544 44.7738487, 10.778992 44.7738558, 10.7788516 44.7738599, 10.7787855 44.7738558, 10.7787158 44.7738406)",,
69330172,,,Viale Vittorio Veneto,residential,,,True,False,73.56700000000001,"LINESTRING (10.7792831 44.7738242, 10.7793139 44.7737578, 10.7793434 44.7737216, 10.7798155 44.7735417, 10.779934 44.7735019, 10.7800202 44.773473, 10.7800314 44.7734693)",,
1144945776,2,,Via Circondaria,secondary,50,,False,False,58.763,"LINESTRING (10.7792831 44.7738242, 10.7794364 44.7739224, 10.7795008 44.7739603, 10.779803 44.7742011)",,
1144945776,2,,Via Circondaria,secondary,50,,False,False,109.10000000000001,"LINESTRING (10.779803 44.7742011, 10.7799723 44.7743525, 10.7801791 44.7745374, 10.780357 44.7746857, 10.7804249 44.7747449, 10.7806128 44.7749088, 10.7806692 44.7749654)",,
1144945776,2,,Via Circondaria,secondary,50,,False,True,58.763,"LINESTRING (10.779803 44.7742011, 10.7795008 44.7739603, 10.7794364 44.7739224, 10.7792831 44.7738242)",,
