osmid,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,junction
295961519,Viale Paolo Orsi,secondary,30,False,True,20.307,"LINESTRING (14.9525229 36.8162185, 14.9526574 36.816366)",,
200050172,Via Largo Mulino,residential,,False,True,35.664,"LINESTRING (14.9548959 36.8193895, 14.9551351 36.8196468)",,
334786013,Via Alessandro Manzoni,residential,,True,False,21.019,"LINESTRING (14.9548959 36.8193895, 14.9547029 36.8194984)",,
287961283,Via Giovanni Meli,residential,,True,False,42.708,"LINESTRING (14.9498475 36.8178594, 14.9501134 36.8181791)",,
339613929,Via Ronchi,tertiary,50,False,False,18.991,"LINESTRING (14.9498475 36.8178594, 14.9500189 36.8177577)",,
339613929,Via Ronchi,tertiary,50,False,True,20.097,"LINESTRING (14.9498475 36.8178594, 14.9496661 36.817967)",,
"[288133876, 290031237]",Via Alessandro Manzoni,tertiary,,True,False,38.141,"LINESTRING (14.9528854 36.8204613, 14.9528432 36.8204794, 14.9525334 36.8206564)",,
"[288133880, 161373297]",Via Montebello,residential,,False,True,53.705,"LINESTRING (14.9528854 36.8204613, 14.9529053 36.8204966, 14.9532081 36.8208689)",,
"[288133880, 161373297]",Via Montebello,residential,,False,False,53.705,"LINESTRING (14.9532081 36.8208689, 14.9529053 36.8204966, 14.9528854 36.8204613)",,
161373304,Via Giacomo Matteotti,residential,,False,False,20.838,"LINESTRING (14.9540714 36.8210148, 14.9542673 36.8209122)",,
188456334,Via Roma,tertiary,,True,False,34.838,"LINESTRING (14.9540714 36.8210148, 14.9538589 36.8207517)",,
339613925,Via Gonzaga,tertiary,,False,True,21.66,"LINESTRING (14.9540714 36.8210148, 14.9538688 36.8211227)",,
161373296,Via Vincenzo Bellini,tertiary,,True,False,18.438,"LINESTRING (14.9524104 36.8198801, 14.9525813 36.8197864)",,
"[288106520, 288133885]",Via Montebello,residential,,True,False,36.447,"LINESTRING (14.9524104 36.8198801, 14.9526095 36.8201195, 14.95264 36.8201514)",,
161373304,Via Giacomo Matteotti,residential,,False,True,18.56,"LINESTRING (14.9555597 36.8202445, 14.9553845 36.820335)",,
200050172,Via Largo Mulino,residential,,False,False,37.777,"LINESTRING (14.9555597 36.8202445, 14.9553629 36.8199435)",,
"[288089305, 200050172]",Via Largo Mulino,residential,,False,"[False, True]",61.106,"LINESTRING (14.9555597 36.8202445, 14.9556998 36.8204726, 14.9557686 36.8205896, 14.9558586 36.8207392)",,
288517365,Via Rimembranza,tertiary,,False,False,5.383,"LINESTRING (14.9485701 36.8239161, 14.9485364 36.8238759)",,
288517365,Via Rimembranza,tertiary,,False,True,72.932,"LINESTRING (14.9485701 36.8239161, 14.9490271 36.8244605)",,
334786019,Via Gonzaga,tertiary,,True,False,27.53,"LINESTRING (14.9485701 36.8239161, 14.9483119 36.8240524)",,
288085530,Via Sipione,tertiary,,False,True,18.386,"LINESTRING (14.9519655 36.8187321, 14.9517919 36.8188217)",,
"[288085528, 288085519]","['Via Sipione', 'Via Controscieri']",tertiary,,True,False,45.295,"LINESTRING (14.9519655 36.8187321, 14.9521472 36.8186383, 14.9523116 36.8188321)",,
196971173,Via Dante Alighieri,residential,,True,False,33.219,"LINESTRING (14.950272 36.8196168, 14.9504859 36.8198616)",,
290174001,Via Sipione,tertiary,,False,False,20.674,"LINESTRING (14.950272 36.8196168, 14.9504656 36.8195141)",,
290174001,Via Sipione,tertiary,,False,True,64.563,"LINESTRING (14.950272 36.8196168, 14.9496682 36.8199385)",,
290031237,Via Alessandro Manzoni,tertiary,,True,False,24.594,"LINESTRING (14.9523417 36.8207703, 14.9521141 36.8208957)",,
161375639,Via di Loro,residential,,False,False,34.177,"LINESTRING (14.9516741 36.8206948, 14.9513646 36.8208767)",,
289958526,Via Lo Bello,residential,,False,False,17.069,"LINESTRING (14.9516741 36.8206948, 14.9515653 36.8205684)",,
289958526,Via Lo Bello,residential,,False,True,40.351,"LINESTRING (14.9516741 36.8206948, 14.9519317 36.8209934)",,
288085523,Via Ferreri,residential,,True,False,50.859,"LINESTRING (14.9521141 36.8208957, 14.9517915 36.8205182)",,
290031237,Via Alessandro Manzoni,tertiary,,True,False,19.535,"LINESTRING (14.9521141 36.8208957, 14.9519317 36.8209934)",,
161373296,Via Vincenzo Bellini,tertiary,,True,False,19.843,"LINESTRING (14.951442 36.8204253, 14.9516236 36.8203218)",,
289958526,Via Lo Bello,residential,,False,False,34.346,"LINESTRING (14.951442 36.8204253, 14.9512228 36.8201711)",,
289958526,Via Lo Bello,residential,,False,True,19.33,"LINESTRING (14.951442 36.8204253, 14.9515653 36.8205684)",,
161375636,Via Dante Alighieri,tertiary,,True,False,25.757,"LINESTRING (14.9523167 36.8219383, 14.9524806 36.8221292)",,
289958518,,tertiary,,False,True,9.391,"LINESTRING (14.9523167 36.8219383, 14.9522564 36.821869)",,
334786019,Via Gonzaga,tertiary,,True,False,50.476,"LINESTRING (14.9523167 36.8219383, 14.9518433 36.8221882)",,
161375639,Via di Loro,residential,,False,False,31.548,"LINESTRING (14.9513646 36.8208767, 14.951079 36.8210447)",,
161375639,Via di Loro,residential,,False,True,34.177,"LINESTRING (14.9513646 36.8208767, 14.9516741 36.8206948)",,
334786017,Via Dante Alighieri,tertiary,,True,False,39.317,"LINESTRING (14.9513646 36.8208767, 14.9516226 36.8211637)",,
290031237,Via Alessandro Manzoni,tertiary,,True,False,31.795,"LINESTRING (14.9516226 36.8211637, 14.9513323 36.8213303)",,
334786017,Via Dante Alighieri,tertiary,,True,False,27.545,"LINESTRING (14.9516226 36.8211637, 14.9518033 36.8213648)",,
289958526,Via Lo Bello,residential,,False,False,40.351,"LINESTRING (14.9519317 36.8209934, 14.9516741 36.8206948)",,
