osmid,oneway,name,highway,reversed,length,lanes,ref,maxspeed,junction,geometry,access,width
421451609,True,Via Vittorio Emanuele II,residential,False,8.81,,,,,"LINESTRING (7.8501756 44.6989577, 7.850092 44.6990101)",,
207288775,True,Via Vittorio Veneto,primary,False,13.576,1,SS231,50,,"LINESTRING (7.8591889 44.6942708, 7.8591141 44.6941609)",,
87408094,True,,primary,False,13.782,1,SS231,50,roundabout,"LINESTRING (7.8595465 44.6943164, 7.859585 44.6943474, 7.8596069 44.6943857, 7.8596099 44.6944269)",,
87408099,True,Strada Orti,primary,False,26.704,1,SS231,50,,"LINESTRING (7.8595465 44.6943164, 7.859638 44.6943071, 7.8597056 44.6943008, 7.85974 44.6942976, 7.8598815 44.6942854)",,
176915697,True,Piazza Roma,secondary,False,72.22,,SP661,,,"LINESTRING (7.8500911 44.6936222, 7.8500488 44.6936591, 7.8498654 44.6937424, 7.8497589 44.6938102, 7.8496947 44.693851, 7.8494063 44.694048)",,
430081169,True,Piazza Roma,residential,False,113.363,,,,,"LINESTRING (7.8500911 44.6936222, 7.8509681 44.6939049, 7.8513892 44.6940552)",,
176597374,True,,secondary,False,35.864,,SP661,,,"LINESTRING (7.8488407 44.6942446, 7.8491053 44.6941143, 7.8492142 44.6940615)",,
108349887,False,Via Principi di Piemonte,residential,False,76.233,,SP661,,,"LINESTRING (7.8531633 44.6946193, 7.8531331 44.6946687, 7.8528785 44.6951208, 7.852804 44.6952555)",,
176522749,False,Via Fratelli Carando,residential,True,82.28999999999999,,SP661,,,"LINESTRING (7.8531633 44.6946193, 7.8531927 44.6945769, 7.8536275 44.6940469, 7.8536845 44.6939788)",,
76043661,True,Piazza Roma,secondary,False,15.243,,SP661,,,"LINESTRING (7.8499001 44.6936133, 7.8500681 44.693546)",,
176915695,True,Via Giovanni Piumati,tertiary,False,25.194,,,,,"LINESTRING (7.8499001 44.6936133, 7.8499728 44.6935124, 7.8499995 44.6934008)",,
87408140,True,Via Vittorio Veneto,secondary,False,47.424,,SP134,,,"LINESTRING (7.8597417 44.6948608, 7.8596127 44.6947137, 7.8595384 44.6946565, 7.8594977 44.6946252, 7.8593716 44.6945274)",,
176426499,False,Via Vittorio Veneto,secondary,False,159.334,2,SP134,,,"LINESTRING (7.8597417 44.6948608, 7.8597872 44.6950903, 7.8597861 44.6952035, 7.8597647 44.6953238, 7.8597196 44.6954625, 7.859672 44.6956012, 7.8596122 44.6960415, 7.8595899 44.6962802)",,
176426499,False,Via Vittorio Veneto,secondary,True,159.334,2,SP134,,,"LINESTRING (7.8595899 44.6962802, 7.8596122 44.6960415, 7.859672 44.6956012, 7.8597196 44.6954625, 7.8597647 44.6953238, 7.8597861 44.6952035, 7.8597872 44.6950903, 7.8597417 44.6948608)",,
176426513,True,Via Vittorio Veneto,secondary,False,23.344,,SP134,,,"LINESTRING (7.8595899 44.6962802, 7.8595953 44.6963226, 7.8595975 44.6963504, 7.8595823 44.6963949, 7.8595393 44.6964835)",,
176426503,True,,secondary,False,8.256,,,,roundabout,"LINESTRING (7.8595393 44.6964835, 7.8595444 44.6965079, 7.8595407 44.6965325, 7.8595282 44.6965557)",,
176426495,True,Strada Montenero,secondary,False,32.098,,SP134,,,"LINESTRING (7.8595127 44.6968796, 7.859433 44.6967366, 7.859388 44.6966056)",,
176426505,False,Strada Montenero,secondary,False,652.7839999999999,,SP134,,,"LINESTRING (7.8595127 44.6968796, 7.859496 44.6970461, 7.8594624 44.6971907, 7.8593247 44.6974425, 7.8590924 44.6977532, 7.8590279 44.6979004, 7.8590026 44.6979966, 7.8589914 44.6980752, 7.8590235 44.6984846, 7.8590378 44.6986676, 7.859015 44.6987844, 7.8589781 44.6989012, 7.8588656 44.6991108, 7.8586269 44.6993533, 7.8582592 44.6996444, 7.8580286 44.6998508, 7.8578712 44.7000563, 7.8577831 44.7002086, 7.8577312 44.7003462, 7.857715 44.7005352, 7.8577429 44.7007059, 7.8577747 44.7007792, 7.8578524 44.7009587, 7.857951 44.7010921, 7.8579871 44.7011404, 7.8581289 44.7012506, 7.8582649 44.7013439, 7.8583899 44.7014115, 7.858571 44.7014802, 7.8587645 44.7015346, 7.8590754 44.7016059, 7.8594823 44.7017012)",,
291968707,False,Via Giuseppe Verdi,residential,False,104.276,,,,,"LINESTRING (7.8489958 44.6966968, 7.8490566 44.6967237, 7.8500952 44.6972151)",,
295644647,True,Via Umberto I,residential,False,74.093,,,,,"LINESTRING (7.8489958 44.6966968, 7.8490063 44.6966534, 7.8490793 44.6963444, 7.8491258 44.6960372)",,
421451609,True,Via Vittorio Emanuele II,residential,False,74.425,,,,,"LINESTRING (7.8509709 44.6986024, 7.8506252 44.6987314, 7.850547 44.6987675, 7.8503392 44.6988682, 7.8502211 44.698932, 7.8501756 44.6989577)",,
176597380,False,Piazza Roma,residential,False,17.241,,,,,"LINESTRING (7.8499415 44.6946334, 7.850082 44.694752)",,
176597380,False,Piazza Roma,residential,True,46.073,,,,,"LINESTRING (7.8499415 44.6946334, 7.8498021 44.6945335, 7.8495149 44.6943513)",,
295644647,True,Via Umberto I,residential,False,108.24300000000001,,,,,"LINESTRING (7.8491258 44.6960372, 7.8491629 44.6956822, 7.8492284 44.6954545, 7.8492681 44.6953666, 7.8494344 44.6951832, 7.849497 44.6951234)",,
295644647,True,Via Umberto I,residential,False,178.407,,,,,"LINESTRING (7.8485762 44.6995172, 7.848585 44.6994647, 7.8486659 44.6989389, 7.8486682 44.6989051, 7.8487483 44.6984161, 7.8488197 44.6979222)",,
76043623,False,Via Adua,residential,True,59.065,,,,,"LINESTRING (7.8575383 44.6946477, 7.8576289 44.6942551, 7.8576819 44.6941272)",,
87408167,False,Via Alba,residential,False,117.35699999999999,,,,,"LINESTRING (7.8575383 44.6946477, 7.8576234 44.6946386, 7.8576657 44.6946295, 7.8577681 44.6945788, 7.8578552 44.6945387, 7.8579708 44.6944902, 7.858227 44.6944069, 7.8584144 44.6943589, 7.8585192 44.6943391, 7.8585907 44.6943312, 7.858664 44.6943349, 7.8589155 44.6943705)",,
176426502,True,Via Alba,residential,False,45.708,,,,,"LINESTRING (7.8575383 44.6946477, 7.8573605 44.6949069, 7.857271 44.6950118)",,
76043612,True,Via Audisio,residential,False,153.625,,,,,"LINESTRING (7.8513892 44.6940552, 7.851553 44.6941083, 7.8522652 44.6943308, 7.8530586 44.6945863, 7.8531633 44.6946193)",,
87408156,False,Piazza Roma,residential,True,65.535,,,,,"LINESTRING (7.8513892 44.6940552, 7.8513003 44.694154, 7.8509269 44.6945444)",,
76043623,False,Via Adua,residential,False,22.187,,,,,"LINESTRING (7.8577612 44.6939358, 7.8576819 44.6941272)",,
76043623,False,Via Adua,residential,True,64.572,,,,,"LINESTRING (7.8577612 44.6939358, 7.8580025 44.693381)",,
87408124,True,Via Veneria,living_street,False,75.246,,,,,"LINESTRING (7.8555327 44.6951788, 7.8556264 44.6946752, 7.8556349 44.6945066)",,
87408153,True,Via Pollenzo,living_street,False,130.81699999999998,,,,,"LINESTRING (7.8555327 44.6951788, 7.8558232 44.6952468, 7.8562939 44.6953898, 7.8567354 44.6955285, 7.8567832 44.6955407, 7.8568369 44.6955501, 7.8568927 44.6955519, 7.8569487 44.6955479, 7.8570055 44.6955338, 7.8570475 44.6955191, 7.8570738 44.6955098)",,
176426501,True,Strada Montenero,secondary,False,36.313,,SP134,,,"LINESTRING (7.8595282 44.6965557, 7.859535 44.6966114, 7.8595475 44.6966934, 7.8595429 44.6967596, 7.8595127 44.6968796)",,
176426503,True,,secondary,False,13.156,,,,roundabout,"LINESTRING (7.8595282 44.6965557, 7.8595032 44.6965793, 7.8594693 44.6965964, 7.8594296 44.6966055, 7.859388 44.6966056)",,
87408094,True,,primary,False,7.052,1,SS231,50,roundabout,"LINESTRING (7.8593716 44.6945274, 7.8593327 44.6945119, 7.8593007 44.6944898)",,
87408156,False,Piazza Roma,residential,False,65.535,,,,,"LINESTRING (7.8509269 44.6945444, 7.8513003 44.694154, 7.8513892 44.6940552)",,
87408156,False,Piazza Roma,residential,True,67.129,,,,,"LINESTRING (7.8509269 44.6945444, 7.8504528 44.694958, 7.8503899 44.6950121)",,
377052021,False,Via Barbacana,residential,True,8.408,,,,,"LINESTRING (7.8535685 44.7003294, 7.8535782 44.7004047)",,
