osmid,oneway,ref,name,highway,reversed,length,geometry,junction,lanes,maxspeed,tunnel
791377442,True,SP4,Viale Risorgimento,secondary,False,15.519,"LINESTRING (11.0737684 43.6451421, 11.0736099 43.6451319, 11.0735763 43.6451297)",,,,
791377446,False,SP4,Viale Risorgimento,secondary,False,59.949999999999996,"LINESTRING (11.0737684 43.6451421, 11.0741052 43.6451862, 11.0745019 43.6452367)",,,,
28392558,True,SP4,Via Taddeino Taddeini,secondary,False,13.414,"LINESTRING (11.0709622 43.6444174, 11.0709646 43.6443912, 11.0709804 43.6443661, 11.0710061 43.6443476, 11.0710234 43.6443405, 11.0710585 43.6443342)",roundabout,,,
259044843,False,SP4,Via Taddeino Taddeini,secondary,True,64.3,"LINESTRING (11.0709622 43.6444174, 11.0709243 43.644414, 11.0708821 43.6444131, 11.0708164 43.644417, 11.0707252 43.6444325, 11.0702102 43.64459)",,,,
"[27667571, 689735471]",True,,"['Viale Giacomo Matteotti', 'Piazza del Popolo']",unclassified,False,102.851,"LINESTRING (11.0752674 43.6431669, 11.0754677 43.6430939, 11.0756404 43.6430277, 11.0761598 43.6428563, 11.0764176 43.642764)",,,,
224989849,False,,Piazza del Popolo,unclassified,True,42.747,"LINESTRING (11.0752674 43.6431669, 11.0751432 43.6432046, 11.0750167 43.6432434, 11.0747781 43.6433166)",,,,
27665018,False,,Via Amedeo Bassi,tertiary,True,240.29299999999998,"LINESTRING (11.0802012 43.6398295, 11.0801956 43.6399038, 11.080184 43.6401914, 11.0801511 43.6403038, 11.0801079 43.6403779, 11.0797922 43.6407615, 11.0792787 43.6414003, 11.0789886 43.6417618)",,,,
175458891,False,,Via Trieste,unclassified,True,86.078,"LINESTRING (11.0802012 43.6398295, 11.0800454 43.6398924, 11.0799009 43.6399593, 11.0795528 43.6400759, 11.0794663 43.6401076, 11.0792839 43.6402196)",,,,
259042903,False,SP79,Via Lucardese,tertiary,True,63.56399999999999,"LINESTRING (11.0802012 43.6398295, 11.0803323 43.63975, 11.0804316 43.6396808, 11.0805932 43.6395171, 11.0806672 43.6393803)",,,,
27665018,False,,Via Amedeo Bassi,tertiary,False,216.19299999999998,"LINESTRING (11.0795776 43.6450051, 11.0795529 43.6448406, 11.0791869 43.6441401, 11.0787196 43.6431673)",,,,
28211718,True,,Via Aldo Moro,residential,False,130.451,"LINESTRING (11.0795776 43.6450051, 11.0794419 43.6450628, 11.0793234 43.6451145, 11.0790755 43.6451698, 11.0785746 43.6452804, 11.0780515 43.6453841)",,,,
266138465,False,,Via Cesare Battisti,residential,True,37.547000000000004,"LINESTRING (11.0795776 43.6450051, 11.0794555 43.6449147, 11.0792665 43.6448026, 11.0792299 43.6447806)",,,,
27665018,False,,Via Amedeo Bassi,tertiary,False,169.24,"LINESTRING (11.0787196 43.6431673, 11.0785826 43.6429053, 11.0785201 43.6427679, 11.0784937 43.642636, 11.0785034 43.6424546, 11.0785536 43.6423051, 11.0785984 43.6422328, 11.0788587 43.6419067, 11.0789886 43.6417618)",,,,
27665018,False,,Via Amedeo Bassi,tertiary,True,216.19299999999998,"LINESTRING (11.0787196 43.6431673, 11.0791869 43.6441401, 11.0795529 43.6448406, 11.0795776 43.6450051)",,,,
94172146,False,,Via Beniamino Gigli,residential,True,313.628,"LINESTRING (11.0787196 43.6431673, 11.0790097 43.6430436, 11.0796141 43.6425632, 11.0799247 43.6426746, 11.0798081 43.6434514, 11.0797222 43.6443442)",,,,
27665020,True,,Via Trieste,residential,False,190.67100000000002,"LINESTRING (11.078085 43.64133, 11.0780759 43.6415422, 11.0780722 43.6415785, 11.0780565 43.6417322, 11.0780111 43.641938, 11.0779722 43.6420607, 11.0779566 43.642177, 11.0779537 43.6422471, 11.0779795 43.6425515, 11.0780052 43.6428186, 11.0779884 43.6430362)",,1,,
