osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,junction
130549708,True,Via Papini,unclassified,False,85.285,"LINESTRING (17.4275593 40.7428712, 17.4273981 40.7429981, 17.4268008 40.743378)",,,,
1195656136,True,Via Domenico Cirillo,tertiary,False,104.29700000000001,"LINESTRING (17.4275593 40.7428712, 17.427252 40.7428753, 17.4268668 40.7428391, 17.4266337 40.7428475, 17.426378 40.7428974, 17.4263341 40.7429052)",,,,
129282124,False,Via Roma,tertiary,False,11.799,"LINESTRING (17.4249881 40.7431691, 17.4248564 40.7432052)",SP11,,,
207815847,True,Via Roma,tertiary,False,85.869,"LINESTRING (17.4249881 40.7431691, 17.4253049 40.7430751, 17.4259337 40.7428809)",,,,
129282124,False,Via Roma,tertiary,True,22.277,"LINESTRING (17.422943 40.7436659, 17.4231975 40.7436115)",SP11,,,
268107299,False,,secondary,False,7.903,"LINESTRING (17.422943 40.7436659, 17.4228548 40.7436417)",SP11,2,,
458721829,False,Via Roma,tertiary,True,34.777,"LINESTRING (17.422943 40.7436659, 17.4225446 40.7437478)",SP8,,,
175746592,False,,secondary,False,31.622,"LINESTRING (17.4298902 40.7462601, 17.4301917 40.7460907)",SP9,,50,
175746592,False,,secondary,True,30.985,"LINESTRING (17.4298902 40.7462601, 17.4295841 40.7464146)",SP9,,50,
175615865,True,,unclassified,False,16.980999999999998,"LINESTRING (17.4298902 40.7462601, 17.4299581 40.7462907, 17.4300262 40.7463679)",,,,
175615892,True,,unclassified,False,21.82,"LINESTRING (17.4298902 40.7462601, 17.4298025 40.7462008, 17.4297493 40.7461015)",,,,
356732873,False,Va XXIV Maggio,residential,True,39.574,"LINESTRING (17.4235363 40.7435303, 17.4234005 40.7431896)",,,,
129282124,False,Via Roma,tertiary,False,29.937,"LINESTRING (17.4235363 40.7435303, 17.4233922 40.7435649, 17.4231975 40.7436115)",SP11,,,
129282124,False,Via Roma,tertiary,True,116.95599999999999,"LINESTRING (17.4235363 40.7435303, 17.4246099 40.7432727, 17.4246918 40.7432503, 17.4248564 40.7432052)",SP11,,,
268107300,True,,tertiary,False,65.82300000000001,"LINESTRING (17.4235363 40.7435303, 17.4235725 40.743613, 17.4236259 40.7436678, 17.4236662 40.7436986, 17.4237536 40.7437234, 17.4239098 40.7436979, 17.424106 40.7437135, 17.4241718 40.7437287)",,,,
71526082,False,Via Fasano,tertiary,False,85.816,"LINESTRING (17.4241718 40.7437287, 17.4241941 40.7436725, 17.4242375 40.7435927, 17.4242598 40.7435709, 17.4243027 40.7435455, 17.4246995 40.7433797, 17.4249475 40.743276)",,,,
71526082,False,Via Fasano,tertiary,True,92.34100000000001,"LINESTRING (17.4241718 40.7437287, 17.4241052 40.7439001, 17.4239698 40.7442662, 17.4238717 40.7445274)",,,,
129282134,True,Via Eroi del Mare,residential,False,78.258,"LINESTRING (17.4241718 40.7437287, 17.4247306 40.7438345, 17.4248533 40.7439879, 17.4249135 40.7440632)",,,,
206856000,False,Via Francesco Clarizia,tertiary,False,50.854,"LINESTRING (17.4253677 40.7447254, 17.4259281 40.7445554)",,2,,
175750505,False,Via Francesco Clarizia,tertiary,True,70.097,"LINESTRING (17.4253677 40.7447254, 17.4252649 40.7447595, 17.4250727 40.7448232, 17.4246956 40.7449482, 17.4246054 40.7449781)",SP9,,,
1108973038,False,,tertiary,False,63.062,"LINESTRING (17.4307748 40.7443569, 17.4311327 40.7444172, 17.4315127 40.7444461)",,2,,
1108973038,False,,tertiary,True,184.945,"LINESTRING (17.4307748 40.7443569, 17.4298964 40.7438457, 17.4297318 40.7437834, 17.4295063 40.7437858, 17.428829 40.7438117)",,2,,
1147869441,False,Via Cristoforo Colombo,residential,True,173.108,"LINESTRING (17.4307748 40.7443569, 17.43068 40.7444067, 17.4298268 40.7447447, 17.42916 40.7450602, 17.4290276 40.745164)",,,,
1108973038,False,,tertiary,True,63.062,"LINESTRING (17.4315127 40.7444461, 17.4311327 40.7444172, 17.4307748 40.7443569)",,2,,
399208405,False,Strada Cisternino,unclassified,False,17.246,"LINESTRING (17.4302955 40.7391953, 17.4301225 40.7391124)",SP13,,,
129282120,False,via dei Giardini,residential,True,95.17500000000001,"LINESTRING (17.4302955 40.7391953, 17.4301187 40.7394257, 17.4301003 40.7394496, 17.4298562 40.7397209, 17.4297409 40.7398452, 17.429649 40.7398875)",,,,
129282125,True,Via Francesco Petrarca,unclassified,False,76.361,"LINESTRING (17.4302955 40.7391953, 17.4304022 40.7392735, 17.4307197 40.7396329, 17.4308238 40.7397507)",SP13,,,
175756284,False,Viale Valle D'Itria,secondary,True,213.719,"LINESTRING (17.4198168 40.7407614, 17.4201408 40.740838, 17.4204909 40.7408721, 17.420814 40.7408558, 17.4210846 40.7408156, 17.4214007 40.7407192, 17.4221882 40.7403828)",SP13,,,
305766000,False,Via Martina Franca,unclassified,True,199.10199999999998,"LINESTRING (17.4198168 40.7407614, 17.4198366 40.7408347, 17.420729 40.7415601, 17.4212618 40.7420727, 17.4213374 40.7421157)",,,,
175746630,False,Via Fasano,tertiary,False,63.641999999999996,"LINESTRING (17.4239748 40.7457923, 17.4239331 40.7455741, 17.423928 40.7455472, 17.4238377 40.7452298)",SP9,2,,
175746630,False,Via Fasano,tertiary,True,112.763,"LINESTRING (17.4239748 40.7457923, 17.4240303 40.7458912, 17.4240698 40.7459616, 17.4245967 40.7465583, 17.4246732 40.7466544)",SP9,2,,
358494944,False,,unclassified,True,112.951,"LINESTRING (17.4239748 40.7457923, 17.4238919 40.7458274, 17.4235759 40.7460297, 17.4234309 40.7460542, 17.4232855 40.7460409, 17.4229718 40.7459891, 17.4227582 40.7460136)",,,,
