osmid,oneway,name,highway,reversed,length,geometry,maxspeed,ref,lanes,tunnel,bridge,junction
857643594,True,Via Tommaso Campanella,tertiary,False,57.333,"LINESTRING (15.636606 38.222491, 15.63595 38.2224752)",,,,,,
1156047892,False,Via Ammiraglio Curzon,tertiary,True,10.641,"LINESTRING (15.636606 38.222491, 15.6366066 38.2223953)",,,,,,
857643594,True,Via Tommaso Campanella,tertiary,False,32.096,"LINESTRING (15.6346259 38.2225149, 15.6342585 38.2225173)",,,,,,
29993419,True,Via San Martino,residential,False,16.169,"LINESTRING (15.6346259 38.2225149, 15.6346276 38.2224017, 15.6346268 38.2223695)",,,,,,
29992979,True,Via Riviera,tertiary,False,45.873,"LINESTRING (15.6346646 38.2207156, 15.6341395 38.2207129)",30,,,,,
29993419,True,Via San Martino,residential,False,7.629,"LINESTRING (15.6346646 38.2207156, 15.6346662 38.220647)",,,,,,
40035996,False,Via Salvo D'Acquisto,residential,True,10.33,"LINESTRING (15.6335165 38.2206956, 15.6335861 38.2206205)",,,,,,
226269182,False,,unclassified,True,10.045,"LINESTRING (15.6398118 38.2188624, 15.6398204 38.2189123, 15.6398571 38.21894)",,,,,,
1156077368,False,Via Gondar,residential,False,141.267,"LINESTRING (15.6398118 38.2188624, 15.6399099 38.2188195, 15.6405976 38.2186013, 15.640499 38.2183934, 15.64039 38.2182834, 15.6403174 38.218157, 15.640294 38.2180591)",,,,,,
1156077380,False,Via Petrarca,secondary,False,45.643,"LINESTRING (15.6398118 38.2188624, 15.6397389 38.2188012, 15.6395861 38.2184974)",,SP6,,,,
29992683,True,,tertiary,False,74.98400000000001,"LINESTRING (15.6362981 38.2141094, 15.6363995 38.214146, 15.6364707 38.2141769, 15.6365778 38.2142356, 15.6368844 38.2144323, 15.6369155 38.2144599, 15.6369341 38.2144877, 15.6369509 38.2145264)",,,,,,
29992688,True,,tertiary,False,70.769,"LINESTRING (15.6362981 38.2141094, 15.6364392 38.2141467, 15.6365484 38.2141836, 15.636625 38.2142157, 15.6366758 38.2142352, 15.6367204 38.2142455, 15.6367707 38.2142481, 15.636815 38.214242, 15.6368552 38.2142291, 15.6368919 38.2142101, 15.6369241 38.2141888, 15.6369515 38.2141562, 15.6369735 38.2140975)",,,,,,
29993034,False,Viale Umberto Zanotti Bianco,tertiary,False,47.732,"LINESTRING (15.6369735 38.2140975, 15.6369509 38.2145264)",,,,,,
29993034,False,Viale Umberto Zanotti Bianco,tertiary,False,116.823,"LINESTRING (15.6369509 38.2145264, 15.6369092 38.2155765)",,,,,,
29993034,False,Viale Umberto Zanotti Bianco,tertiary,True,47.732,"LINESTRING (15.6369509 38.2145264, 15.6369735 38.2140975)",,,,,,
40035997,True,Via Guglielmo Marconi,residential,False,78.062,"LINESTRING (15.6360502 38.2206346, 15.6360879 38.2199332)",30,,,,,
163690689,True,Via Riviera,tertiary,False,56.330000000000005,"LINESTRING (15.6360502 38.2206346, 15.6361689 38.2206363, 15.6365568 38.2206418, 15.636662 38.2206433, 15.6366949 38.2206438)",30,,,,,
40035997,True,Via Guglielmo Marconi,residential,False,10.355,"LINESTRING (15.63595 38.2224752, 15.6359561 38.2223822)",30,,,,,
